,Israel,Swaziland,United Arab Emirates,Bahrain,Jordan,Saudi Arabia,Iraq,Oman,Egypt,Pakistan,Namibia,South Sudan,Mexico,Yemen,Kenya,Libya,Sudan,Mali,Qatar,Mauritania,Turkey,Somalia,Syrian Arab Republic,Tunisia,Benin,Iran (Islamic Republic of),Albania,Peru,China,United States of America,Niger,Sudan (former),Morocco,Kuwait,"China, mainland",Algeria,Chad,Colombia,Spain,Cameroon,Occupied Palestinian Territory
1961,70.0,-1.0,500.0,1600.0,150.0,22000.0,-1.0,13000.0,20000.0,8900.0,-1.0,,811.0,10456.0,150.0,-1.0,,,,4500.0,520.0,1300.0,-1.0,10000.0,-1.0,78000.0,-1.0,110.0,1000.0,1700.0,1000.0,8800.0,18000.0,-1.0,1000.0,38000.0,-1.0,-1.0,405.0,-1.0,-1.0
1962,80.0,-1.0,550.0,1600.0,150.0,23000.0,-1.0,13000.0,20000.0,9000.0,-1.0,,882.0,10456.0,200.0,-1.0,,,,4000.0,520.0,1300.0,-1.0,4200.0,-1.0,78000.0,-1.0,110.0,1000.0,1700.0,1000.0,9200.0,18000.0,-1.0,1000.0,40000.0,-1.0,-1.0,401.0,-1.0,-1.0
1963,100.0,-1.0,570.0,1600.0,150.0,23500.0,-1.0,13000.0,20000.0,8700.0,-1.0,,636.0,10254.0,200.0,-1.0,,,,6000.0,520.0,1300.0,-1.0,8500.0,-1.0,78000.0,-1.0,130.0,1000.0,1700.0,1700.0,9500.0,18000.0,-1.0,1000.0,52000.0,-1.0,-1.0,401.0,-1.0,-1.0
1964,125.0,-1.0,610.0,1600.0,150.0,24000.0,-1.0,13000.0,20000.0,18500.0,-1.0,,710.0,10254.0,200.0,-1.0,,,,7000.0,560.0,1300.0,-1.0,12000.0,-1.0,78000.0,-1.0,130.0,1100.0,1700.0,1700.0,10000.0,18000.0,-1.0,1100.0,59000.0,-1.0,-1.0,531.0,-1.0,-1.0
1965,125.0,-1.0,610.0,1600.0,150.0,25000.0,-1.0,13000.0,20000.0,19700.0,-1.0,,725.0,10254.0,200.0,-1.0,,,,7500.0,560.0,1400.0,-1.0,15500.0,-1.0,78000.0,-1.0,150.0,1200.0,1611.0,1700.0,10500.0,18000.0,-1.0,1200.0,44000.0,-1.0,-1.0,621.0,-1.0,-1.0
1966,150.0,-1.0,620.0,1600.0,141.0,26000.0,-1.0,13000.0,20000.0,17700.0,-1.0,,735.0,10835.0,200.0,-1.0,,,,5000.0,590.0,1400.0,-1.0,12000.0,-1.0,79000.0,-1.0,150.0,1250.0,1615.0,1700.0,10800.0,20000.0,-1.0,1250.0,46000.0,-1.0,-1.0,620.0,-1.0,-1.0
1967,200.0,-1.0,610.0,1600.0,100.0,26000.0,-1.0,13000.0,20000.0,18600.0,-1.0,,749.0,10147.0,200.0,-1.0,,,,4500.0,590.0,1400.0,-1.0,11000.0,-1.0,79000.0,-1.0,150.0,1250.0,1659.0,1700.0,11500.0,20000.0,-1.0,1250.0,62000.0,-1.0,-1.0,620.0,-1.0,-1.0
1968,200.0,-1.0,580.0,1600.0,70.0,28000.0,-1.0,13000.0,20000.0,20200.0,-1.0,,750.0,10100.0,250.0,-1.0,,,,4700.0,590.0,1400.0,-1.0,17000.0,-1.0,79000.0,-1.0,95.0,1150.0,1724.0,1700.0,11700.0,20000.0,-1.0,1150.0,59000.0,-1.0,-1.0,620.0,-1.0,-1.0
1969,200.0,-1.0,600.0,1600.0,50.0,30000.0,-1.0,13000.0,20000.0,19400.0,-1.0,,120.0,10100.0,250.0,-1.0,,,,4200.0,590.0,1400.0,-1.0,5300.0,-1.0,79000.0,-1.0,100.0,1150.0,1756.0,1700.0,13300.0,20000.0,-1.0,1150.0,53000.0,-1.0,-1.0,620.0,-1.0,-1.0
1970,200.0,-1.0,640.0,1600.0,50.0,31000.0,-1.0,13000.0,20000.0,18500.0,-1.0,,220.0,10100.0,250.0,-1.0,,,,5000.0,630.0,1400.0,-1.0,10500.0,-1.0,80000.0,-1.0,95.0,1150.0,1620.0,1700.0,15000.0,20000.0,-1.0,1150.0,32000.0,-1.0,-1.0,710.0,-1.0,-1.0
