,"China, Taiwan Province of",Cuba,Indonesia,Bhutan,Russian Federation,Angola,Ethiopia PDR,Egypt,Pakistan,Malaysia,Thailand,Japan,Ethiopia,Nigeria,Democratic Republic of the Congo,Bangladesh,Mali,Zimbabwe,USSR,Nepal,Cameroon,Iran (Islamic Republic of),Peru,Brazil,Cambodia,Mozambique,Guatemala,Viet Nam,"China, mainland",El Salvador,Chile,Madagascar,Uzbekistan,Côte d'Ivoire,Spain,South Africa,Central African Republic,Myanmar,China,India
1961,11052.0,1000.0,3000.0,,,1500.0,,2000.0,8100.0,,199817.0,360.0,,,9000.0,864900.0,,1500.0,25000.0,30000.0,,9036.0,750.0,45428.0,1897.0,1000.0,700.0,8100.0,66000.0,800.0,,2000.0,,,1610.0,2300.0,,5522.0,77052.0,1546515.0
1962,7734.0,1000.0,3000.0,,,1500.0,,2000.0,9700.0,,119129.0,320.0,,,7000.0,728200.0,,1500.0,25000.0,30000.0,,6897.0,1660.0,51988.0,1800.0,1000.0,800.0,9800.0,62000.0,800.0,,2000.0,,,1020.0,2300.0,130.0,8806.0,69734.0,1459000.0
1963,6696.0,2000.0,3000.0,,,1500.0,,2000.0,10100.0,,157304.0,300.0,,,7000.0,719700.0,,1500.0,25000.0,32000.0,,4821.0,3620.0,46794.0,2400.0,1000.0,1100.0,12000.0,75000.0,800.0,,2000.0,,,440.0,2300.0,500.0,18154.0,81696.0,1554000.0
1964,6819.0,2300.0,3500.0,,,1500.0,,2000.0,10500.0,,220548.0,270.0,,,5000.0,709500.0,,1500.0,25000.0,32000.0,,4000.0,3630.0,52495.0,2400.0,2000.0,400.0,13000.0,84000.0,800.0,,2245.0,,,60.0,2500.0,900.0,24702.0,90819.0,1409100.0
1965,7527.0,4000.0,3000.0,,,1500.0,,2000.0,9700.0,,380154.0,218.0,,,6000.0,936700.0,,1500.0,23000.0,32000.0,,6000.0,3400.0,57969.0,1500.0,4000.0,300.0,14300.0,97000.0,1600.0,,2160.0,,,90.0,1500.0,1000.0,20593.0,104527.0,1284400.0
1966,6596.0,6600.0,4200.0,,,1500.0,,2100.0,10100.0,,507248.0,0.0,,,5000.0,899700.0,,1500.0,23000.0,32000.0,,10000.0,2520.0,45192.0,1800.0,5000.0,350.0,13100.0,174000.0,2900.0,,2000.0,,,110.0,1000.0,1200.0,27593.0,180596.0,1298500.0
1967,5343.0,7193.0,7900.0,9.0,,2000.0,,2100.0,10500.0,,349887.0,,,,4100.0,1022100.0,,1500.0,23000.0,32000.0,,4000.0,2620.0,54173.0,4500.0,4000.0,800.0,12000.0,176000.0,2300.0,,2065.0,,,36.0,1100.0,2500.0,23902.0,181343.0,1374700.0
1968,6753.0,6537.0,6300.0,10.0,,2000.0,,2100.0,10900.0,,251935.0,,,,6000.0,922205.0,76.0,1500.0,23000.0,47000.0,,6000.0,2635.0,59424.0,6400.0,5000.0,600.0,12000.0,148000.0,2300.0,,2035.0,,,,2000.0,2300.0,32037.0,154753.0,972500.0
1969,7030.0,2018.0,6755.0,10.0,,2000.0,,2900.0,9300.0,,360524.0,,,,7000.0,1014731.0,157.0,1500.0,23000.0,46000.0,,6000.0,3000.0,56952.0,12870.0,6000.0,300.0,12000.0,139000.0,2200.0,,4405.0,,,,2000.0,2930.0,32174.0,146030.0,1254000.0
1970,4208.0,2000.0,7506.0,15.0,,2000.0,,5000.0,8989.0,,391605.0,,,,6000.0,945305.0,428.0,1500.0,23000.0,51700.0,,4000.0,4100.0,44304.0,10000.0,6000.0,559.0,11700.0,135000.0,1200.0,,3480.0,,,,2000.0,3650.0,31808.0,139208.0,1241700.0
