,Thailand,Indonesia
1961,28771.0,7688.0
1962,35920.0,7453.0
1963,31059.0,7449.0
1964,28979.0,8274.0
1965,28286.0,8902.0
1966,28219.0,9260.0
1967,28216.0,8978.0
1968,28251.0,6650.0
1969,28087.0,5347.0
1970,28247.0,5904.0
1971,33600.0,6261.0
1972,30023.0,6032.0
1973,37395.0,4997.0
1974,37805.0,4364.0
1975,34060.0,4271.0
1976,32334.0,4499.0
1977,31642.0,4867.0
1978,24843.0,5333.0
1979,21396.0,5206.0
1980,26563.0,4918.0
1981,29582.0,6116.0
1982,25182.0,6142.0
1983,30288.0,6404.0
1984,30694.0,6209.0
1985,32955.0,6253.0
1986,32131.0,7249.0
1987,34748.0,7029.0
1988,32249.0,8538.0
1989,33161.0,8397.0
1990,34630.0,9831.0
1991,31362.0,9923.0
1992,29728.0,10964.0
1993,32131.0,11153.0
1994,31235.0,11039.0
1995,33105.0,12846.0
1996,35579.0,13602.0
1997,34658.0,13978.0
1998,33006.0,14084.0
1999,34472.0,14109.0
2000,36287.0,16218.0
2001,35810.0,16207.0
2002,36607.0,15746.0
2003,35774.0,16268.0
2004,35868.0,16023.0
2005,36081.0,14842.0
2006,36288.0,15446.0
2007,36113.0,11991.0
2008,36168.0,11785.0
2009,36224.0,10585.0
2010,36280.0,9721.0
2011,36335.0,13585.0
2012,36391.0,14073.0
2013,36446.0,14231.0
2014,36502.0,13789.0
