,"China, Taiwan Province of",Romania,Syrian Arab Republic,Israel,Australia & New Zealand,Australia,Iraq,Pakistan,Slovakia,United Republic of Tanzania,Paraguay,Thailand,Uruguay,Kenya,Czechia,Switzerland,Republic of Moldova,Italy,Serbia,Zambia,USSR,Botswana,Uganda,Tajikistan,South Africa,Slovenia,Albania,Uzbekistan,China,Mozambique,Armenia,Sudan (former),Morocco,Jordan,Chile,Argentina,Colombia,Spain,Kyrgyzstan,Germany,Malawi,India,Austria,Ecuador,Poland,Canada,Turkey,Belarus,Afghanistan,Angola,South Sudan,Egypt,Namibia,Georgia,Mexico,Azerbaijan,France,Zimbabwe,Tunisia,Sudan,Serbia and Montenegro,Bosnia and Herzegovina,Hungary,Lebanon,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Kazakhstan,United States of America,Greece,Ukraine,"China, mainland",Czechoslovakia,The former Yugoslav Republic of Macedonia,Algeria,Venezuela (Bolivarian Republic of),Croatia,Bulgaria,Myanmar,Brazil
1961,,481400.0,140.0,4300.0,2016.0,2016.0,750.0,150.0,,12193.0,,-1.0,58237.0,2134.0,,-1.0,,6150.0,,400.0,4753000.0,,800.0,,113000.0,,4000.0,,61000.0,1400.0,,,1500.0,,31730.0,585000.0,,1930.0,,,200.0,,983.0,,-1.0,10935.0,96700.0,,12000.0,7500.0,,,,,,,12201.0,1321.0,,,,,109964.0,250.0,,,,117000.0,-1.0,300.0,,17000.0,5957.0,,61000.0,2403.0,,20.0,,,301000.0,100.0,
1962,,449500.0,160.0,950.0,1207.0,1207.0,750.0,150.0,,11177.0,,-1.0,79708.0,1829.0,,-1.0,,4470.0,,400.0,4795000.0,,900.0,,100000.0,,5000.0,,66000.0,1023.0,,,2300.0,,32010.0,860000.0,,1604.0,,,250.0,,855.0,,-1.0,7874.0,60000.0,,12800.0,6000.0,,,,,,,25699.0,1106.0,,,,,137291.0,300.0,,,,161000.0,-1.0,500.0,,16375.0,4099.0,,66000.0,3520.0,,30.0,,,357000.0,100.0,
1963,,505900.0,187.0,1800.0,2667.0,2667.0,1000.0,180.0,,10492.0,,-1.0,87189.0,3455.0,,-1.0,,4400.0,,400.0,4285000.0,,1000.0,,102000.0,,5422.0,,66000.0,1108.0,,,8700.0,,39500.0,562000.0,,1906.0,,,250.0,,2690.0,,-1.0,18070.0,87000.0,,12800.0,6000.0,,,,,,,44214.0,2109.0,,,,,130086.0,360.0,,,,231000.0,-1.0,600.0,,29190.0,4286.0,,66000.0,5182.0,,40.0,,,336000.0,100.0,
1964,,518100.0,134.0,2300.0,2195.0,2195.0,1000.0,180.0,,9916.0,,-1.0,63394.0,3251.0,,-1.0,,3720.0,,400.0,6058000.0,,1000.0,,83000.0,,5970.0,,66000.0,1542.0,,,10000.0,,45100.0,560000.0,,10900.0,,,300.0,,2762.0,,-1.0,14016.0,165000.0,,12800.0,7000.0,,,,,,,21930.0,1905.0,,,,,117142.0,300.0,,,,260000.0,-1.0,1000.0,,15640.0,4400.0,,66000.0,3033.0,,50.0,,,337000.0,110.0,
1965,,563963.0,98.0,3800.0,1994.0,1994.0,1000.0,200.0,,8771.0,,-1.0,38656.0,3251.0,,-1.0,,2210.0,,400.0,5449000.0,50.0,1100.0,,78000.0,,6283.0,,66000.0,2500.0,,,4000.0,,45160.0,757000.0,,8800.0,,,300.0,,2874.0,,-1.0,13256.0,160000.0,,13200.0,7000.0,,,,,,,17709.0,2109.0,,,,,78369.0,100.0,,,,265000.0,-1.0,1300.0,,20435.0,2360.0,,66000.0,1838.0,,93.0,,,357000.0,115.0,
1966,,672100.0,141.0,2700.0,3409.0,3409.0,1500.0,200.0,,8910.0,,-1.0,99791.0,3270.0,,-1.0,,2340.0,,450.0,6150000.0,100.0,1200.0,,105000.0,,8833.0,,66000.0,1500.0,,,2500.0,,56013.0,900000.0,,32600.0,,,250.0,,4146.0,,-1.0,14873.0,200000.0,,14000.0,7000.0,,,,,,,20575.0,2700.0,,,,,105114.0,43.0,,,,282000.0,-1.0,1500.0,,32250.0,2834.0,,66000.0,2144.0,,161.0,,,423000.0,217.0,
1967,,720700.0,288.0,2150.0,1932.0,1932.0,1500.0,250.0,,9403.0,,-1.0,75995.0,4179.0,,-1.0,,2200.0,,450.0,6608000.0,200.0,1300.0,,110000.0,,12116.0,,70000.0,2000.0,,,1350.0,,33310.0,1120000.0,,20587.0,,,500.0,,4063.0,,-1.0,16334.0,230000.0,,14000.0,8000.0,,,,,,,18671.0,3200.0,,,,,81738.0,530.0,,,,250000.0,-1.0,2000.0,,104080.0,3797.0,,70000.0,2340.0,,194.0,,,478000.0,186.0,
1968,,730841.0,1468.0,3150.0,3193.0,3193.0,1500.0,300.0,,10375.0,,-1.0,48558.0,3445.0,,-1.0,,1450.0,,500.0,6685000.0,200.0,1300.0,,85000.0,,13874.0,,70000.0,6000.0,,,3716.0,,43026.0,1015000.0,,30514.0,,,850.0,,4634.0,,-1.0,11226.0,230000.0,,14400.0,6000.0,,,,,,,26430.0,3000.0,,,,,96734.0,1675.0,,,,309000.0,-1.0,8000.0,,83570.0,836.0,,70000.0,2548.0,,400.0,,,459000.0,200.0,1000.0
1969,,747814.0,1774.0,5800.0,6248.0,6248.0,1900.0,350.0,,14104.0,,-1.0,62515.0,3000.0,,-1.0,,4024.0,,500.0,6358000.0,250.0,1400.0,,93000.0,,16315.0,,73000.0,2920.0,,,2850.0,,28193.0,876000.0,,55100.0,,,2722.0,,1151.0,,-1.0,15422.0,310000.0,,14800.0,8000.0,,,,,,,30436.0,2000.0,,,,,119392.0,2538.0,,,,390130.0,-1.0,30000.0,,80505.0,1086.0,,73000.0,2605.0,,368.0,,,543000.0,230.0,5000.0
1970,,769587.0,2376.0,3100.0,13249.0,13249.0,3300.0,400.0,,14836.0,,-1.0,52368.0,3200.0,,-1.0,,8005.0,,600.0,6144000.0,250.0,1450.0,,100000.0,,18244.0,,70000.0,4000.0,,,21400.0,,28180.0,1140000.0,,158500.0,,,1814.0,76000.0,1290.0,,-1.0,25106.0,375000.0,,14000.0,10000.0,,,,,,,56830.0,3400.0,,,,,95509.0,1572.0,,,,264106.0,-1.0,55000.0,,85785.0,1530.0,,70000.0,3111.0,,1431.0,,,406887.0,300.0,10000.0
