,Ukraine,Estonia,Bolivia (Plurinational State of),Peru,Georgia,Belarus,Croatia,Serbia,Tajikistan,Armenia,Brazil,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,Yugoslav SFR,Republic of Korea,Austria,Netherlands,Greece,Norway,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Slovenia,Morocco,Republic of Moldova,Kyrgyzstan,Cyprus,Argentina,Luxembourg,Democratic People's Republic of Korea,Germany,Belgium,Turkmenistan,Czechoslovakia,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Egypt,Bosnia and Herzegovina,China,Ireland,Uzbekistan,South Africa,Latvia,Albania,Portugal,Slovakia,Czechia,Azerbaijan,Hungary,Montenegro,Kazakhstan,Chile,Australia,France,Viet Nam,Lithuania,Finland,"China, mainland",Russian Federation,Turkey,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,50.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17204.0,18289.0,513876.0,166000.0,-1.0,1590.0,191000.0,20389.0,472092.0,301069.0,21873.0,2800.0,69809.0,10887.0,694000.0,-1.0,-1.0,-1.0,1400.0,-1.0,-1.0,-1,510000.0,-1.0,-1.0,4019138.0,-1.0,-1.0,994309.0,8356000.0,168830.0,33700.0,-1.0,15044000.0,104400.0,4100.0,351200.0,-1.0,-1.0,1300000.0,1219.0,-1.0,8890.0,-1.0,7206.0,119248.0,-1.0,-1.0,-1.0,309856.0,-1.0,-1.0,5131.0,10887.0,346810.0,-1,-1.0,126719.0,1300000.0,-1.0,570000.0,95900.0,130006.0
1962,-1.0,-1.0,50.0,950.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19799.0,17178.0,512262.0,311200.0,-1.0,1770.0,169000.0,19910.0,467295.0,339047.0,19661.0,4000.0,48781.0,9716.0,1034000.0,-1.0,-1.0,-1.0,2100.0,-1.0,-1.0,-1,163100.0,-1.0,-1.0,4691933.0,-1.0,-1.0,916413.0,6685000.0,168880.0,64700.0,-1.0,15322000.0,75400.0,1744.0,452700.0,-1.0,-1.0,1500000.0,1016.0,-1.0,7000.0,-1.0,7075.0,171446.0,-1.0,-1.0,-1.0,244651.0,-1.0,-1.0,5918.0,9716.0,355650.0,-1,-1.0,101308.0,1500000.0,-1.0,690000.0,92900.0,128806.0
1963,-1.0,-1.0,50.0,950.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16535.0,22353.0,319871.0,349500.0,-1.0,1620.0,156000.0,16818.0,322482.0,313260.0,17679.0,2600.0,55935.0,9634.0,741000.0,-1.0,-1.0,-1.0,1800.0,-1.0,-1.0,-1,538000.0,-1.0,-1.0,4913880.0,-1.0,-1.0,879810.0,7124000.0,78450.0,49800.0,-1.0,10690000.0,78200.0,1511.0,423600.0,-1.0,-1.0,1300000.0,1016.0,-1.0,12000.0,-1.0,5175.0,216017.0,-1.0,-1.0,-1.0,227939.0,-1.0,-1.0,7098.0,9634.0,354460.0,-1,-1.0,124100.0,1300000.0,-1.0,900000.0,76800.0,135554.0
1964,-1.0,-1.0,50.0,950.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16801.0,25401.0,291633.0,313575.0,-1.0,1560.0,175000.0,16856.0,387747.0,356167.0,18349.0,1879.0,63715.0,13989.0,825000.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1,651500.0,-1.0,-1.0,5499179.0,-1.0,-1.0,870037.0,6964000.0,121760.0,62600.0,-1.0,12257000.0,92100.0,1482.0,346430.0,-1.0,-1.0,1300000.0,1400.0,-1.0,15000.0,-1.0,6498.0,167442.0,-1.0,-1.0,-1.0,275263.0,-1.0,-1.0,9205.0,13989.0,388690.0,-1,-1.0,163400.0,1300000.0,-1.0,735000.0,85700.0,144856.0
1965,-1.0,-1.0,120.0,903.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16835.0,21337.0,264340.0,453000.0,-1.0,1490.0,156000.0,13996.0,315523.0,249996.0,15576.0,1621.0,51542.0,10669.0,846031.0,-1.0,-1.0,-1.0,4900.0,-1.0,-1.0,-1,245000.0,-1.0,-1.0,4734743.0,-1.0,-1.0,822336.0,8202000.0,171360.0,51100.0,-1.0,14660000.0,124936.0,1919.0,348969.0,-1.0,-1.0,1500000.0,1052.0,-1.0,9000.0,-1.0,4608.0,209080.0,-1.0,-1.0,-1.0,298792.0,-1.0,-1.0,8482.0,10669.0,387410.0,-1,-1.0,189700.0,1500000.0,-1.0,775000.0,83200.0,110265.0
1966,-1.0,-1.0,550.0,890.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16555.0,11177.0,136886.0,437400.0,-1.0,1000.0,176000.0,19710.0,363184.0,190381.0,14836.0,727.0,56159.0,15785.0,705919.0,-1.0,-1.0,-1.0,700.0,-1.0,-1.0,-1,270000.0,-1.0,-1.0,4338244.0,-1.0,-1.0,789820.0,7661000.0,84900.0,45600.0,-1.0,11830000.0,99600.0,1753.0,325800.0,-1.0,-1.0,1300000.0,1100.0,-1.0,7711.0,-1.0,6174.0,144611.0,-1.0,-1.0,-1.0,251581.0,-1.0,-1.0,11084.0,15785.0,356500.0,-1,-1.0,118600.0,1300000.0,-1.0,850000.0,83300.0,82612.0
1967,-1.0,-1.0,550.0,979.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17201.0,12193.0,118398.0,303974.0,-1.0,700.0,171000.0,13133.0,377150.0,239077.0,12642.0,2319.0,38238.0,10342.0,608329.0,-1.0,-1.0,-1.0,1600.0,-1.0,-1.0,-1,352000.0,-1.0,-1.0,5148055.0,-1.0,-1.0,688947.0,7645000.0,197100.0,62900.0,-1.0,11687000.0,70600.0,2050.0,335937.0,-1.0,-1.0,1300000.0,1000.0,-1.0,12701.0,-1.0,7001.0,174837.0,-1.0,-1.0,-1.0,229860.0,-1.0,-1.0,8450.0,10342.0,344400.0,-1,-1.0,162700.0,1300000.0,-1.0,900000.0,81500.0,103546.0
1968,-1.0,-1.0,550.0,877.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18528.0,11177.0,130780.0,330823.0,-1.0,200.0,138000.0,11921.0,413298.0,239081.0,8281.0,4224.0,24069.0,20173.0,583486.0,-1.0,-1.0,-1.0,2100.0,-1.0,-1.0,-1,360000.0,-1.0,-1.0,5125650.0,-1.0,-1.0,768651.0,8438200.0,211400.0,58300.0,-1.0,12708000.0,47796.0,2518.0,355100.0,-1.0,-1.0,1100000.0,600.0,-1.0,7000.0,-1.0,6280.0,199179.0,-1.0,-1.0,-1.0,239946.0,-1.0,-1.0,7704.0,20173.0,326950.0,-1,-1.0,133900.0,1100000.0,-1.0,820000.0,75100.0,95759.0
1969,-1.0,-1.0,400.0,787.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19005.0,11177.0,125898.0,384952.0,-1.0,210.0,135290.0,13094.0,439896.0,206532.0,8981.0,4170.0,28631.0,11349.0,767212.0,-1.0,-1.0,-1.0,800.0,-1.0,-1.0,-1,377000.0,-1.0,-1.0,4432537.0,-1.0,-1.0,686722.0,8166900.0,184300.0,43400.0,-1.0,9850000.0,46704.0,2000.0,344900.0,-1.0,-1.0,1300000.0,1000.0,-1.0,7300.0,-1.0,7664.0,167279.0,-1.0,-1.0,-1.0,239048.0,-1.0,-1.0,10159.0,11349.0,309010.0,-1,-1.0,125800.0,1300000.0,-1.0,817000.0,70700.0,81006.0
1970,-1.0,-1.0,400.0,930.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18972.0,13209.0,133190.0,480206.0,-1.0,210.0,127000.0,10335.0,362521.0,172347.0,8987.0,4800.0,27874.0,22157.0,935773.0,-1.0,-1.0,-1.0,8160.0,-1.0,-1.0,-1,180700.0,-1.0,-1.0,4148214.0,-1.0,-1.0,453688.0,5433400.0,227500.0,49400.0,-1.0,11675000.0,42884.0,2000.0,258800.0,-1.0,-1.0,1350000.0,1000.0,-1.0,7000.0,-1.0,9043.0,156954.0,-1.0,-1.0,-1.0,157783.0,-1.0,-1.0,10746.0,22157.0,287000.0,-1,-1.0,131400.0,1350000.0,-1.0,630000.0,68500.0,69645.0
