,Slovakia,USSR,Japan,Poland,Turkey,Switzerland,Trinidad and Tobago,The former Yugoslav Republic of Macedonia,Georgia,Latvia,Azerbaijan,Kenya,France,Republic of Korea,Romania,Italy,Ukraine,Zimbabwe,Hungary,China,Russian Federation,Cameroon,Bolivia (Plurinational State of),Yugoslav SFR,Slovenia,Albania,Peru,Brazil,Portugal,Serbia and Montenegro,Greece,Democratic People's Republic of Korea,"China, mainland",Chile,Spain,Bosnia and Herzegovina,Bulgaria,Malawi
1961,,1400.0,27500.0,-1.0,38400.0,-1.0,,,,,,,71230.0,500.0,-1.0,123854.0,,-1.0,800.0,129000.0,,,-1.0,5250.0,,-1.0,-1.0,199.0,82000.0,,12634.0,2500.0,129000.0,,99000.0,,131.0,
1962,,1400.0,28100.0,-1.0,35200.0,-1.0,,,,,,,92920.0,500.0,-1.0,107779.0,,-1.0,1500.0,130000.0,,,-1.0,1600.0,,-1.0,-1.0,201.0,96000.0,,15526.0,2800.0,130000.0,,70000.0,,98.0,
1963,,1800.0,23600.0,-1.0,31640.0,-1.0,,,,,,,93670.0,700.0,-1.0,113284.0,,-1.0,2500.0,132000.0,,,-1.0,1400.0,,-1.0,-1.0,221.0,64000.0,,15168.0,3000.0,132000.0,,79000.0,,99.0,
1964,,2000.0,28500.0,-1.0,32000.0,-1.0,,,,,,,89850.0,800.0,-1.0,96832.0,,-1.0,1700.0,133000.0,,,-1.0,4100.0,,-1.0,-1.0,224.0,90000.0,,13401.0,3300.0,133000.0,,87000.0,,103.0,
1965,,2500.0,26200.0,-1.0,33000.0,-1.0,,,,,,,82460.0,1000.0,-1.0,86549.0,,-1.0,1231.0,135000.0,,,-1.0,7800.0,,-1.0,-1.0,225.0,47000.0,,14636.0,3400.0,135000.0,,88000.0,,77.0,
1966,,2200.0,33600.0,-1.0,30000.0,-1.0,,,,,,,81190.0,1134.0,-1.0,91440.0,,-1.0,2242.0,136000.0,,,-1.0,4800.0,,-1.0,-1.0,145.0,93895.0,,15597.0,3500.0,136000.0,,76000.0,,88.0,
1967,,2600.0,39700.0,-1.0,34000.0,-1.0,,,,,,,67811.0,1201.0,-1.0,89154.0,,-1.0,1985.0,138000.0,,,-1.0,6400.0,,-1.0,-1.0,146.0,89670.0,,15650.0,3600.0,138000.0,,65000.0,,100.0,
1968,,3000.0,48200.0,-1.0,43000.0,-1.0,,,,,,,61060.0,1793.0,-1.0,71344.0,,-1.0,2294.0,140000.0,,,-1.0,2700.0,,-1.0,-1.0,138.0,72515.0,,18635.0,3700.0,140000.0,,82000.0,,200.0,
1969,,2500.0,48600.0,-1.0,45500.0,-1.0,,,,,,,65900.0,1734.0,-1.0,72382.0,,-1.0,2320.0,143000.0,,,-1.0,4000.0,,-1.0,-1.0,121.0,81721.0,,15480.0,3800.0,143000.0,,82000.0,,100.0,
1970,,3600.0,48300.0,-1.0,48000.0,-1.0,,,,,,,47670.0,2333.0,-1.0,66431.0,,-1.0,2389.0,145000.0,,,-1.0,6500.0,,-1.0,-1.0,117.0,91663.0,,17469.0,4000.0,145000.0,,81700.0,,100.0,
1971,,3700.0,49900.0,-1.0,48000.0,-1.0,,,,,,,44140.0,2789.0,-1.0,61800.0,,-1.0,2444.0,146000.0,,,-1.0,6500.0,,-1.0,-1.0,119.0,25900.0,,17106.0,4100.0,146000.0,,75000.0,,100.0,
1972,,3300.0,55800.0,-1.0,50600.0,-1.0,,,,,,,37100.0,2905.0,-1.0,57496.0,,-1.0,2306.0,148000.0,,,-1.0,5100.0,,-1.0,-1.0,127.0,46500.0,,17679.0,4200.0,148000.0,,72600.0,,200.0,
1973,,4200.0,63100.0,-1.0,52000.0,-1.0,,,,,,,44460.0,2949.0,-1.0,71316.0,,-1.0,2796.0,150000.0,,,-1.0,6800.0,,-1.0,-1.0,92.0,46800.0,,19876.0,4300.0,150000.0,,65300.0,,200.0,
1974,,3700.0,59000.0,-1.0,48000.0,-1.0,,,,,,,30320.0,3449.0,-1.0,60548.0,,-1.0,2754.0,145000.0,,,-1.0,3900.0,,-1.0,-1.0,,32400.0,,14793.0,4500.0,145000.0,,45000.0,,150.0,
1975,,4200.0,59800.0,-1.0,47000.0,-1.0,,,,,,,39220.0,7697.0,-1.0,69303.0,,-1.0,2907.0,142000.0,,,-1.0,1200.0,,-1.0,-1.0,,32724.0,,16287.0,4600.0,142000.0,,25000.0,,150.0,
1976,,4600.0,56200.0,-1.0,47700.0,-1.0,,,,,,,59140.0,8811.0,-1.0,56347.0,,-1.0,4031.0,138000.0,,,-1.0,2600.0,,-1.0,-1.0,,33378.0,,15092.0,4700.0,138000.0,,34901.0,,250.0,
1977,,5300.0,59100.0,-1.0,48200.0,-1.0,,,,,,,48497.0,37410.0,-1.0,54820.0,,-1.0,4739.0,135000.0,,,-1.0,1700.0,,-1.0,-1.0,,28705.0,,13054.0,4800.0,135000.0,,19705.0,,200.0,
1978,,4800.0,60600.0,-1.0,45000.0,-1.0,,,,,,,43710.0,58174.0,-1.0,73111.0,,-1.0,4144.0,130000.0,,,-1.0,1500.0,,-1.0,-1.0,,28131.0,,13868.0,5000.0,130000.0,,12193.0,,200.0,
1979,,4800.0,65300.0,-1.0,46000.0,-1.0,,,,,,,53751.0,80930.0,-1.0,70849.0,,-1.0,3749.0,123000.0,,,-1.0,1700.0,,-1.0,-1.0,,22224.0,,13160.0,5200.0,123000.0,,37515.0,,255.0,
1980,,5200.0,47000.0,-1.0,58500.0,-1.0,,,,,,,24428.0,84470.0,-1.0,63384.0,,-1.0,3498.0,115000.0,,,-1.0,4669.0,,-1.0,1500.0,,20224.0,,14300.0,5500.0,115000.0,,24303.0,,37.0,
1981,,6400.0,59100.0,-1.0,59000.0,-1.0,,,,,,,26000.0,62950.0,-1.0,67353.0,,-1.0,4276.0,106000.0,,,-1.0,5500.0,,-1.0,1755.0,,18200.0,,13176.0,5800.0,106000.0,,20771.0,,13.0,
1982,,6000.0,51500.0,-1.0,55000.0,-1.0,,,,,,,23500.0,66153.0,-1.0,73431.0,,-1.0,5416.0,100000.0,,,-1.0,4100.0,,-1.0,1881.0,,17290.0,,14805.0,6000.0,100000.0,,23197.0,,40.0,
1983,,6500.0,53500.0,-1.0,55000.0,-1.0,,,,,,,16600.0,72000.0,-1.0,76729.0,,-1.0,4050.0,92000.0,,,-1.0,5000.0,,-1.0,1586.0,,18846.0,,14107.0,6500.0,92000.0,,27713.0,,8.0,
1984,,7000.0,54300.0,-1.0,57000.0,-1.0,,,,,,,14600.0,66000.0,-1.0,50939.0,,-1.0,3737.0,83400.0,,,-1.0,4000.0,,-1.0,1672.0,,17901.0,,11700.0,6000.0,83400.0,,28515.0,,13.0,
1985,,7500.0,48200.0,-1.0,59000.0,-1.0,,,,,,,14200.0,72000.0,-1.0,38840.0,,-1.0,2353.0,83198.0,,20.0,24000.0,1500.0,,-1.0,1780.0,,17005.0,,10345.0,6500.0,83198.0,,27567.0,,3.0,
1986,,8000.0,53700.0,-1.0,70000.0,-1.0,,,,,,,14600.0,58411.0,-1.0,55676.0,,-1.0,2879.0,95375.0,,40.0,25000.0,4800.0,,-1.0,1682.0,,16565.0,,11429.0,5300.0,95375.0,,26249.0,,112.0,
1987,,9000.0,48200.0,-1.0,90000.0,-1.0,,,,,,,15900.0,57047.0,-1.0,55682.0,,-1.0,2102.0,114539.0,,50.0,26000.0,4500.0,,-1.0,1644.0,,18261.0,,10764.0,5200.0,114539.0,,33691.0,,10.0,
1988,,10000.0,42700.0,-1.0,90000.0,-1.0,,,,,,,17202.0,77652.0,-1.0,52296.0,,-1.0,1976.0,103576.0,,60.0,27000.0,3500.0,,-1.0,1586.0,,17648.0,,9762.0,7000.0,103576.0,,35721.0,,17.0,
1989,,11000.0,39500.0,-1.0,73000.0,-1.0,,,,,,,13839.0,78752.0,-1.0,50273.0,,-1.0,1498.0,102546.0,,70.0,27440.0,3000.0,,-1.0,2053.0,,21039.0,,13788.0,7200.0,102546.0,,25592.0,,8.0,
1990,,12000.0,40200.0,-1.0,80000.0,-1.0,,,,,,,13560.0,85043.0,-1.0,49559.0,,50.0,869.0,115191.0,,100.0,19708.0,2800.0,,-1.0,2083.0,0.0,20405.0,,10882.0,8000.0,115191.0,,23605.0,,21.0,-1.0
1991,,13000.0,32400.0,-1.0,81000.0,200.0,,,,,,,12394.0,89747.0,-1.0,66579.0,,48.0,1094.0,257000.0,,100.0,15894.0,2800.0,,-1.0,1508.0,0.0,15713.0,,12968.0,8200.0,257000.0,,18942.0,,15.0,-1.0
1992,,,33600.0,500.0,85000.0,200.0,,80.0,,-1.0,600.0,,14000.0,101742.0,-1.0,69089.0,-1.0,47.0,756.0,285000.0,-1.0,100.0,27820.0,,464.0,-1.0,1154.0,0.0,15955.0,1536.0,11416.0,8000.0,285000.0,,21698.0,760.0,30.0,-1.0
1993,-1.0,,27100.0,100.0,80000.0,200.0,,130.0,,-1.0,500.0,-1.0,13136.0,80994.0,1000.0,67722.0,-1.0,47.0,1130.0,286000.0,-1.0,100.0,24000.0,,500.0,-1.0,1278.0,0.0,14129.0,1600.0,10600.0,7500.0,286000.0,,23847.0,770.0,50.0,-1.0
1994,-1.0,,32900.0,50.0,76000.0,200.0,,120.0,,-1.0,600.0,-1.0,12896.0,100163.0,1000.0,69852.0,-1.0,47.0,900.0,315000.0,-1.0,100.0,22500.0,,300.0,-1.0,1657.0,0.0,21439.0,1500.0,11500.0,7000.0,315000.0,,19441.0,750.0,100.0,-1.0
1995,-1.0,,34400.0,137.0,77000.0,201.0,,300.0,,-1.0,500.0,-1.0,11016.0,93655.0,1000.0,71971.0,-1.0,46.0,1100.0,300000.0,-1.0,100.0,31229.0,,200.0,-1.0,2215.0,0.0,23238.0,1400.0,12053.0,7500.0,300000.0,,10075.0,790.0,100.0,-1.0
