,"China, Taiwan Province of",USSR,Japan,Poland,Norway,Denmark,Switzerland,Mexico,Portugal,France,Romania,Italy,Hungary,Germany,Russian Federation,Bulgaria,Sweden,Peru,China,United States of America,Latvia,Australia & New Zealand,Morocco,Slovenia,Uzbekistan,Canada,Australia,Spain,Lithuania,Kyrgyzstan,Netherlands,Ukraine,New Zealand
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,223.0,,,-1.0,,,2800.0,,,,,-1.0,,
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,219.0,,,-1.0,,,2750.0,,,,,-1.0,,
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,247.0,,,-1.0,,,3900.0,,,,,-1.0,,
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,251.0,,,-1.0,,,3260.0,,,,,-1.0,,
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,254.0,,,-1.0,,,2840.0,,,,,-1.0,,
1966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3000.0,-1.0,-1.0,263.0,,,-1.0,,,6100.0,,,,,-1.0,,
1967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3000.0,-1.0,-1.0,263.0,,,-1.0,,,4900.0,,,,,-1.0,,
1968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3050.0,-1.0,-1.0,263.0,,,-1.0,,,2860.0,,,,,-1.0,,
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3100.0,-1.0,-1.0,13300.0,,,-1.0,,,4650.0,,,,,-1.0,,
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3150.0,-1.0,-1.0,13300.0,,,-1.0,,,4470.0,,,,,-1.0,,
1971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3200.0,-1.0,-1.0,17000.0,,,-1.0,,,3500.0,,,,,-1.0,,
1972,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3500.0,-1.0,-1.0,14000.0,,2.0,-1.0,,,4100.0,,,,,-1.0,,2.0
1973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3500.0,-1.0,-1.0,18700.0,,2.0,-1.0,,,5830.0,,,,,-1.0,,2.0
1974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3600.0,-1.0,-1.0,16000.0,,2.0,-1.0,,,3050.0,,,,,-1.0,,2.0
1975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3600.0,-1.0,-1.0,14000.0,,2.0,-1.0,,,5140.0,,,,,-1.0,,2.0
1976,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3700.0,-1.0,-1.0,16300.0,,5.0,-1.0,,,3950.0,,,,,-1.0,,5.0
1977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3800.0,-1.0,-1.0,10900.0,,8.0,-1.0,,,5050.0,,,,,-1.0,,8.0
1978,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3900.0,-1.0,-1.0,14670.0,,8.0,-1.0,,,5000.0,,,,,-1.0,,8.0
1979,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,4000.0,-1.0,-1.0,14850.0,,14.0,-1.0,,,4700.0,,,,,-1.0,,14.0
1980,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,4100.0,-1.0,-1.0,14830.0,,130.0,-1.0,,,5400.0,,,,,-1.0,,130.0
1981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,4000.0,-1.0,-1.0,15980.0,,304.0,-1.0,,,6200.0,,,,,-1.0,,304.0
1982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3900.0,-1.0,-1.0,19700.0,,450.0,-1.0,,,8200.0,,,,,-1.0,,450.0
1983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,3950.0,-1.0,-1.0,21700.0,,487.0,-1.0,,,7800.0,,,,,-1.0,,487.0
1984,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,,-1.0,4000.0,-1.0,-1.0,21000.0,,516.0,-1.0,,,5900.0,,,,,-1.0,,516.0
1985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,60.0,-1.0,-1.0,,-1.0,3980.0,-1.0,-1.0,22400.0,,606.0,-1.0,,,7700.0,,,,,-1.0,,606.0
1986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,80.0,-1.0,-1.0,,-1.0,3960.0,-1.0,-1.0,22100.0,,566.0,-1.0,,,6600.0,,,,,-1.0,,566.0
1987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,130.0,-1.0,-1.0,,-1.0,3950.0,-1.0,-1.0,22200.0,,553.0,-1.0,,,10300.0,,,,,-1.0,,553.0
1988,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,80.0,-1.0,-1.0,,-1.0,3940.0,-1.0,-1.0,21600.0,,532.0,-1.0,,,9687.0,,,,,60.0,,532.0
1989,-1.0,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,90.0,-1.0,-1.0,,-1.0,3950.0,-1.0,-1.0,22300.0,,495.0,10.0,,,14063.0,,,,,60.0,,495.0
1990,-1.0,247.0,-1.0,425.0,-1.0,-1.0,-1.0,-1.0,-1.0,1700.0,-1.0,89.0,-1.0,-1.0,,-1.0,3960.0,-1.0,-1.0,26400.0,,346.0,10.0,,,13741.0,,-1.0,,,500.0,,346.0
1991,-1.0,239.0,-1.0,810.0,-1.0,-1.0,-1.0,-1.0,-1.0,1800.0,-1.0,120.0,-1.0,-1.0,,-1.0,3900.0,-1.0,-1.0,24800.0,,350.0,10.0,,,15100.0,,-1.0,,,600.0,,350.0
1992,-1.0,,-1.0,1220.0,-1.0,-1.0,-1.0,-1.0,-1.0,1800.0,150.0,100.0,-1.0,-1.0,-1.0,-1.0,3920.0,-1.0,-1.0,13620.0,-1.0,328.0,10.0,-1.0,100.0,18231.0,,-1.0,3500.0,-1.0,700.0,-1.0,328.0
1993,-1.0,,-1.0,1570.0,-1.0,-1.0,-1.0,25.0,-1.0,1900.0,146.0,118.0,-1.0,-1.0,-1.0,-1.0,3920.0,-1.0,-1.0,14770.0,-1.0,340.0,10.0,-1.0,100.0,19492.0,-1.0,-1.0,2500.0,-1.0,800.0,-1.0,340.0
1994,-1.0,,-1.0,1600.0,-1.0,-1.0,-1.0,200.0,-1.0,2000.0,200.0,104.0,-1.0,-1.0,-1.0,-1.0,3900.0,-1.0,-1.0,15000.0,-1.0,357.0,10.0,-1.0,100.0,17943.0,-1.0,-1.0,3500.0,-1.0,700.0,-1.0,357.0
1995,-1.0,,-1.0,2550.0,-1.0,-1.0,-1.0,200.0,-1.0,2100.0,350.0,120.0,-1.0,-1.0,-1.0,-1.0,3920.0,-1.0,-1.0,15390.0,-1.0,377.0,10.0,-1.0,100.0,18250.0,-1.0,,3300.0,-1.0,900.0,-1.0,377.0
1996,-1.0,,-1.0,3000.0,-1.0,-1.0,-1.0,200.0,-1.0,2200.0,500.0,150.0,-1.0,-1.0,-1.0,-1.0,3940.0,-1.0,-1.0,15280.0,-1.0,280.0,10.0,-1.0,100.0,19888.0,-1.0,,3200.0,-1.0,900.0,-1.0,280.0
1997,-1.0,,-1.0,2921.0,-1.0,-1.0,-1.0,200.0,-1.0,2200.0,649.0,180.0,-1.0,-1.0,-1.0,-1.0,3920.0,-1.0,-1.0,15650.0,-1.0,200.0,10.0,-1.0,100.0,20048.0,-1.0,,4200.0,-1.0,1000.0,-1.0,200.0
1998,-1.0,,-1.0,3500.0,-1.0,-1.0,-1.0,115.0,-1.0,2300.0,485.0,225.0,-1.0,-1.0,-1.0,-1.0,3900.0,-1.0,-1.0,14080.0,-1.0,256.0,10.0,-1.0,100.0,19955.0,-1.0,,5200.0,-1.0,900.0,-1.0,256.0
1999,-1.0,,-1.0,3800.0,-1.0,-1.0,-1.0,110.0,-1.0,2300.0,600.0,170.0,-1.0,-1.0,-1.0,-1.0,3920.0,-1.0,-1.0,15917.0,-1.0,220.0,10.0,-1.0,100.0,22511.0,-1.0,,3800.0,-1.0,853.0,-1.0,220.0
2000,-1.0,,-1.0,4000.0,-1.0,-1.0,-1.0,60.0,-1.0,2500.0,707.0,228.0,-1.0,-1.0,-1.0,-1.0,3940.0,-1.0,-1.0,16318.0,-1.0,348.0,10.0,-1.0,100.0,23921.0,-1.0,,3500.0,-1.0,898.0,900.0,348.0
2001,-1.0,,-1.0,4500.0,-1.0,-1.0,-1.0,60.0,-1.0,2500.0,550.0,194.0,-1.0,-1.0,-1.0,-1.0,3950.0,-1.0,-1.0,16361.0,-1.0,350.0,10.0,-1.0,100.0,25000.0,-1.0,,3900.0,-1.0,909.0,500.0,350.0
2002,-1.0,,-1.0,3800.0,-1.0,-1.0,-1.0,60.0,-1.0,2600.0,500.0,183.0,-1.0,-1.0,500.0,-1.0,3960.0,-1.0,-1.0,16936.0,-1.0,366.0,10.0,-1.0,100.0,25817.0,-1.0,,5000.0,-1.0,1000.0,600.0,366.0
2003,-1.0,,-1.0,4986.0,-1.0,-1.0,-1.0,60.0,-1.0,2600.0,650.0,200.0,-1.0,-1.0,600.0,-1.0,3900.0,-1.0,-1.0,16864.0,-1.0,384.0,10.0,-1.0,100.0,27142.0,-1.0,,4663.0,-1.0,788.0,800.0,384.0
