,Ukraine,Peru,Yemen,Belarus,Croatia,Serbia,India,Armenia,Brazil,Belgium,Nepal,Pakistan,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Iraq,Republic of Korea,Cyprus,Spain,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Slovenia,Czechoslovakia,Kyrgyzstan,Argentina,Luxembourg,Georgia,Germany,Austria,Morocco,Switzerland,Mexico,USSR,Romania,Azerbaijan,Jordan,Bosnia and Herzegovina,China,Uzbekistan,Yugoslav SFR,Slovakia,Lebanon,Czechia,France,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Australia,Portugal,Egypt,Republic of Moldova,Poland,"China, mainland",Turkey,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8571.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,803211.0,-1.0,-1.0,10633.0,18182.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43952.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26923.0,-1.0,-1.0,-1.0,-1.0,16788.0,21606.0,-1.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8571.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,874611.0,-1.0,-1.0,12543.0,18182.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41651.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,17475.0,21129.0,-1.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8667.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,839632.0,-1.0,-1.0,13221.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43474.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23214.0,-1.0,-1.0,-1.0,-1.0,16634.0,22550.0,-1.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8750.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,20000.0,8875.0,774192.0,-1.0,-1.0,14120.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43836.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53571.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23214.0,-1.0,-1.0,-1.0,-1.0,17374.0,21232.0,-1.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8750.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,22222.0,6375.0,698325.0,-1.0,-1.0,12811.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44812.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23214.0,-1.0,-1.0,-1.0,-1.0,16309.0,25217.0,-1.0
1966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8889.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,21077.0,8875.0,615440.0,-1.0,-1.0,14781.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45740.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21667.0,-1.0,-1.0,-1.0,-1.0,16000.0,25882.0,-1.0
1967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8800.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,21875.0,10200.0,547011.0,-1.0,-1.0,11698.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47167.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,111324.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21667.0,-1.0,-1.0,-1.0,-1.0,17659.0,29370.0,-1.0
1968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8750.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,21000.0,10200.0,663073.0,-1.0,-1.0,14559.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40883.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,140000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19412.0,-1.0,-1.0,-1.0,-1.0,20571.0,30375.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9091.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,22571.0,10200.0,651648.0,-1.0,-1.0,15726.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70804.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20875.0,-1.0,-1.0,-1.0,-1.0,18000.0,30808.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8750.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,20333.0,14000.0,298491.0,-1.0,-1.0,16359.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47659.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,130471.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12795.0,-1.0,-1.0,-1.0,-1.0,21578.0,33279.0,-1.0
1971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9167.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,21429.0,14833.0,192515.0,-1.0,-1.0,19551.0,18421.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45962.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,116706.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19582.0,-1.0,-1.0,-1.0,-1.0,21823.0,36352.0,-1.0
