,Turkey,Bulgaria,Poland,Chile,USSR,Belarus,United States of America,Estonia,The former Yugoslav Republic of Macedonia,Latvia,Azerbaijan,France,Spain,Tunisia,Romania,Canada,Ukraine,Germany
1961,,-1.0,,,-1.0,,56082.0,,,,,-1.0,-1.0,,-1.0,326.0,,
1962,,-1.0,,,-1.0,,60078.0,,,,,-1.0,-1.0,,-1.0,240.0,,
1963,,-1.0,,,-1.0,,56903.0,,,,,-1.0,-1.0,,-1.0,485.0,,
1964,,-1.0,,,-1.0,,60078.0,,,,,-1.0,-1.0,,-1.0,472.0,,
1965,,-1.0,,,-1.0,,64537.0,,,,,-1.0,-1.0,,-1.0,703.0,,
1966,,-1.0,,,-1.0,,71286.0,,,,,-1.0,-1.0,,-1.0,815.0,,
1967,,-1.0,,,-1.0,,63698.0,,,,,-1.0,-1.0,,-1.0,1105.0,,
1968,,-1.0,,,-1.0,,66533.0,,,,,-1.0,-1.0,,-1.0,1451.0,,
1969,,-1.0,,,-1.0,,82694.0,,,,,-1.0,-1.0,,-1.0,1300.0,,
1970,,-1.0,,,-1.0,,92378.0,,,,,-1.0,-1.0,,-1.0,2686.0,,
1971,,-1.0,,,-1.0,,102729.0,,,,,-1.0,-1.0,,-1.0,4796.0,,
1972,,-1.0,,,-1.0,,94256.0,,,,,-1.0,-1.0,,-1.0,3559.0,,
1973,,-1.0,,,-1.0,,95268.0,,,,,-1.0,-1.0,,-1.0,5289.0,,
1974,,-1.0,,,-1.0,,101423.0,,,,,-1.0,-1.0,,-1.0,4270.0,,
1975,,-1.0,,,-1.0,,94125.0,,,,,-1.0,-1.0,,-1.0,5741.0,,
1976,,-1.0,,,-1.0,,109193.0,,,,,-1.0,-1.0,,-1.0,6498.0,,
1977,,-1.0,,,-1.0,,95354.0,,,,,-1.0,-1.0,,-1.0,6882.0,,
1978,,-1.0,,,-1.0,,111515.0,,,,,-1.0,-1.0,,-1.0,7161.0,,
1979,,-1.0,,,-1.0,,112290.0,,,,,-1.0,-1.0,,-1.0,7430.0,,
1980,,-1.0,,,-1.0,,122360.0,,,,,-1.0,-1.0,,-1.0,5819.0,,
1981,,-1.0,,,-1.0,,117620.0,,,,,-1.0,-1.0,,-1.0,7948.0,,
1982,,-1.0,,,-1.0,,137850.0,,,,,-1.0,-1.0,,-1.0,7130.0,,
1983,,-1.0,,,-1.0,,135440.0,,,,,-1.0,-1.0,,-1.0,8452.0,,
1984,,-1.0,,,-1.0,,150680.0,,,,,-1.0,-1.0,,-1.0,6124.0,,
1985,,-1.0,,,-1.0,,158100.0,,,,,-1.0,-1.0,,-1.0,8185.0,,
1986,5.0,-1.0,,,-1.0,,167400.0,,,,,-1.0,-1.0,,-1.0,8488.0,,
1987,10.0,-1.0,,,-1.0,,153900.0,,,,,-1.0,-1.0,,-1.0,11353.0,,
1988,15.0,-1.0,,,-1.0,,185100.0,,,,,-1.0,-1.0,,-1.0,12533.0,,
1989,,-1.0,,,5000.0,,170000.0,,,,,-1.0,-1.0,50.0,-1.0,11236.0,,
1990,25.0,-1.0,,,6490.0,,153850.0,,,,,-1.0,-1.0,49.0,-1.0,16391.0,,-1.0
1991,15.0,-1.0,,,8490.0,,191400.0,,,,,-1.0,-1.0,50.0,-1.0,17690.0,,-1.0
1992,20.0,-1.0,,,,1000.0,188700.0,-1.0,-1.0,5000.0,700.0,-1.0,-1.0,50.0,-1.0,20110.0,-1.0,-1.0
1993,55.0,-1.0,,,,1000.0,177808.0,-1.0,-1.0,12000.0,600.0,-1.0,-1.0,50.0,-1.0,15630.0,-1.0,-1.0
1994,50.0,-1.0,,,,1000.0,212370.0,-1.0,100.0,7000.0,600.0,0.0,-1.0,50.0,-1.0,25360.0,-1.0,-1.0
1995,52.0,-1.0,-1.0,,,1000.0,190240.0,-1.0,200.0,14000.0,600.0,0.0,-1.0,50.0,-1.0,24620.0,-1.0,-1.0
1996,62.0,-1.0,-1.0,,,1000.0,211920.0,-1.0,100.0,5600.0,500.0,0.0,-1.0,50.0,-1.0,22990.0,-1.0,-1.0
1997,52.0,-1.0,-1.0,,,2000.0,249400.0,,133.0,14000.0,600.0,0.0,-1.0,50.0,-1.0,24960.0,-1.0,-1.0
1998,56.0,-1.0,,,,3000.0,246753.0,,200.0,4000.0,1000.0,0.0,-1.0,50.0,-1.0,36180.0,-1.0,-1.0
