,Cuba,Pacific Islands Trust Territory,United States of America,South Africa,Haiti,Micronesia (Federated States of),Israel,Australia & New Zealand,Dominica,Panama,Madagascar,Puerto Rico,French Guiana,Philippines,Samoa,Ethiopia,Kenya,Guyana,Costa Rica,Swaziland,Senegal,Lebanon,Tunisia,Cayman Islands,Brazil,Paraguay,Polynesia,Morocco,El Salvador,Chile,Honduras,Argentina,Australia,Spain,Central African Republic,Bahamas,Saint Lucia,Jamaica,Ecuador,Réunion,Indonesia,Seychelles,Turkey,Colombia,Trinidad and Tobago,Grenada,Greece,Mauritius,France,Timor-Leste,Democratic Republic of the Congo,New Zealand,Micronesia,Zimbabwe,Congo,Barbados,Martinique,Dominican Republic,Portugal,Bolivia (Plurinational State of),Occupied Palestinian Territory,Peru,Ghana,Mexico,Cook Islands,China,"China, mainland",French Polynesia,Guadeloupe,Sri Lanka,Cyprus,Guam,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Rwanda,Bosnia and Herzegovina,Cameroon,Guatemala
1961,35000.0,10.0,51342.0,4733.0,40000.0,,800.0,400.0,100.0,5100.0,,4767.0,50.0,13320.0,1190.0,,16000.0,300.0,10600.0,-1.0,,-1.0,-1.0,,82500.0,10000.0,1640.0,1000.0,16400.0,8000.0,3586.0,2000.0,400.0,340.0,200.0,-1.0,310.0,2887.0,16000.0,,30000.0,6.0,,12000.0,180.0,2000.0,,,,-1.0,14000.0,,16.0,-1.0,6500.0,160.0,1400.0,106215.0,-1.0,1500.0,-1.0,19910.0,4000.0,108057.0,450.0,-1.0,-1.0,,100.0,,40.0,6.0,53710.0,5000.0,-1.0,,12000.0,12200.0
1962,35000.0,9.0,47382.0,5412.0,40000.0,,1200.0,400.0,100.0,5300.0,,4336.0,50.0,13000.0,1250.0,,16000.0,310.0,11000.0,-1.0,,-1.0,-1.0,,93750.0,10000.0,1700.0,1000.0,17600.0,9000.0,3683.0,3000.0,400.0,373.0,200.0,-1.0,315.0,2315.0,25920.0,,30000.0,6.0,,12200.0,190.0,2000.0,,,,-1.0,14000.0,,15.0,-1.0,6500.0,155.0,1500.0,107850.0,-1.0,1610.0,-1.0,20930.0,4000.0,112934.0,450.0,-1.0,-1.0,,100.0,,45.0,6.0,53832.0,5000.0,-1.0,,13000.0,13100.0
1963,35983.0,7.0,55579.0,4054.0,41000.0,,1550.0,500.0,100.0,5500.0,,4858.0,50.0,13900.0,1320.0,,16000.0,320.0,11700.0,-1.0,,-1.0,-1.0,,100000.0,8000.0,1820.0,1000.0,17900.0,10000.0,3823.0,2900.0,500.0,377.0,200.0,-1.0,320.0,2315.0,29174.0,,30000.0,6.0,,12300.0,202.0,2050.0,,,,-1.0,12000.0,,14.0,-1.0,6500.0,160.0,1500.0,109511.0,-1.0,1650.0,-1.0,22460.0,4000.0,130046.0,500.0,-1.0,-1.0,,100.0,,45.0,7.0,53958.0,5000.0,-1.0,,13000.0,13900.0
1964,37779.0,4.0,33752.0,4553.0,42000.0,,1550.0,500.0,100.0,5600.0,,5822.0,50.0,14423.0,1380.0,,16000.0,330.0,12200.0,-1.0,,-1.0,-1.0,,100406.0,8200.0,1910.0,1000.0,18800.0,10500.0,3960.0,3030.0,500.0,347.0,200.0,-1.0,325.0,2588.0,28782.0,,35000.0,6.0,,12400.0,210.0,2050.0,,,,-1.0,12000.0,,11.0,-1.0,6000.0,175.0,1700.0,115674.0,-1.0,1760.0,-1.0,23645.0,4000.0,131721.0,530.0,-1.0,-1.0,,150.0,,45.0,7.0,54079.0,5000.0,-1.0,,14000.0,14200.0
1965,31818.0,4.0,55681.0,4152.0,43000.0,,1400.0,600.0,100.0,5800.0,,5720.0,50.0,15885.0,1440.0,,16000.0,340.0,12800.0,-1.0,,-1.0,-1.0,,110780.0,8600.0,1990.0,1000.0,19800.0,11150.0,4104.0,3520.0,600.0,400.0,250.0,-1.0,330.0,2452.0,23984.0,,35000.0,6.0,,12500.0,220.0,2100.0,,,,-1.0,16000.0,,12.0,-1.0,6000.0,180.0,1600.0,116520.0,-1.0,1570.0,-1.0,29815.0,3861.0,161910.0,550.0,-1.0,-1.0,,150.0,,50.0,8.0,54205.0,5000.0,-1.0,,14000.0,14800.0
1966,12997.0,,55704.0,4011.0,44000.0,,2300.0,600.0,100.0,6000.0,,5720.0,50.0,15885.0,1500.0,,16000.0,350.0,13300.0,-1.0,,-1.0,-1.0,2.0,117459.0,8900.0,2050.0,1000.0,20800.0,10000.0,4245.0,4213.0,600.0,469.0,250.0,-1.0,335.0,2588.0,22998.0,,50000.0,6.0,,12600.0,230.0,2110.0,,,,-1.0,16000.0,,,-1.0,6000.0,181.0,1800.0,115162.0,-1.0,1800.0,-1.0,46522.0,4064.0,169510.0,550.0,-1.0,-1.0,,150.0,,50.0,,48627.0,6000.0,-1.0,,15000.0,16400.0
1967,27541.0,,73400.0,5891.0,45000.0,,3500.0,700.0,100.0,6200.0,,5788.0,50.0,16961.0,1560.0,,16000.0,360.0,14100.0,-1.0,,-1.0,-1.0,2.0,128016.0,9200.0,2160.0,1000.0,21900.0,10500.0,4412.0,4293.0,700.0,599.0,260.0,-1.0,340.0,2452.0,27395.0,,50000.0,6.0,,12700.0,250.0,2120.0,,,,-1.0,17000.0,,,-1.0,6500.0,200.0,1800.0,116798.0,-1.0,1830.0,-1.0,45305.0,3759.0,173899.0,600.0,-1.0,-1.0,,150.0,,50.0,,47752.0,6000.0,-1.0,,15000.0,15800.0
1968,16150.0,,47811.0,6150.0,46000.0,,4750.0,700.0,100.0,6400.0,,5902.0,60.0,14381.0,1620.0,,16000.0,370.0,14800.0,-1.0,,-1.0,-1.0,2.0,140249.0,11200.0,2220.0,1000.0,23600.0,11000.0,4567.0,10525.0,700.0,555.0,250.0,-1.0,345.0,2043.0,30788.0,,50000.0,6.0,,12800.0,270.0,2120.0,,,,-1.0,18000.0,,,-1.0,6500.0,220.0,2000.0,118433.0,-1.0,1860.0,-1.0,49053.0,4000.0,192307.0,600.0,-1.0,-1.0,,200.0,,50.0,,46892.0,6000.0,-1.0,,16000.0,15800.0
1969,16492.0,,67319.0,8747.0,47000.0,,5200.0,800.0,100.0,6600.0,150.0,5902.0,60.0,15179.0,1680.0,,16000.0,380.0,15600.0,-1.0,,-1.0,-1.0,2.0,143852.0,12800.0,2280.0,1000.0,24000.0,11300.0,4673.0,11100.0,800.0,674.0,300.0,-1.0,350.0,2315.0,23768.0,,40000.0,7.0,,12900.0,240.0,2125.0,,,,-1.0,18000.0,,,-1.0,6500.0,299.0,2000.0,120067.0,-1.0,1920.0,-1.0,66388.0,4000.0,201739.0,600.0,-1.0,-1.0,,200.0,,55.0,,46048.0,6000.0,-1.0,,16000.0,17000.0
1970,16080.0,,41854.0,7757.0,48000.0,,4100.0,800.0,100.0,2400.0,400.0,5675.0,60.0,18090.0,1740.0,,16000.0,387.0,16300.0,-1.0,,-1.0,-1.0,2.0,153173.0,14500.0,2390.0,1000.0,24100.0,11500.0,4901.0,9150.0,800.0,600.0,300.0,-1.0,355.0,2452.0,23358.0,,33000.0,7.0,,13000.0,220.0,2125.0,,,,-1.0,19500.0,,,-1.0,6500.0,260.0,2000.0,121702.0,-1.0,1950.0,-1.0,87396.0,4000.0,226034.0,650.0,-1.0,-1.0,,200.0,,55.0,,45219.0,6000.0,-1.0,,17000.0,17700.0
