,USSR,France,Australia & New Zealand,Pakistan,Thailand,Ethiopia,Kenya,Romania,Democratic People's Republic of Korea,Lebanon,Yemen,Tunisia,Albania,Brazil,Paraguay,Niger,Serbia,Slovenia,Hungary,Argentina,Colombia,Spain,India,Malta,Ecuador,Cabo Verde,Indonesia,Republic of Moldova,Canada,Turkey,Jordan,South Sudan,Egypt,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Republic of Korea,Nigeria,Montenegro,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",Madagascar,Cyprus,Kazakhstan,Uruguay,Lithuania,Portugal,Netherlands,Guatemala,Cuba,Slovakia,Bhutan,Turkmenistan,Philippines,Iraq,Czechia,Timor-Leste,United Republic of Tanzania,Nepal,Libya,Bangladesh,Italy,Mauritius,Uzbekistan,Occupied Palestinian Territory,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Switzerland,Chile,Honduras,Kyrgyzstan,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Estonia,Georgia,Azerbaijan,Bosnia and Herzegovina,Oman,New Zealand,Russian Federation,Austria,Sudan,Venezuela (Bolivarian Republic of),Latvia,Ukraine,Kuwait,Bolivia (Plurinational State of),Tajikistan,Croatia,Bulgaria,Myanmar,China
1961,7600.0,6291.0,100.0,2000.0,16384.0,,7.0,8000.0,3200.0,80.0,,700.0,-1.0,11718.0,430.0,-1.0,,,1400.0,8000.0,-1.0,18900.0,35000.0,180.0,1840.0,-1.0,,,-1.0,9200.0,260.0,,5041.0,,4480.0,2350.0,7.0,7404.0,,,400.0,500.0,5315.0,11300.0,-1.0,1100.0,1457.0,560000.0,70.0,3.0,,871.0,,150.0,-1.0,760.0,80.0,,-1.0,,3330.0,612.0,,-1.0,50.0,-1.0,8.0,9700.0,6400.0,5.0,,-1.0,-1.0,,,300.0,400.0,-1.0,2000.0,66.0,,,3868.0,437.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,411.0,,,,250.0,,,3423.0,7400.0,563868.0
1962,7800.0,8097.0,100.0,1600.0,23120.0,,7.0,7000.0,3200.0,120.0,,500.0,-1.0,11783.0,450.0,-1.0,,,1400.0,7000.0,-1.0,19000.0,38000.0,180.0,2497.0,-1.0,,,-1.0,9000.0,300.0,,5881.0,,3920.0,2100.0,5.0,7805.0,,,410.0,2000.0,5592.0,11800.0,-1.0,1590.0,1093.0,400000.0,70.0,3.0,,800.0,,150.0,-1.0,760.0,15.0,,-1.0,,2900.0,790.0,,-1.0,50.0,-1.0,5.0,9700.0,6200.0,5.0,,-1.0,-1.0,,,300.0,400.0,-1.0,1600.0,67.0,,,4155.0,250.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,509.0,,,,280.0,,,4407.0,8650.0,404155.0
1963,7800.0,7985.0,100.0,2000.0,18400.0,,7.0,6000.0,3300.0,300.0,,1000.0,-1.0,12328.0,450.0,-1.0,,,1700.0,7000.0,-1.0,18700.0,40000.0,250.0,2551.0,-1.0,,,-1.0,10100.0,295.0,,8402.0,,4070.0,2400.0,6.0,7459.0,,,440.0,2100.0,5606.0,12700.0,-1.0,1760.0,1659.0,345000.0,70.0,3.0,,650.0,,150.0,-1.0,760.0,50.0,,-1.0,,2580.0,764.0,,-1.0,50.0,-1.0,8.0,10900.0,6760.0,5.0,,-1.0,-1.0,,,330.0,600.0,-1.0,2000.0,77.0,,,4348.0,77.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,455.0,,,,290.0,,,4217.0,11198.0,349348.0
1964,8000.0,7261.0,100.0,1600.0,17504.0,,7.0,8000.0,3300.0,250.0,,830.0,-1.0,13196.0,460.0,-1.0,,,2300.0,9000.0,-1.0,20000.0,35000.0,250.0,2750.0,-1.0,,,-1.0,11200.0,360.0,,5461.0,,4080.0,2700.0,6.0,8822.0,,,450.0,2600.0,5660.0,13500.0,-1.0,1150.0,1781.0,310000.0,75.0,3.0,,550.0,,150.0,-1.0,800.0,30.0,,-1.0,,2620.0,605.0,,-1.0,60.0,-1.0,25.0,10500.0,7444.0,2.0,,-1.0,-1.0,,,330.0,400.0,-1.0,1800.0,71.0,,,4600.0,199.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,597.0,,,,300.0,,,4032.0,8146.0,314600.0
1965,7500.0,6741.0,100.0,2800.0,15184.0,,7.0,9000.0,3400.0,310.0,,830.0,-1.0,14094.0,470.0,-1.0,,,2500.0,8000.0,-1.0,19000.0,30000.0,310.0,2102.0,-1.0,,,-1.0,11200.0,305.0,,6106.0,,3640.0,3000.0,7.0,8717.0,,,360.0,1963.0,5729.0,14100.0,-1.0,1160.0,1862.0,310000.0,75.0,3.0,,400.0,,150.0,-1.0,800.0,8.0,,-1.0,,3700.0,778.0,,-1.0,76.0,-1.0,3.0,10500.0,7638.0,3.0,,-1.0,-1.0,,,350.0,200.0,-1.0,2134.0,74.0,,,4183.0,375.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,825.0,,,,320.0,,,3688.0,6232.0,314183.0
1966,7600.0,6340.0,100.0,2000.0,30032.0,,7.0,10000.0,3500.0,316.0,,900.0,-1.0,13257.0,490.0,-1.0,,,1600.0,8290.0,-1.0,16900.0,27000.0,375.0,1140.0,-1.0,,,-1.0,11200.0,210.0,,7934.0,,3380.0,2600.0,7.0,10467.0,,,760.0,1920.0,5833.0,14000.0,-1.0,1120.0,1416.0,300000.0,75.0,3.0,,485.0,,150.0,-1.0,800.0,1.0,,-1.0,,4020.0,781.0,,-1.0,76.0,-1.0,11.0,13800.0,7037.0,1.0,,-1.0,-1.0,,,350.0,250.0,-1.0,1900.0,75.0,,,3898.0,360.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,964.0,,,,340.0,,,3819.0,6618.0,303898.0
1967,7700.0,6648.0,100.0,2000.0,34064.0,,7.0,6000.0,3600.0,569.0,,700.0,-1.0,13614.0,500.0,-1.0,,,1150.0,8216.0,-1.0,16600.0,27000.0,545.0,903.0,-1.0,,,-1.0,10900.0,150.0,,5579.0,,3300.0,1900.0,10.0,13154.0,,,670.0,1200.0,6397.0,14100.0,-1.0,1200.0,1781.0,300000.0,75.0,3.0,,550.0,,150.0,-1.0,455.0,1.0,,-1.0,,4290.0,890.0,,-1.0,250.0,-1.0,16.0,14600.0,7012.0,12.0,,-1.0,-1.0,,,350.0,200.0,-1.0,1900.0,72.0,,,3958.0,395.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,593.0,,,,360.0,,,3595.0,5949.0,303958.0
1968,7800.0,6567.0,100.0,2000.0,19712.0,,7.0,7000.0,3700.0,635.0,,800.0,-1.0,14540.0,520.0,-1.0,,,1400.0,8380.0,-1.0,17300.0,27000.0,274.0,904.0,-1.0,,,-1.0,11700.0,15.0,,5041.0,,3230.0,2100.0,9.0,13300.0,,,630.0,1312.0,6411.0,15000.0,-1.0,1410.0,2590.0,285000.0,80.0,3.0,,550.0,,150.0,-1.0,500.0,1.0,,-1.0,,3790.0,928.0,,-1.0,250.0,-1.0,21.0,14600.0,7359.0,12.0,,-1.0,-1.0,,,380.0,200.0,-1.0,1800.0,74.0,,,4568.0,545.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,566.0,,,,370.0,,,2568.0,5909.0,289568.0
1969,7800.0,6264.0,100.0,2000.0,26192.0,,14.0,8000.0,3800.0,630.0,,700.0,-1.0,14718.0,610.0,-1.0,,,2100.0,9360.0,-1.0,18273.0,27000.0,410.0,694.0,-1.0,,,-1.0,12700.0,43.0,,2941.0,,3410.0,2400.0,9.0,14156.0,,,500.0,1264.0,6547.0,15313.0,-1.0,1450.0,2954.0,285000.0,80.0,3.0,,570.0,,150.0,-1.0,580.0,10.0,,-1.0,,3810.0,855.0,,-1.0,254.0,-1.0,58.0,14600.0,7801.0,14.0,,-1.0,-1.0,,,380.0,220.0,-1.0,1800.0,76.0,,,4643.0,465.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,573.0,,,,370.0,,,3096.0,6498.0,289643.0
1970,8100.0,3415.0,100.0,1657.0,22960.0,,14.0,7200.0,3900.0,482.0,,600.0,-1.0,14121.0,600.0,-1.0,,,1800.0,10480.0,-1.0,18716.0,27000.0,300.0,695.0,-1.0,,,-1.0,12100.0,20.0,,4500.0,,3500.0,2200.0,10.0,15351.0,,,670.0,1058.0,6585.0,17252.0,-1.0,1097.0,2266.0,180000.0,80.0,3.0,,572.0,,150.0,-1.0,670.0,15.0,,-1.0,,3550.0,975.0,,-1.0,198.0,-1.0,64.0,14200.0,7798.0,16.0,,-1.0,-1.0,,,400.0,220.0,-1.0,1700.0,78.0,,,4639.0,350.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,389.0,,,,370.0,,,3915.0,7284.0,184639.0
