,Democratic People's Republic of Korea,El Salvador,Dominica,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Guyana,Malaysia,Mexico,Uruguay,Honduras,Brazil,Sudan (former),China,Indonesia,Japan,Republic of Korea,New Zealand,Belize,South Sudan,Australia & New Zealand,United States of America,Democratic Republic of the Congo,Egypt,Madagascar,Suriname
1961,2200.0,45.0,100.0,1000.0,0.0,113200.0,0.0,7920.0,14800.0,3608.0,340.0,145000.0,400.0,113200.0,221733.0,247000.0,57000.0,284.0,0.0,-1.0,284.0,38000.0,0.0,3914.0,60000.0,53.0
1962,2280.0,46.0,110.0,1000.0,0.0,112200.0,0.0,7958.0,18000.0,4185.0,335.0,152400.0,400.0,112200.0,331191.0,250000.0,68000.0,328.0,0.0,-1.0,328.0,38000.0,0.0,4147.0,53000.0,44.0
1963,2400.0,46.0,110.0,1000.0,0.0,113200.0,0.0,8502.0,19000.0,4320.0,328.0,158400.0,450.0,113200.0,276282.0,254000.0,100000.0,324.0,0.0,-1.0,324.0,32700.0,0.0,4466.0,53695.0,36.0
1964,2480.0,48.0,110.0,1000.0,0.0,118100.0,0.0,8744.0,14100.0,4320.0,324.0,168400.0,450.0,118100.0,356229.0,243000.0,114000.0,357.0,0.0,-1.0,357.0,28000.0,0.0,4227.0,54465.0,40.0
1965,2560.0,48.0,120.0,1170.0,0.0,117000.0,0.0,8283.0,16300.0,3658.0,317.0,175400.0,450.0,117000.0,238608.0,204000.0,111000.0,429.0,0.0,-1.0,429.0,35000.0,0.0,4003.0,55135.0,29.0
1966,2560.0,50.0,120.0,1150.0,0.0,800.0,0.0,8295.0,17600.0,3510.0,328.0,185100.0,500.0,800.0,222804.0,196000.0,113000.0,364.0,0.0,-1.0,364.0,34382.0,0.0,3251.0,56090.0,79.0
1967,2600.0,50.0,110.0,1130.0,0.0,800.0,0.0,5846.0,14200.0,2970.0,339.0,182300.0,600.0,800.0,192915.0,160000.0,131000.0,562.0,0.0,-1.0,562.0,31298.0,0.0,3780.0,56990.0,127.0
1968,2640.0,50.0,110.0,1550.0,0.0,800.0,0.0,5243.0,15400.0,3510.0,351.0,185100.0,700.0,800.0,212787.0,143000.0,130000.0,632.0,0.0,-1.0,632.0,33747.0,0.0,4200.0,57750.0,32.0
1969,2680.0,50.0,100.0,1650.0,0.0,900.0,0.0,4742.0,16300.0,3833.0,363.0,180800.0,800.0,900.0,203416.0,129000.0,136000.0,726.0,0.0,-1.0,726.0,36400.0,0.0,4200.0,60715.0,31.0
1970,2720.0,55.0,110.0,1700.0,0.0,900.0,0.0,5535.0,12100.0,3496.0,370.0,183200.0,840.0,900.0,195779.0,102000.0,107000.0,810.0,0.0,-1.0,810.0,35000.0,0.0,3781.0,59555.0,20.0
1971,2800.0,55.0,110.0,1740.0,0.0,900.0,0.0,4500.0,11100.0,3478.0,394.0,174200.0,1260.0,900.0,199022.0,82000.0,100000.0,676.0,0.0,-1.0,676.0,31100.0,0.0,3781.0,65145.0,19.0
1972,2920.0,56.0,110.0,1950.0,0.0,6300.0,0.0,3422.0,9400.0,3645.0,299.0,159200.0,1260.0,6300.0,185970.0,78000.0,100000.0,763.0,0.0,-1.0,763.0,30800.0,0.0,3361.0,53215.0,29.0
1973,3000.0,58.0,120.0,2062.0,0.0,3600.0,0.0,2992.0,7500.0,3834.0,300.0,147800.0,1800.0,3600.0,214808.0,69000.0,105000.0,837.0,0.0,-1.0,837.0,32100.0,0.0,2941.0,59845.0,30.0
1974,3200.0,60.0,120.0,2220.0,0.0,5100.0,0.0,2917.0,7400.0,3780.0,310.0,153500.0,1700.0,5100.0,222229.0,65000.0,109000.0,929.0,0.0,-1.0,929.0,36500.0,0.0,3781.0,60285.0,30.0
1975,3320.0,60.0,120.0,3000.0,0.0,4400.0,0.0,2970.0,7300.0,4050.0,340.0,138000.0,1700.0,4400.0,218935.0,72000.0,100000.0,749.0,0.0,-1.0,749.0,35900.0,0.0,3361.0,79105.0,30.0
1976,3440.0,63.0,130.0,3400.0,0.0,3500.0,0.0,3234.0,7400.0,4050.0,360.0,117100.0,1700.0,3500.0,214309.0,65000.0,89000.0,577.0,0.0,-1.0,577.0,39700.0,0.0,3286.0,73105.0,35.0
1977,3600.0,60.0,200.0,2690.0,0.0,3100.0,0.0,3420.0,5600.0,4050.0,370.0,98300.0,1700.0,3100.0,221432.0,71000.0,85000.0,609.0,0.0,-1.0,609.0,34900.0,0.0,2914.0,70225.0,23.0
1978,3700.0,60.0,310.0,2895.0,0.0,2600.0,0.0,3060.0,4800.0,4050.0,400.0,91600.0,1700.0,2600.0,187452.0,64000.0,70000.0,1524.0,0.0,-1.0,1524.0,41500.0,0.0,4379.0,77710.0,27.0
