,USSR,Eritrea,Australia & New Zealand,Australia,Pakistan,Slovakia,Democratic Republic of the Congo,Ethiopia,Kenya,Romania,Serbia,Zambia,Lebanon,Yemen,Tunisia,Albania,Brazil,Democratic People's Republic of Korea,Slovenia,Hungary,Argentina,Colombia,Spain,India,Lesotho,Ecuador,Republic of Moldova,Canada,Turkey,Jordan,Belgium-Luxembourg,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Poland,New Zealand,United Arab Emirates,Montenegro,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",Cyprus,Peru,Rwanda,Lithuania,Portugal,Netherlands,Guatemala,Austria,Bhutan,Turkmenistan,Norway,Iraq,Czechia,United Republic of Tanzania,Belgium,Nepal,Luxembourg,Libya,Bangladesh,Italy,Qatar,Germany,Syrian Arab Republic,Sweden,Uzbekistan,Occupied Palestinian Territory,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Mongolia,Chile,Malta,Uruguay,Denmark,Zimbabwe,Ireland,Egypt,Algeria,"China, Taiwan Province of",Israel,Japan,Belarus,Afghanistan,Switzerland,Thailand,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Oman,Bosnia and Herzegovina,Russian Federation,Bolivia (Plurinational State of),Western Sahara,Sudan,Latvia,Ukraine,Kuwait,South Africa,Mauritania,Tajikistan,Croatia,Bulgaria,Myanmar,China
1961,13400000.0,,991055.0,964512.0,187000.0,,700.0,,12666.0,284000.0,,,12800.0,127000.0,200000.0,8734.0,31511.0,100000.0,,521765.0,741500.0,48140.0,1450000.0,3205000.0,3885.0,93015.0,,2237476.0,2786000.0,94970.0,128345.0,935000.0,,,189232.0,692966.0,2259100.0,649375.0,680000.0,26543.0,-1.0,,,233103.0,371000.0,1150000.0,,5183000.0,3526000.0,60201.0,198446.0,353.0,,126771.0,102574.0,30.0,187648.0,2000.0,,153600.0,900000.0,,100.0,,17000.0,,380000.0,29947.0,219620.0,,1552018.0,727000.0,332597.0,,-1.0,201034.0,,,76.0,1584300.0,17000.0,44920.0,1480.0,45535.0,799439.0,465.0,146373.0,50892.0,949583.0,362.0,69730.0,692300.0,,350000.0,29310.0,,8500.0,,1549115.0,,-1.0,,,91000.0,,,,,,58000.0,300.0,,,304683.0,,3526362.0
1962,16200000.0,,851705.0,820498.0,186600.0,,700.0,,14001.0,250475.0,,,13500.0,126000.0,250000.0,8250.0,28454.0,100000.0,,551048.0,360900.0,49000.0,1449395.0,3312000.0,4000.0,150865.0,,2139462.0,2800000.0,105000.0,136993.0,950000.0,,,184949.0,692369.0,2176500.0,672464.0,663000.0,31207.0,-1.0,,,192645.0,351000.0,1100000.0,,4944000.0,5191000.0,66890.0,192515.0,300.0,,134464.0,100263.0,35.0,193080.0,2200.0,,164059.0,1000000.0,,100.0,,19500.0,,400000.0,33589.0,209600.0,,1512480.0,723086.0,344135.0,,-1.0,205400.0,,,175.0,1164000.0,23000.0,42610.0,1480.0,40180.0,829612.0,647.0,164219.0,54976.0,980000.0,299.0,65075.0,612800.0,,350000.0,35250.0,,8800.0,,1613459.0,,-1.0,,,92000.0,,,,,,62000.0,300.0,,,302700.0,,5191299.0
1963,20470000.0,,850146.0,814765.0,196300.0,,700.0,,12460.0,224100.0,,,10000.0,124000.0,500000.0,8992.0,30443.0,120000.0,,489433.0,695100.0,58000.0,1447100.0,3019000.0,4000.0,164793.0,,2499800.0,2850000.0,75730.0,133790.0,967500.0,,,174930.0,690056.0,2538500.0,718830.0,748500.0,35381.0,-1.0,,,232423.0,350000.0,1050000.0,,4548000.0,4176000.0,68228.0,192200.0,420.0,,126073.0,101096.0,40.0,229051.0,2400.0,,179300.0,900000.0,,150.0,,20500.0,,350000.0,30756.0,204061.0,,1568356.0,803156.0,450230.0,,-1.0,262300.0,,,1907.0,1966665.0,18000.0,38740.0,1498.0,46810.0,938255.0,494.0,173608.0,50725.0,930008.0,301.0,65175.0,565100.0,,350000.0,31992.0,,9000.0,,1907257.0,,-1.0,,,92000.0,,,,,,70000.0,300.0,,,343375.0,,4176301.0
1964,21674000.0,,873337.0,835306.0,176400.0,,700.0,,11001.0,195500.0,,,15000.0,121000.0,420000.0,8095.0,31164.0,100000.0,,524590.0,552600.0,58000.0,1381000.0,2774000.0,3500.0,163759.0,,2223514.0,2750000.0,91472.0,127589.0,970000.0,,,167000.0,681817.0,2360100.0,755423.0,741400.0,38031.0,-1.0,,,211709.0,369000.0,1000000.0,,4160000.0,3479000.0,70903.0,179400.0,900.0,,110496.0,87080.0,45.0,227182.0,2400.0,,181726.0,800000.0,,250.0,,22000.0,,350000.0,23877.0,196517.0,,1616508.0,765156.0,438700.0,,-1.0,252200.0,,,181.0,1746680.0,17000.0,42110.0,1401.0,39285.0,949992.0,356.0,183644.0,52951.0,562040.0,576.0,73145.0,478300.0,,350000.0,29992.0,,9300.0,,2036350.0,,-1.0,,,93000.0,,,,,,59000.0,300.0,,,357786.0,,3479576.0
1965,19737008.0,,965056.0,929849.0,185300.0,,750.0,,9308.0,232771.0,,,13500.0,119000.0,400000.0,7400.0,33550.0,100000.0,,502859.0,383700.0,46080.0,1374410.0,2682000.0,3000.0,157035.0,,2477127.0,2770000.0,85950.0,146214.0,981500.0,,,203280.0,653838.0,2429800.0,826976.0,688500.0,35207.0,-1.0,,,226285.0,405000.0,1300000.0,,3709944.0,3244000.0,79733.0,176190.0,1000.0,,125569.0,98590.0,50.0,220080.0,2500.0,,188998.0,1000000.0,,160.0,,24000.0,,272112.0,20639.0,186204.0,,1690106.0,681901.0,465000.0,,-1.0,252200.0,,,164.0,1675500.0,12800.0,38274.0,1240.0,19934.0,1041475.0,304.0,187790.0,52595.0,629980.0,834.0,52105.0,422200.0,,350000.0,30697.0,,10000.0,,2183249.0,,-1.0,,,98000.0,,,,,,70000.0,300.0,,,371567.0,,3244834.0
1966,19396000.0,,1044770.0,1010784.0,154600.0,,840.0,,8943.0,245700.0,,,14136.0,117000.0,270000.0,8000.0,41175.0,90000.0,,491149.0,410700.0,55000.0,1337800.0,2640000.0,2500.0,143215.0,,3019439.0,2710000.0,64520.0,171948.0,990000.0,,,284360.0,686781.0,2641600.0,766965.0,678000.0,33986.0,-1.0,,,240750.0,394000.0,1521000.0,,4148617.0,2671000.0,80937.0,178250.0,752.0,,111150.0,119993.0,60.0,229902.0,2500.0,,187900.0,1000000.0,,160.0,,26700.0,,300788.0,21900.0,178707.0,,1809287.0,336000.0,568300.0,,-1.0,321200.0,,,95.0,2088000.0,12600.0,38696.0,1509.0,42420.0,1111604.0,400.0,186760.0,41000.0,393990.0,761.0,48900.0,387900.0,,350000.0,32040.0,,10500.0,,2482876.0,,-1.0,,,93000.0,,,,,,62000.0,300.0,,,415849.0,,2671761.0
1967,19125008.0,,1094038.0,1056818.0,161900.0,,882.0,,9574.0,257100.0,,,13395.0,116000.0,250000.0,10500.0,41760.0,95000.0,,450000.0,496200.0,61000.0,1499817.0,2824800.0,2500.0,144036.0,,3286528.0,2725000.0,58390.0,165828.0,950000.0,,,351240.0,708097.0,2818300.0,784522.0,644500.0,37220.0,-1.0,,,238461.0,343000.0,1500000.0,,3735924.0,2085000.0,80268.0,185120.0,1890.0,,106734.0,107451.0,65.0,231700.0,2700.0,,178600.0,1000000.0,,350.0,,26700.0,,364752.0,22700.0,180810.0,,1860835.0,646000.0,530036.0,,-1.0,345900.0,,,74.0,2104000.0,15200.0,50400.0,1483.0,29800.0,1169881.0,450.0,182590.0,64700.0,558040.0,569.0,43340.0,352300.0,,316000.0,31079.0,,19098.0,,2440900.0,,-1.0,,,86000.0,,,,,,78000.0,300.0,,,386936.0,,2085569.0
1968,19353008.0,,1403720.0,1340995.0,173600.0,,3000.0,,10562.0,291960.0,,,13463.0,115000.0,300000.0,9700.0,34741.0,95000.0,,386812.0,538800.0,46750.0,1922972.0,3375200.0,2000.0,135031.0,,3583199.0,2730000.0,71440.0,167335.0,930000.0,,,332040.0,710250.0,2781200.0,789712.0,627500.0,62725.0,-1.0,,,251829.0,312000.0,1634000.0,,3939115.0,2246000.0,80937.0,173470.0,192.0,,135000.0,107062.0,90.0,238396.0,2900.0,,175900.0,800000.0,,350.0,,24900.0,,400218.0,24700.0,175312.0,,1925629.0,631000.0,556718.0,,-1.0,358700.0,,,,2135000.0,13700.0,71870.0,1459.0,39560.0,1253888.0,500.0,183320.0,65000.0,723470.0,604.0,38505.0,315900.0,,317000.0,30105.0,,22057.0,,2402979.0,,-1.0,,,91000.0,1095.0,,,,2.0,64000.0,320.0,,,402249.0,,2246604.0
1969,22484000.0,,1584713.0,1521163.0,155800.0,,3300.0,,9477.0,307471.0,,,8294.0,113000.0,180000.0,9000.0,29587.0,90000.0,,381905.0,457000.0,52600.0,2109979.0,2758200.0,1419.0,125650.0,,3787117.0,2645000.0,56999.0,170367.0,940000.0,,,282180.0,779446.0,2858500.0,760428.0,758800.0,63550.0,-1.0,,,244965.0,300000.0,1606000.0,,3868013.0,2281000.0,72241.0,181703.0,333.0,,119000.0,99341.0,100.0,273836.0,2900.0,,184697.0,750000.0,,150.0,,25600.0,,357270.0,28300.0,175080.0,,2028309.0,626117.0,593368.0,,-1.0,372600.0,,,,2072000.0,15300.0,44350.0,1335.0,33024.0,1304809.0,600.0,198374.0,62000.0,736350.0,1057.0,25290.0,283100.0,,317000.0,36708.0,,18000.0,,2414942.0,,-1.0,,,91700.0,1266.0,,,,3.0,58000.0,320.0,,,411662.0,,2282057.0
1970,21297008.0,,2056137.0,2000057.0,157424.0,,2500.0,,11000.0,288443.0,,,6505.0,111000.0,300000.0,9000.0,25044.0,90000.0,,284000.0,356200.0,51100.0,2224100.0,2764900.0,1216.0,133920.0,,4003863.0,2575000.0,40848.0,187453.0,950000.0,,,343100.0,801443.0,2936000.0,730269.0,924100.0,56080.0,-1.0,,,224051.0,280000.0,1543000.0,,3930859.0,2352000.0,72241.0,186330.0,0.0,,105000.0,104642.0,110.0,290229.0,3000.0,,184036.0,600000.0,,150.0,,26300.0,,215892.0,29500.0,179283.0,,2114790.0,1126117.0,609760.0,,-1.0,403500.0,,,,1915000.0,15200.0,47380.0,1223.0,41445.0,1351545.0,700.0,214278.0,36967.0,854790.0,543.0,17440.0,225800.0,,315000.0,40860.0,,15000.0,,2244766.0,,-1.0,,,92800.0,1420.0,,,,4.0,44000.0,320.0,,,403355.0,,2352543.0
