,India,Burundi,Myanmar,Grenada,Comoros,Dominican Republic,Philippines,Panama,Puerto Rico,Nepal,Kenya,Pakistan,Jamaica,United Republic of Tanzania,Venezuela (Bolivarian Republic of),Trinidad and Tobago,Bahamas,Saint Vincent and the Grenadines,Bangladesh,Democratic Republic of the Congo,Malawi,Haiti,Uganda
1961,2433000.0,2100.0,83765.0,650.0,-1.0,13000.0,-1.0,2000.0,6202.0,9600.0,-1.0,490.0,1370.0,16000.0,3755.0,1900.0,290.0,-1.0,5666.0,5000.0,80000.0,5900.0,56655.0
1962,2447000.0,2100.0,57776.0,650.0,-1.0,13000.0,-1.0,2000.0,6288.0,10000.0,-1.0,1820.0,1400.0,16000.0,6539.0,2000.0,320.0,-1.0,4047.0,5000.0,82000.0,5900.0,59164.0
1963,2452000.0,2100.0,54545.0,650.0,-1.0,13000.0,-1.0,2000.0,6288.0,10400.0,-1.0,2670.0,1470.0,39000.0,9323.0,2500.0,340.0,-1.0,3642.0,5000.0,84000.0,6000.0,69443.0
1964,2517000.0,2100.0,73015.0,650.0,-1.0,13000.0,-1.0,2000.0,6524.0,10800.0,-1.0,2950.0,1365.0,10000.0,10870.0,2700.0,350.0,-1.0,3642.0,5000.0,92000.0,6000.0,89920.0
1965,2578000.0,2100.0,81738.0,650.0,-1.0,13000.0,-1.0,2000.0,5207.0,11200.0,-1.0,2230.0,1160.0,13000.0,11227.0,2700.0,380.0,-1.0,3642.0,5000.0,104000.0,6000.0,65000.0
1966,2556000.0,2100.0,91948.0,650.0,-1.0,13000.0,-1.0,2000.0,5384.0,11600.0,-1.0,2590.0,2130.0,18000.0,11551.0,2300.0,400.0,-1.0,3642.0,5000.0,92000.0,6000.0,57060.0
1967,2521000.0,2100.0,76075.0,650.0,-1.0,13000.0,-1.0,2000.0,4716.0,12000.0,-1.0,1940.0,2898.0,18000.0,12188.0,2900.0,405.0,-1.0,3642.0,5200.0,95000.0,6200.0,70000.0
1968,2664700.0,2100.0,65819.0,650.0,-1.0,13000.0,-1.0,2000.0,3812.0,12600.0,-1.0,2470.0,4028.0,22200.0,12663.0,2300.0,410.0,-1.0,3642.0,5200.0,98000.0,6200.0,89000.0
1969,2528900.0,2100.0,65357.0,620.0,-1.0,14000.0,-1.0,2000.0,3930.0,13000.0,-1.0,1376.0,3218.0,21900.0,13805.0,2000.0,415.0,-1.0,3731.0,5200.0,101000.0,6300.0,100000.0
1970,2668700.0,2100.0,58275.0,600.0,-1.0,15000.0,-1.0,1963.0,3000.0,13200.0,-1.0,1740.0,2971.0,34000.0,14186.0,1600.0,420.0,-1.0,3327.0,5200.0,104000.0,6300.0,80000.0
