,Costa Rica,Cuba,El Salvador,Dominica,Trinidad and Tobago,Peru,Belize,Mexico,Dominican Republic,Panama,Puerto Rico,United Republic of Tanzania,Venezuela (Bolivarian Republic of),Nicaragua,Saint Lucia
1961,-1.0,25000.0,-1.0,4000.0,1600.0,4700.0,-1.0,-1.0,23295.0,4400.0,-1.0,-1,54199.0,-1.0,90.0
1962,-1.0,25475.0,-1.0,4100.0,1700.0,5150.0,-1.0,-1.0,27000.0,4500.0,-1.0,-1,55825.0,-1.0,90.0
1963,-1.0,44989.0,-1.0,4300.0,1855.0,4750.0,-1.0,-1.0,24000.0,4600.0,-1.0,-1,57500.0,-1.0,100.0
1964,-1.0,43192.0,-1.0,4300.0,1683.0,4200.0,-1.0,-1.0,25903.0,4600.0,-1.0,-1,59225.0,-1.0,100.0
1965,-1.0,46629.0,-1.0,4400.0,1510.0,5972.0,-1.0,-1.0,25450.0,5000.0,-1.0,-1,61062.0,-1.0,100.0
1966,-1.0,71275.0,-1.0,4500.0,1402.0,8955.0,-1.0,-1.0,25750.0,5200.0,-1.0,-1,62832.0,-1.0,100.0
1967,-1.0,42413.0,-1.0,4600.0,1783.0,8346.0,-1.0,-1.0,27300.0,5600.0,-1.0,-1,64717.0,-1.0,90.0
1968,-1.0,42554.0,-1.0,4700.0,1706.0,9185.0,-1.0,-1.0,29400.0,6000.0,-1.0,-1,66658.0,-1.0,90.0
1969,-1.0,35022.0,-1.0,4800.0,1828.0,11616.0,-1.0,-1.0,31000.0,5900.0,-1.0,-1,68657.0,-1.0,80.0
1970,-1.0,11989.0,-1.0,4900.0,1769.0,15347.0,-1.0,-1.0,32000.0,6200.0,-1.0,-1,56305.0,-1.0,80.0
1971,-1.0,13516.0,-1.0,5000.0,1750.0,17931.0,-1.0,-1.0,33000.0,6100.0,-1.0,-1,58403.0,-1.0,52.0
1972,-1.0,25770.0,-1.0,5100.0,1800.0,23407.0,-1.0,-1.0,34000.0,7000.0,-1.0,-1,52676.0,-1.0,108.0
1973,-1.0,19609.0,-1.0,5200.0,1940.0,24430.0,-1.0,-1.0,39900.0,7900.0,-1.0,-1,41227.0,-1.0,110.0
