,Kenya,Peru,Belarus,Croatia,United Kingdom,Bangladesh,Nepal,Ethiopia,Denmark,Canada,Greece,Afghanistan,Iraq,Belgium,Japan,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Pakistan,Czechoslovakia,Czechia,Argentina,Ukraine,India,Austria,Uruguay,Morocco,Ethiopia PDR,Sweden,USSR,Mexico,Romania,"China, mainland",Spain,Egypt,China,Tunisia,Latvia,Yugoslav SFR,Slovakia,Uzbekistan,France,Chile,Hungary,Kazakhstan,Australia,Portugal,Brazil,Lithuania,Poland,Netherlands,Russian Federation,Turkey,Eritrea,Italy,Belgium-Luxembourg
1961,22.0,0.0,-1.0,-1.0,0.0,496.0,480.0,-1.0,138.0,34000.0,74.0,1404.0,477.0,-1.0,672.0,445.0,358.0,3077.0,56000.0,400.0,134.0,1817.0,-1.0,26620.0,-1.0,20000.0,0.0,7930.0,330.0,2600.0,370.0,161600.0,951.0,1220.0,2600.0,261.0,1600.0,2600.0,50.0,-1.0,58.0,-1.0,-1.0,4225.0,69.0,250.0,-1.0,2632.0,14.0,1380.0,-1.0,5248.0,1678.0,-1.0,1450.0,-1.0,533.0,4904.0
1962,7.0,0.0,-1.0,-1.0,0.0,577.0,510.0,-1.0,74.0,23000.0,55.0,1404.0,471.0,-1.0,524.0,537.0,352.0,3723.0,61000.0,400.0,194.0,1905.0,-1.0,29900.0,-1.0,23000.0,0.0,8783.0,210.0,2650.0,322.0,141600.0,901.0,1504.0,2600.0,222.0,1600.0,2600.0,50.0,-1.0,59.0,-1.0,-1.0,5173.0,45.0,300.0,-1.0,3186.0,14.0,1650.0,-1.0,4648.0,1863.0,-1.0,1450.0,-1.0,482.0,5088.0
1963,7.0,0.0,-1.0,-1.0,0.0,516.0,540.0,-1.0,61.0,27000.0,48.0,1404.0,524.0,-1.0,487.0,556.0,343.0,4185.0,53000.0,400.0,182.0,1945.0,-1.0,27660.0,-1.0,22000.0,0.0,7236.0,300.0,2708.0,344.0,149600.0,888.0,1876.0,2925.0,89.0,1600.0,2925.0,50.0,-1.0,54.0,-1.0,-1.0,5537.0,45.0,300.0,-1.0,3629.0,14.0,1650.0,-1.0,5000.0,2146.0,-1.0,1300.0,-1.0,408.0,5878.0
1964,7.0,0.0,-1.0,-1.0,0.0,536.0,570.0,-1.0,39.0,32000.0,38.0,1404.0,655.0,-1.0,314.0,313.0,356.0,980.0,51000.0,400.0,194.0,1521.0,-1.0,24640.0,-1.0,19000.0,0.0,6208.0,420.0,2770.0,220.0,142720.0,907.0,2041.0,2925.0,49.0,1800.0,2925.0,50.0,-1.0,48.0,-1.0,-1.0,4219.0,45.0,300.0,-1.0,667.0,14.0,2000.0,-1.0,4548.0,1514.0,-1.0,1200.0,-1.0,372.0,4052.0
1965,7.0,0.0,-1.0,-1.0,0.0,548.0,600.0,-1.0,28.0,37000.0,29.0,1404.0,646.0,-1.0,180.0,224.0,362.0,1162.0,48000.0,350.0,182.0,1312.0,-1.0,22800.0,-1.0,25000.0,0.0,3770.0,270.0,2770.0,14.0,134080.0,925.0,2176.0,2600.0,99.0,1800.0,2600.0,50.0,-1.0,44.0,-1.0,-1.0,4346.0,16.0,400.0,-1.0,938.0,15.0,2100.0,-1.0,4228.0,1282.0,-1.0,875.0,-1.0,316.0,3533.0
1966,7.0,0.0,-1.0,-1.0,0.0,445.0,630.0,-1.0,30.0,31000.0,24.0,1404.0,642.0,-1.0,62.0,231.0,450.0,1708.0,37000.0,200.0,194.0,1283.0,-1.0,18478.0,-1.0,17000.0,0.0,3636.0,120.0,2825.0,14.0,133200.0,785.0,2540.0,2600.0,129.0,1950.0,2600.0,50.0,-1.0,42.0,-1.0,-1.0,3890.0,16.0,500.0,-1.0,1477.0,16.0,1700.0,-1.0,4904.0,667.0,-1.0,900.0,-1.0,296.0,2102.0
1967,7.0,0.0,-1.0,-1.0,0.0,375.0,660.0,-1.0,20.0,17000.0,12.0,1386.0,618.0,-1.0,25.0,234.0,492.0,2148.0,40000.0,250.0,218.0,1484.0,-1.0,14226.0,-1.0,13000.0,0.0,2819.0,122.0,2883.0,0.0,127440.0,738.0,2655.0,2925.0,140.0,1950.0,2925.0,50.0,-1.0,32.0,-1.0,-1.0,2189.0,8.0,500.0,-1.0,1914.0,15.0,1300.0,-1.0,4664.0,726.0,-1.0,800.0,-1.0,108.0,2193.0
1968,7.0,0.0,-1.0,-1.0,0.0,365.0,690.0,-1.0,56.0,25000.0,9.0,1404.0,649.0,-1.0,25.0,340.0,391.0,3637.0,50000.0,300.0,206.0,1483.0,-1.0,17572.0,-1.0,22000.0,0.0,4492.0,117.0,2940.0,0.0,123920.0,569.0,2879.0,2795.0,33.0,2920.0,2795.0,50.0,-1.0,28.0,-1.0,-1.0,2959.0,8.0,500.0,-1.0,3297.0,14.0,1300.0,-1.0,3992.0,626.0,-1.0,850.0,-1.0,91.0,2337.0
1969,7.0,0.0,-1.0,-1.0,0.0,365.0,720.0,-1.0,20.0,39000.0,10.0,1404.0,689.0,-1.0,0.0,340.0,360.0,3130.0,58000.0,300.0,170.0,1201.0,-1.0,19040.0,-1.0,16000.0,0.0,7939.0,237.0,3000.0,0.0,114560.0,1346.0,3147.0,2925.0,12.0,3160.0,2925.0,50.0,-1.0,22.0,-1.0,-1.0,2779.0,8.0,600.0,-1.0,2790.0,7.0,1300.0,-1.0,3932.0,363.0,-1.0,650.0,-1.0,70.0,1230.0
1970,7.0,0.0,-1.0,-1.0,0.0,365.0,750.0,-1.0,13.0,51000.0,10.0,1422.0,378.0,-1.0,0.0,420.0,368.0,1749.0,32000.0,150.0,185.0,1021.0,-1.0,19466.0,-1.0,23000.0,0.0,5035.0,93.0,3060.0,0.0,117600.0,1341.0,3364.0,2860.0,6.0,1630.0,2860.0,50.0,-1.0,20.0,-1.0,-1.0,2905.0,10.0,800.0,-1.0,1329.0,9.0,960.0,-1.0,4020.0,498.0,-1.0,525.0,-1.0,66.0,1868.0
