,"China, Taiwan Province of",Cuba,Indonesia,South Africa,Angola,Madagascar,Dominican Republic,United Republic of Tanzania,Thailand,Mexico,Ethiopia,Kenya,Haiti,Democratic Republic of the Congo,Ethiopia PDR,Morocco,Uganda,Comoros,Brazil,Jamaica,Venezuela (Bolivarian Republic of),China,Mozambique,Guinea,Malawi,"China, mainland",Central African Republic,Guatemala
1961,8724.0,,17800.0,1400.0,58800.0,14000.0,1636.0,201100.0,,156005.0,,63100.0,26000.0,300.0,1000.0,300.0,940.0,692.0,164200.0,351.0,8380.0,16724.0,29300.0,100.0,300.0,8000.0,500.0,
1962,7713.0,,9400.0,1800.0,70000.0,24000.0,903.0,217500.0,,156455.0,,59600.0,26000.0,300.0,1000.0,300.0,518.0,1249.0,174000.0,366.0,8451.0,15713.0,27100.0,100.0,300.0,8000.0,100.0,
1963,10047.0,,4500.0,1800.0,63000.0,26000.0,878.0,217703.0,,171681.0,,71300.0,27000.0,300.0,1100.0,300.0,415.0,1177.0,172100.0,366.0,11605.0,18047.0,31376.0,100.0,300.0,8000.0,200.0,
1964,11520.0,,3600.0,1800.0,68000.0,31460.0,582.0,233540.0,,195444.0,,67400.0,26000.0,300.0,1800.0,330.0,385.0,902.0,178100.0,305.0,10751.0,19520.0,31922.0,100.0,500.0,8000.0,200.0,
1965,11221.0,,4600.0,2000.0,69589.0,32110.0,423.0,217578.0,,148535.0,,64000.0,26500.0,400.0,2100.0,300.0,345.0,776.0,195000.0,305.0,13325.0,19221.0,30972.0,100.0,400.0,8000.0,200.0,
1966,10651.0,,7700.0,2300.0,67670.0,27130.0,400.0,225074.0,,142664.0,,57300.0,24494.0,500.0,2200.0,300.0,294.0,438.0,190000.0,300.0,13500.0,19651.0,30902.0,100.0,300.0,9000.0,200.0,
1967,10377.0,,8000.0,3600.0,59893.0,24535.0,380.0,216618.0,,148399.0,,51700.0,21772.0,500.0,2200.0,300.0,200.0,526.0,185000.0,300.0,13318.0,20377.0,31379.0,100.0,350.0,10000.0,200.0,
1968,9448.0,,9200.0,5600.0,66000.0,25260.0,340.0,193783.0,,137052.0,,50300.0,17236.0,400.0,2500.0,300.0,400.0,355.0,180000.0,300.0,12543.0,19448.0,32252.0,100.0,300.0,10000.0,200.0,
1969,9964.0,,7600.0,8000.0,66800.0,29500.0,320.0,209303.0,,137735.0,,49800.0,15422.0,500.0,2000.0,300.0,0.0,218.0,205000.0,300.0,12314.0,19964.0,30200.0,100.0,300.0,10000.0,200.0,
1970,7895.0,6100.0,5400.0,8000.0,61700.0,24600.0,300.0,202180.0,50.0,145911.0,,43930.0,15422.0,150.0,1500.0,300.0,0.0,195.0,205000.0,300.0,12023.0,18895.0,29000.0,100.0,300.0,11000.0,200.0,
1971,8711.0,6300.0,2300.0,8000.0,65100.0,24720.0,280.0,181104.0,300.0,144320.0,,44826.0,16330.0,100.0,1500.0,300.0,0.0,87.0,277744.0,300.0,12488.0,20711.0,23320.0,100.0,300.0,12000.0,200.0,
1972,7639.0,4900.0,100.0,5000.0,80000.0,29500.0,260.0,156850.0,30.0,148152.0,,41210.0,18144.0,130.0,1000.0,400.0,0.0,0.0,295965.0,300.0,13307.0,19639.0,22000.0,100.0,350.0,12000.0,200.0,
1973,8271.0,6177.0,100.0,7300.0,62000.0,30900.0,240.0,155407.0,50.0,147456.0,,58054.0,17000.0,100.0,1000.0,400.0,,,260824.0,300.0,14900.0,20271.0,21300.0,100.0,100.0,12000.0,200.0,
1974,10494.0,7147.0,150.0,8000.0,70000.0,29100.0,240.0,143442.0,100.0,154228.0,,86526.0,19000.0,6.0,500.0,500.0,,0.0,290479.0,300.0,13510.0,22494.0,20000.0,100.0,100.0,12000.0,200.0,
1975,9284.0,7933.0,200.0,8000.0,40000.0,31905.0,240.0,127840.0,50.0,140439.0,,43639.0,12000.0,0.0,500.0,600.0,,0.0,314314.0,300.0,13765.0,21284.0,15000.0,100.0,100.0,12000.0,200.0,
1976,8962.0,7937.0,300.0,5636.0,25000.0,25425.0,240.0,119077.0,70.0,133359.0,,33555.0,6000.0,0.0,400.0,600.0,,0.0,166438.0,300.0,14300.0,20962.0,19000.0,100.0,100.0,12000.0,200.0,
1977,7924.0,6106.0,250.0,3917.0,20000.0,26290.0,240.0,105018.0,80.0,101197.0,,33433.0,6000.0,0.0,400.0,700.0,,0.0,225246.0,300.0,9032.0,19924.0,18000.0,100.0,100.0,12000.0,200.0,
1978,8805.0,6144.0,200.0,3073.0,20000.0,15920.0,240.0,91873.0,30.0,98273.0,,31456.0,9000.0,0.0,800.0,720.0,,0.0,201786.0,300.0,6602.0,21805.0,14000.0,100.0,100.0,13000.0,200.0,
1979,8038.0,5518.0,200.0,3730.0,13000.0,14850.0,240.0,81384.0,30.0,87581.0,,36457.0,11000.0,0.0,800.0,730.0,,0.0,228191.0,300.0,6108.0,22038.0,11000.0,100.0,100.0,14000.0,200.0,
1980,7682.0,5694.0,250.0,6000.0,5000.0,16020.0,240.0,85982.0,200.0,89254.0,,46910.0,16000.0,0.0,800.0,730.0,,0.0,234981.0,300.0,5317.0,21682.0,12000.0,100.0,100.0,14000.0,200.0,
1981,3078.0,3683.0,250.0,7000.0,4000.0,15400.0,240.0,73956.0,50.0,94767.0,,41325.0,10210.0,0.0,800.0,1000.0,,,239203.0,300.0,5220.0,17078.0,9500.0,100.0,100.0,14000.0,200.0,
1982,3029.0,5760.0,300.0,5170.0,6000.0,18400.0,240.0,60635.0,50.0,73495.0,,50029.0,11000.0,0.0,800.0,1100.0,,,251325.0,300.0,5011.0,17029.0,5300.0,100.0,100.0,14000.0,220.0,
1983,3332.0,6289.0,300.0,4881.0,3000.0,18800.0,240.0,46186.0,50.0,71342.0,,49700.0,11000.0,0.0,800.0,1100.0,,,180859.0,300.0,5833.0,17332.0,4000.0,100.0,100.0,14000.0,230.0,
1984,3348.0,6242.0,350.0,4875.0,1000.0,19500.0,197.0,38263.0,50.0,57026.0,,51400.0,12000.0,0.0,800.0,1200.0,,,224760.0,300.0,6025.0,19348.0,2500.0,120.0,100.0,16000.0,240.0,
1985,2057.0,6433.0,350.0,6500.0,1000.0,19800.0,189.0,32270.0,50.0,50031.0,,45000.0,11000.0,0.0,800.0,1300.0,,,290901.0,300.0,6169.0,24144.0,2000.0,120.0,100.0,22087.0,240.0,
1986,2977.0,6815.0,400.0,7500.0,1000.0,19800.0,171.0,30151.0,50.0,65800.0,,41500.0,6000.0,0.0,800.0,1400.0,,,246232.0,300.0,7187.0,24790.0,1000.0,120.0,100.0,21813.0,250.0,
1987,1067.0,7006.0,465.0,7500.0,1000.0,19700.0,181.0,33170.0,65.0,32148.0,,37000.0,6000.0,0.0,800.0,1500.0,,,191294.0,300.0,7341.0,17067.0,1000.0,120.0,100.0,16000.0,250.0,
1988,510.0,6629.0,450.0,7500.0,1000.0,19500.0,198.0,33268.0,65.0,45805.0,,36900.0,10000.0,0.0,830.0,1600.0,,,189654.0,300.0,7526.0,16510.0,1000.0,120.0,100.0,16000.0,260.0,
1989,58.0,6731.0,480.0,5164.0,1000.0,19955.0,208.0,32265.0,65.0,31248.0,,37319.0,10000.0,0.0,840.0,1700.0,,,221231.0,300.0,8336.0,20411.0,1000.0,120.0,100.0,20353.0,270.0,
1990,30.0,6700.0,506.0,4264.0,1000.0,20000.0,210.0,33743.0,72.0,35156.0,,39617.0,10096.0,0.0,887.0,1800.0,0.0,0.0,185156.0,303.0,8813.0,30030.0,889.0,129.0,95.0,30000.0,275.0,
1991,10.0,6220.0,546.0,4084.0,1000.0,15000.0,225.0,35662.0,53.0,35650.0,,38800.0,8645.0,0.0,800.0,1900.0,0.0,0.0,233721.0,440.0,13035.0,28482.0,1000.0,115.0,89.0,28472.0,280.0,
1992,6.0,5985.0,527.0,3010.0,500.0,10000.0,235.0,24309.0,50.0,48712.0,,34100.0,9000.0,0.0,800.0,2000.0,0.0,0.0,204227.0,440.0,14885.0,29006.0,1000.0,122.0,70.0,29000.0,285.0,
1993,3.0,5695.0,300.0,2666.0,500.0,18000.0,235.0,30500.0,45.0,35387.0,800.0,35100.0,8500.0,0.0,,2100.0,0.0,-1.0,126076.0,440.0,6500.0,38861.0,1000.0,130.0,100.0,38858.0,290.0,
1994,1.0,5364.0,450.0,2889.0,499.0,17200.0,226.0,25500.0,40.0,35969.0,792.0,33900.0,8000.0,0.0,,2200.0,0.0,-1.0,118056.0,440.0,17803.0,40855.0,1014.0,127.0,70.0,40854.0,300.0,-1.0
1995,0.0,6000.0,441.0,2672.0,494.0,16300.0,206.0,32000.0,38.0,43100.0,785.0,27810.0,7000.0,0.0,,2218.0,0.0,-1.0,118056.0,440.0,16440.0,43442.0,1020.0,127.0,80.0,43442.0,300.0,
1996,0.0,3984.0,439.0,2500.0,550.0,17000.0,436.0,23000.0,35.0,41346.0,783.0,28100.0,5660.0,0.0,,2200.0,0.0,-1.0,121436.0,440.0,14796.0,27882.0,1031.0,127.0,100.0,27882.0,305.0,
1997,1.0,2955.0,438.0,2200.0,600.0,18000.0,366.0,25000.0,37.0,57010.0,760.0,28188.0,5700.0,0.0,,2159.0,0.0,-1.0,137887.0,440.0,14000.0,38364.0,1018.0,127.0,90.0,38363.0,310.0,
1998,4.0,1897.0,436.0,2045.0,650.0,18000.0,307.0,15000.0,38.0,45870.0,742.0,18216.0,5660.0,0.0,,2114.0,0.0,-1.0,115816.0,440.0,13704.0,36956.0,987.0,127.0,100.0,36952.0,315.0,
1999,4.0,120.0,428.0,1900.0,500.0,17000.0,256.0,24000.0,39.0,32825.0,718.0,18200.0,5700.0,0.0,,2066.0,0.0,-1.0,193673.0,440.0,11583.0,36820.0,967.0,126.0,94.0,36816.0,320.0,
2000,4.0,140.0,424.0,1920.0,512.0,17075.0,266.0,20600.0,40.0,97532.0,700.0,16607.0,5700.0,0.0,,2015.0,0.0,-1.0,194463.0,440.0,10801.0,36757.0,950.0,126.0,90.0,36753.0,325.0,
2001,4.0,160.0,420.0,1710.0,494.0,17130.0,453.0,25200.0,42.0,27059.0,647.0,17144.0,5660.0,0.0,,1964.0,0.0,-1.0,181475.0,440.0,5029.0,12979.0,966.0,126.0,92.0,12975.0,330.0,
2002,4.0,187.0,416.0,1560.0,484.0,17190.0,500.0,23500.0,43.0,16636.0,597.0,23402.0,5200.0,0.0,,1909.0,0.0,-1.0,171266.0,440.0,3443.0,16004.0,1000.0,126.0,92.0,16000.0,335.0,
2003,4.0,285.0,412.0,1500.0,495.0,17250.0,550.0,23600.0,45.0,25773.0,526.0,24447.0,5200.0,0.0,,1847.0,0.0,-1.0,187008.0,440.0,5478.0,17004.0,1020.0,126.0,96.0,17000.0,320.0,
2004,4.0,200.0,409.0,1260.0,490.0,17000.0,350.0,23800.0,43.0,17000.0,500.0,25000.0,6000.0,0.0,,1797.0,0.0,-1.0,199322.0,440.0,3239.0,27004.0,973.0,126.0,98.0,27000.0,340.0,
2005,4.0,230.0,420.0,1300.0,470.0,17200.0,280.0,27000.0,41.0,27050.0,501.0,25800.0,6000.0,0.0,,1734.0,0.0,-1.0,213082.0,440.0,4314.0,13004.0,907.0,125.0,95.0,13000.0,303.0,
2006,4.0,215.0,396.0,1260.0,447.0,17749.0,200.0,27800.0,35.0,26746.0,501.0,26375.0,6000.0,0.0,,1694.0,5.0,-1.0,248111.0,440.0,3909.0,12504.0,607.0,150.0,96.0,12500.0,294.0,
2007,4.0,220.0,392.0,1251.0,448.0,18003.0,160.0,30900.0,31.0,26335.0,502.0,24789.0,8000.0,0.0,,1660.0,5.0,-1.0,245389.0,440.0,5900.0,14004.0,600.0,158.0,97.0,14000.0,274.0,
2008,4.0,228.0,387.0,1268.0,450.0,17872.0,100.0,33300.0,27.0,26033.0,502.0,22064.0,8256.0,0.0,,1632.0,5.0,-1.0,246239.0,440.0,5359.0,16004.0,650.0,170.0,98.0,16000.0,260.0,
2009,4.0,237.0,382.0,1278.0,500.0,17741.0,97.0,23800.0,23.0,23895.0,577.0,19048.0,8935.0,0.0,,1612.0,3.0,-1.0,280005.0,440.0,5253.0,16504.0,650.0,180.0,110.0,16500.0,175.0,
2010,4.0,251.0,377.0,1284.0,540.0,17779.0,58.0,26363.0,20.0,37773.0,654.0,23924.0,9134.0,0.0,,1602.0,3.0,-1.0,246535.0,440.0,6568.0,15605.0,660.0,202.0,129.0,15601.0,302.0,
2011,4.0,265.0,373.0,1279.0,598.0,17744.0,40.0,24828.0,16.0,18918.0,648.0,27560.0,9604.0,0.0,,1600.0,3.0,-1.0,283797.0,440.0,5126.0,14881.0,690.0,187.0,130.0,14877.0,298.0,
2012,4.0,450.0,350.0,1274.0,622.0,17798.0,38.0,25693.0,13.0,34237.0,650.0,27866.0,10073.0,0.0,,1625.0,4.0,-1.0,89128.0,440.0,3233.0,14737.0,675.0,180.0,124.0,14733.0,230.0,
2013,4.0,465.0,340.0,1269.0,652.0,17851.0,30.0,34875.0,13.0,16729.0,650.0,25328.0,11724.0,0.0,,1650.0,4.0,-1.0,150584.0,440.0,2415.0,14214.0,675.0,185.0,138.0,14210.0,220.0,
2014,4.0,460.0,360.0,1264.0,611.0,17904.0,30.0,29563.0,12.0,6098.0,652.0,22038.0,10414.0,0.0,,1674.0,4.0,-1.0,138008.0,440.0,3104.0,13691.0,666.0,188.0,129.0,13687.0,234.0,
