,Peru,Occupied Palestinian Territory,Italy,Wallis and Futuna Islands,Kazakhstan,Sri Lanka,Samoa,Ecuador,Guatemala,Brazil,Lithuania,Polynesia,Mali,Canada
1961,0.0,0.0,9000.0,7.0,-1.0,13000.0,0.0,12780.0,0.0,5892.0,-1.0,8.0,0.0,5665.0
1962,0.0,0.0,9000.0,7.0,-1.0,12500.0,0.0,16734.0,0.0,6164.0,-1.0,8.0,0.0,6501.0
1963,0.0,0.0,9000.0,7.0,-1.0,12000.0,0.0,16881.0,0.0,6598.0,-1.0,8.0,0.0,6557.0
1964,0.0,0.0,10000.0,7.0,-1.0,11000.0,1.0,13514.0,0.0,7047.0,-1.0,8.0,0.0,6450.0
1965,0.0,0.0,10000.0,7.0,-1.0,20500.0,1.0,12007.0,0.0,6629.0,-1.0,8.0,0.0,5711.0
1966,0.0,0.0,10000.0,7.0,-1.0,15000.0,1.0,11507.0,0.0,6807.0,-1.0,8.0,0.0,6911.0
1967,0.0,0.0,10000.0,8.0,-1.0,19000.0,1.0,10264.0,0.0,7270.0,-1.0,9.0,0.0,6012.0
1968,0.0,0.0,10000.0,8.0,-1.0,17500.0,1.0,16614.0,0.0,7359.0,-1.0,9.0,0.0,6780.0
1969,0.0,0.0,9000.0,8.0,-1.0,18000.0,1.0,16881.0,0.0,7061.0,-1.0,9.0,0.0,6467.0
1970,0.0,0.0,9000.0,8.0,-1.0,17000.0,1.0,10270.0,0.0,6826.0,-1.0,9.0,0.0,7290.0
1971,0.0,0.0,8000.0,8.0,-1.0,17000.0,1.0,10264.0,0.0,6780.0,-1.0,9.0,0.0,6299.0
1972,0.0,0.0,8000.0,8.0,-1.0,21000.0,1.0,8055.0,0.0,5766.0,-1.0,9.0,0.0,6431.0
1973,0.0,0.0,9000.0,8.0,-1.0,18000.0,1.0,6973.0,0.0,5132.0,-1.0,9.0,0.0,6538.0
1974,0.0,0.0,10000.0,8.0,-1.0,22000.0,1.0,7756.0,0.0,2742.0,-1.0,9.0,0.0,7537.0
1975,0.0,0.0,10000.0,8.0,-1.0,22000.0,1.0,7378.0,0.0,3077.0,-1.0,9.0,0.0,8808.0
1976,0.0,0.0,10000.0,8.0,-1.0,24000.0,1.0,6959.0,0.0,3176.0,-1.0,9.0,0.0,7420.0
1977,0.0,0.0,10000.0,9.0,-1.0,21000.0,1.0,4834.0,0.0,3530.0,-1.0,10.0,0.0,6992.0
1978,0.0,0.0,5000.0,10.0,-1.0,20500.0,1.0,5341.0,0.0,4236.0,-1.0,10.0,0.0,8854.0
1979,0.0,0.0,10000.0,10.0,-1.0,22000.0,1.0,5898.0,0.0,6176.0,-1.0,11.0,0.0,10382.0
1980,3000.0,0.0,12000.0,11.0,-1.0,22000.0,1.0,8298.0,15.0,6326.0,-1.0,12.0,0.0,8627.0
1981,3750.0,0.0,10000.0,11.0,-1.0,22000.0,1.0,8358.0,18.0,9178.0,-1.0,12.0,0.0,10344.0
1982,5250.0,0.0,11000.0,12.0,-1.0,22000.0,1.0,8121.0,23.0,7823.0,-1.0,13.0,0.0,11686.0
1983,5400.0,0.0,13000.0,12.0,-1.0,24000.0,1.0,10087.0,25.0,5916.0,-1.0,13.0,0.0,10516.0
1984,5700.0,0.0,15000.0,12.0,-1.0,9000.0,1.0,11226.0,29.0,5717.0,-1.0,13.0,0.0,11436.0
1985,5850.0,0.0,11000.0,13.0,-1.0,14000.0,1.0,15300.0,30.0,7314.0,-1.0,14.0,0.0,10217.0
1986,5850.0,0.0,14000.0,14.0,-1.0,16500.0,1.0,13608.0,32.0,8949.0,-1.0,15.0,0.0,10305.0
1987,6300.0,0.0,11000.0,14.0,-1.0,17000.0,1.0,13691.0,33.0,7339.0,-1.0,15.0,0.0,12050.0
1988,6450.0,0.0,11000.0,14.0,-1.0,19000.0,1.0,15535.0,38.0,7013.0,-1.0,16.0,0.0,11228.0
1989,6750.0,0.0,12000.0,15.0,-1.0,22000.0,1.0,14419.0,40.0,8768.0,-1.0,16.0,0.0,11652.0
1990,6750.0,0.0,12000.0,15.0,-1.0,19000.0,1.0,16474.0,43.0,9412.0,-1.0,16.0,0.0,13053.0
1991,6900.0,0.0,12000.0,16.0,-1.0,15000.0,1.0,19061.0,46.0,8511.0,-1.0,17.0,0.0,12691.0
1992,5850.0,0.0,11000.0,16.0,9994.0,19070.0,1.0,21176.0,46.0,8807.0,5000.0,17.0,0.0,12722.0
1993,7350.0,0.0,11000.0,14.0,9424.0,17570.0,1.0,20302.0,46.0,8830.0,8000.0,16.0,0.0,12907.0
1994,7500.0,0.0,12000.0,21.0,10526.0,20180.0,1.0,23770.0,48.0,6381.0,9000.0,22.0,0.0,13948.0
1995,9074.0,800.0,12000.0,22.0,12008.0,20110.0,1.0,24550.0,53.0,5999.0,11600.0,23.0,0.0,12890.0
1996,9209.0,645.0,12000.0,23.0,12122.0,17410.0,1.0,41260.0,56.0,6453.0,12800.0,24.0,0.0,14135.0
1997,10500.0,534.0,12000.0,22.0,15770.0,17710.0,1.0,34174.0,59.0,5442.0,11900.0,23.0,0.0,13446.0
1998,11282.0,274.0,12000.0,23.0,14744.0,13320.0,1.0,17290.0,45.0,6049.0,10500.0,24.0,0.0,14917.0
1999,5038.0,595.0,12000.0,23.0,14744.0,20240.0,1.0,24090.0,50.0,6692.0,9200.0,24.0,55.0,13922.0
2000,6246.0,641.0,12000.0,24.0,15732.0,16740.0,1.0,24090.0,60.0,7149.0,11000.0,25.0,125.0,12998.0
2001,6522.0,419.0,12000.0,26.0,17860.0,16830.0,1.0,23430.0,60.0,7880.0,10800.0,27.0,170.0,13977.0
2002,6745.0,313.0,12000.0,24.0,16036.0,14820.0,1.0,18105.0,60.0,7550.0,15800.0,25.0,231.0,14991.0
2003,5142.0,499.0,12000.0,23.0,16568.0,14440.0,1.0,18955.0,70.0,5259.0,11000.0,24.0,293.0,15604.0
2004,4893.0,687.0,12000.0,25.0,16492.0,14070.0,1.0,21656.0,62.0,5252.0,11000.0,26.0,354.0,14089.0
2005,5339.0,703.0,12000.0,23.0,15960.0,10900.0,1.0,22506.0,67.0,5245.0,9500.0,24.0,416.0,13956.0
2006,6475.0,688.0,12000.0,24.0,14744.0,11730.0,1.0,22906.0,89.0,5629.0,8800.0,25.0,477.0,14512.0
2007,6533.0,724.0,12000.0,16.0,21242.0,10560.0,1.0,23022.0,64.0,5114.0,7800.0,17.0,539.0,14882.0
2008,5700.0,543.0,12000.0,16.0,19912.0,9400.0,1.0,23196.0,60.0,5082.0,7600.0,17.0,600.0,13890.0
2009,6200.0,168.0,14000.0,24.0,20000.0,9190.0,1.0,23196.0,62.0,5226.0,6300.0,25.0,310.0,16345.0
2010,7300.0,417.0,14000.0,24.0,25726.0,9400.0,1.0,23754.0,59.0,6465.0,7400.0,25.0,532.0,18186.0
