,Slovakia,Romania,Nicaragua,Israel,Iraq,Pakistan,Belgium,Uruguay,Turkey,Czechia,Republic of Moldova,Italy,Serbia,USSR,Germany,Turkmenistan,Croatia,Syrian Arab Republic,Portugal,"China, mainland",Estonia,Uzbekistan,Afghanistan,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Slovenia,Chile,Hungary,Canada,Colombia,Spain,Lebanon,Austria,Ecuador,Japan,Poland,Belgium-Luxembourg,Sweden,Belarus,Denmark,Switzerland,Egypt,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,France,Tunisia,Mali,Bosnia and Herzegovina,Congo,Russian Federation,Dominican Republic,Kyrgyzstan,Mexico,Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Kazakhstan,United States of America,Latvia,Ukraine,Albania,Azerbaijan,Ireland,Algeria,Venezuela (Bolivarian Republic of),United Kingdom,Lithuania,Bulgaria,Netherlands,China
1961,,2910800.0,,221000.0,10000.0,20300.0,,168700.0,2877113.0,,,7070900.0,,50911008.0,14286746.0,,,85772.0,91300.0,796700.0,,,42400.0,456120.0,,,,70000.0,,251378.0,2355544.0,1003075.0,-1.0,4350000.0,24500.0,1250131.0,3003.0,1136000.0,11555000.0,2977000.0,2000600.0,,1396985.0,223700.0,500.0,,,51525.0,7328895.0,13235800.0,33000.0,-1.0,,,,,,,1730000.0,-1.0,810440.0,,16263000.0,,,83010.0,,892092.0,2520.0,-1.0,6031000.0,,1640000.0,3854430.0,796700.0
1962,,2180400.0,,221000.0,10000.0,49080.0,,304418.0,2730932.0,,,7147600.0,,47435008.0,14361905.0,,,81042.0,75000.0,339000.0,,,60456.0,366669.0,,,,70000.0,,430614.0,2658447.0,1003070.0,-1.0,3506000.0,29900.0,1546387.0,3024.0,1261000.0,10075000.0,2079000.0,1442030.0,,1440000.0,167800.0,419.0,,,208353.0,6204287.0,11564700.0,33000.0,-1.0,,,,,,,1870000.0,-1.0,1032000.0,,16543000.0,,,79368.0,,930702.0,,-1.0,5398000.0,,1300000.0,2934100.0,339000.0
1963,,2298200.0,,249900.0,10000.0,43760.0,,383203.0,3280715.0,,,7882100.0,,44052000.0,19011312.0,,,86899.0,90000.0,519400.0,,,56225.0,455233.0,,,,73270.0,,692288.0,3437954.0,1166404.0,-1.0,2703000.0,35400.0,2090322.0,3296.0,1200000.0,10661000.0,2200000.0,1573950.0,,2598000.0,296900.0,283.0,,,324836.0,8021488.0,13951370.0,45000.0,-1.0,,,,,,,2670000.0,-1.0,1191000.0,,21233008.0,,,93872.0,,952039.0,7200.0,-1.0,5338000.0,,1305879.0,2690923.0,519400.0
1964,,3668000.0,,256000.0,15000.0,75610.0,,242976.0,4705783.0,,,7966300.0,,81174000.0,19387216.0,,,171314.0,75000.0,1304000.0,,,31000.0,430948.0,,,,180870.0,,613740.0,3560412.0,1177440.0,-1.0,3328000.0,72700.0,2203062.0,3164.0,1203000.0,12574000.0,3522000.0,1730870.0,,3153506.0,361700.0,131.0,,,524739.0,7481033.0,16241370.0,49000.0,-1.0,,,,,,,2830000.0,-1.0,1028000.0,,21448000.0,,,135037.0,,893108.0,11419.0,-1.0,6318000.0,,2183766.0,3875717.0,1304000.0
1965,,3013200.0,,294600.0,27648.0,47150.0,,388945.0,3421353.0,,,9078800.0,,72276000.0,16499783.0,,,171400.0,97500.0,1984000.0,,,56000.0,407500.0,,,,174950.0,,681837.0,3452010.0,1036309.0,-1.0,3664000.0,68800.0,1461512.0,2720.0,1813000.0,12314000.0,2748000.0,1339860.0,,1883000.0,297600.0,163.0,,,654704.0,5671027.0,16960944.0,37500.0,-1.0,,,,,,,2620000.0,-1.0,1411000.0,,18570000.0,,,90085.0,,759372.0,13886.0,-1.0,6813000.0,,1500519.0,3572547.0,1984000.0
1966,,4368000.0,,282000.0,26136.0,69070.0,,554516.0,4422085.0,,,11258800.0,,74037008.0,19315600.0,,,189100.0,115600.0,2627000.0,,,56000.0,457200.0,,,,382000.0,,767613.0,3570000.0,1057367.0,-1.0,4000000.0,115000.0,2308288.0,2654.0,1639000.0,13620000.0,2854000.0,1433890.0,,2159000.0,366000.0,568.0,,,727103.0,7770660.0,12889340.0,56400.0,-1.0,,,,,,,4030000.0,-1.0,2463000.0,,18577008.0,,,132575.0,,704123.0,25000.0,-1.0,6599000.0,,2598036.0,3644513.0,2627000.0
1967,,3829800.0,,289300.0,40742.0,46240.0,,362290.0,5253492.0,,,13507100.0,,87111008.0,20771440.0,,,154400.0,123500.0,2601000.0,,,67000.0,432300.0,,,,364000.0,,1047900.0,3356097.0,980740.0,-1.0,4283000.0,110000.0,2006380.0,3073.0,1984000.0,15521000.0,4004000.0,1797740.0,,2139000.0,423400.0,276.0,,,862081.0,7665353.0,12768740.0,39850.0,-1.0,,,,,,,3680000.0,-1.0,2833000.0,,17779008.0,,,137645.0,,956200.0,63000.0,-1.0,6883739.0,,2102646.0,5073697.0,2601000.0
1968,,3936000.0,,247900.0,42354.0,95760.0,,201860.0,4715578.0,,,11456700.0,,94340000.0,21078736.0,,,166040.0,105000.0,2154700.0,,,62000.0,386200.0,,,,747940.0,,1142575.0,3471292.0,996289.0,-1.0,4543000.0,118952.0,1935791.0,3053.0,2110000.0,14800000.0,4445000.0,1981540.0,,2148000.0,453000.0,173.0,,,687988.0,8100891.0,17556848.0,34100.0,-1.0,,,,,,,2910000.0,-1.0,3411586.0,,23287008.0,,,122294.0,,1092700.0,76000.0,-1.0,7118000.0,,1446134.0,5127676.0,2154700.0
1969,,3783000.0,,214700.0,31681.0,205310.0,,483638.0,3356472.0,,,10570900.0,,71158000.0,18247184.0,,,188738.0,65900.0,2386300.0,,,68000.0,337100.0,,,,898700.0,,1065940.0,3302572.0,978140.0,-1.0,4980000.0,94000.0,2005369.0,3142.0,2083000.0,11321000.0,4400000.0,1470490.0,,2008000.0,392300.0,463.0,,,1036326.0,5812749.0,17900144.0,39744.0,-1.0,,,,,,,3636410.0,-1.0,3484272.0,,25069008.0,,,100472.0,,916500.0,114115.0,-1.0,6034321.0,,1674706.0,5001966.0,2386300.0
1970,,2921300.0,,237000.0,54156.0,252140.0,,274851.0,4253631.0,,,9518000.0,,78942000.0,19592736.0,,,227541.0,66800.0,2102800.0,,,62000.0,430600.0,,,,1114000.0,,1655113.0,2174916.0,831802.0,-1.0,5415000.0,100356.0,1946895.0,3109.0,2332000.0,12742000.0,4150000.0,1560520.0,,1897000.0,379200.0,235.0,,,1358715.0,6647939.0,17539488.0,27400.0,-1.0,,,,,,,2947536.0,-1.0,3455000.0,,22969008.0,,,116540.0,,982500.0,65273.0,-1.0,6412292.0,,1753560.0,4739000.0,2102800.0
1971,,3975000.0,,258600.0,78192.0,166000.0,,450738.0,5956178.0,,,8776200.0,,72185008.0,19813248.0,,,232222.0,100700.0,2125100.0,,,60000.0,463500.0,,,,1583900.0,,1390657.0,2023441.0,1103100.0,-1.0,6412000.0,146181.0,1590089.0,1661.0,2197000.0,12557000.0,5498000.0,1706260.0,,1999000.0,472200.0,325.0,,,1380455.0,5834694.0,19967904.0,34838.0,-1.0,,,,,,,2961081.0,-1.0,3772000.0,,24373008.0,,,126209.0,,1218100.0,94839.0,-1.0,7869307.0,,1562860.0,5024000.0,2125100.0
1972,,5581400.0,,248500.0,74320.0,210000.0,,341346.0,5896042.0,,,11177100.0,,76419008.0,21988016.0,,,248947.0,94700.0,2322400.0,,,63300.0,662000.0,,,,1677000.0,,1201565.0,2909282.0,970455.0,-1.0,5212000.0,190000.0,2147667.0,2176.0,2760000.0,14341000.0,4700000.0,1783120.0,,2165753.0,395700.0,269.0,,,1171155.0,6885878.0,19275648.0,44016.0,-1.0,,,,,,,3274471.0,-1.0,3639000.0,,25824000.0,,,150000.0,,1094511.0,23719.0,-1.0,6216194.0,,1998305.0,4957000.0,2322400.0
1973,,4380200.0,,217300.0,53878.0,111970.0,,370458.0,5095156.0,,,9202800.0,,87047008.0,23235216.0,,,152448.0,70300.0,2678500.0,,,57000.0,607000.0,,,,1292680.0,,855949.0,2753666.0,901900.0,-1.0,5501000.0,139431.0,2220263.0,3012.0,2951000.0,13664000.0,5571000.0,1781470.0,,2520613.0,539500.0,,,,1422400.0,6165749.0,22688576.0,44800.0,-1.0,,,,,,,3338057.0,-1.0,3881000.0,,22288000.0,,,162000.0,,1321600.0,40580.0,-1.0,7427000.0,,1757658.0,5592182.0,2678500.0
1974,,4947100.0,,116700.0,61692.0,95870.0,,434200.0,5707147.0,,,7581700.0,,77948000.0,23973936.0,,,138900.0,92800.0,2288500.0,,,66600.0,629100.0,,,,1943620.0,,1025300.0,3708393.0,751592.0,-1.0,3989000.0,80000.0,2386209.0,1879.0,1878000.0,12971000.0,4706000.0,2140470.0,,2690604.0,518400.0,,,,1510887.0,8221158.0,21556176.0,47400.0,-1.0,,,,,,,4299672.0,-1.0,4075000.0,,20069536.0,,,140000.0,,925900.0,57330.0,-1.0,4587000.0,,1648487.0,4910771.0,2288500.0
1975,,4905070.0,,259000.0,49424.0,235235.0,,573316.0,6948637.0,,,12345500.0,,66312000.0,25494640.0,,,187376.0,113400.0,2476400.0,,,108500.0,629500.0,,,,1791920.0,,1616720.0,4089021.0,942594.0,-1.0,6337000.0,50000.0,3134492.0,4153.0,1759000.0,15706842.0,5310000.0,1991530.0,,3140171.0,479500.0,,,,2665743.0,7735754.0,23655632.0,52800.0,-1.0,,,,,,,4212913.0,-1.0,4670000.0,,26946880.0,,,150000.0,,1429700.0,66330.0,-1.0,4787000.0,,1801583.0,6145000.0,2476400.0
1976,,6910600.0,,323600.0,72178.0,272847.0,,833133.0,9406150.0,,,15149200.0,,99872000.0,24035936.0,,,242314.0,128500.0,2932000.0,,,90900.0,588000.0,,,,2361610.0,,2276170.0,3942299.0,1158400.0,-1.0,10167000.0,160000.0,2583342.0,3665.0,2169000.0,15106801.0,5031000.0,2076590.0,,3018583.0,587031.0,,,,2894214.0,5248461.0,22868784.0,83000.0,-1.0,,,,,,,4710510.0,-1.0,5271760.0,,26658384.0,,,140000.0,,1468000.0,45500.0,-1.0,6325000.0,,2367907.0,6828000.0,2932000.0
1977,,6246165.0,,320000.0,75254.0,389354.0,,596892.0,8994906.0,,,11346400.0,,93099008.0,29226752.0,,,273309.0,65000.0,2456000.0,,,97000.0,555200.0,,,,1473690.0,,2208400.0,3889542.0,1010842.0,-1.0,8307000.0,123000.0,2701779.0,1271.0,2333000.0,15640109.0,4807000.0,2199160.0,,3542811.0,544900.0,10.0,,,2347145.0,8231936.0,27132688.0,118000.0,-1.0,,,,,,,5287000.0,-1.0,4187536.0,,22685968.0,,,115000.0,,1398000.0,60163.0,-1.0,6382000.0,,1784286.0,6329000.0,2456000.0
1978,,5844679.0,,116700.0,53790.0,326890.0,,375871.0,8836818.0,,,11329100.0,,93483008.0,26345568.0,,,231938.0,46310.0,2702000.0,,,73000.0,722100.0,,,,2395400.0,,840350.0,4192048.0,946552.0,-1.0,8291000.0,118000.0,1884677.0,777.0,2884000.0,15706549.0,5654000.0,2246860.0,,3055717.0,633700.0,,,,2718936.0,7285283.0,24487648.0,80000.0,-1.0,,,,,,,5157000.0,-1.0,3659701.0,,23394352.0,,,150000.0,,1456000.0,67545.0,-1.0,7080000.0,,1636330.0,6323872.0,2702000.0
1979,,6109131.0,,146700.0,37200.0,334644.0,,356704.0,8759726.0,,,13236400.0,,76212000.0,25035440.0,,,288833.0,46310.0,3106000.0,,,70000.0,700000.0,,,,2174549.0,,661490.0,3927496.0,855400.0,-1.0,5124000.0,108000.0,2145173.0,943.0,3344000.0,14153586.0,6462000.0,2206190.0,,3091776.0,781400.0,103000.0,,,2749221.0,7647116.0,26059696.0,52000.0,-1.0,,,,,,,5924000.0,-1.0,3824200.0,,19954448.0,,,312141.0,,1322000.0,93341.0,-1.0,7660000.0,,2085272.0,5491283.0,3106000.0
