,Paraguay,Burundi,Peru,Angola,Cameroon,Malaysia,Dominican Republic,Philippines,Brazil,Benin,Indonesia,Liberia,Sao Tome and Principe,Venezuela (Bolivarian Republic of),Melanesia,Papua New Guinea,Guatemala,Democratic Republic of the Congo,Togo,Nigeria,Madagascar,Suriname,Senegal,Costa Rica,Guinea,Central African Republic,Equatorial Guinea,Congo,Gabon,Ecuador,Honduras,Solomon Islands,Mexico,China,Côte d'Ivoire,Colombia,Gambia,United Republic of Tanzania,Guinea-Bissau,Panama,Sierra Leone,Thailand,Ghana,"China, mainland",Nicaragua
1961,84810.0,75000.0,-1.0,95455.0,137667.0,115468.0,-1.0,66667.0,100000.0,100000.0,133571.0,100000.0,97701.0,-1.0,181818.0,-1.0,-1.0,68996.0,80000.0,25000.0,-1.0,-1.0,100000.0,143333.0,26667.0,89286.0,100000.0,111000.0,56250.0,59643.0,80979.0,181818.0,130285.0,-1.0,58139.0,150000.0,100000.0,81818.0,76923.0,-1.0,80645.0,57895.0,83333.0,-1.0,-1.0
1962,85185.0,75000.0,-1.0,95455.0,142143.0,123443.0,-1.0,66667.0,108696.0,100000.0,127857.0,100000.0,97977.0,-1.0,181818.0,-1.0,-1.0,69005.0,77333.0,25000.0,-1.0,-1.0,100000.0,139474.0,26667.0,89286.0,102083.0,115000.0,56250.0,61000.0,84289.0,181818.0,131573.0,-1.0,67205.0,154545.0,100000.0,95000.0,82051.0,-1.0,80645.0,57895.0,83333.0,-1.0,-1.0
1963,85185.0,75000.0,-1.0,95238.0,153143.0,134901.0,-1.0,66667.0,112500.0,100000.0,119333.0,100000.0,96000.0,-1.0,181818.0,-1.0,-1.0,68986.0,83333.0,25000.0,-1.0,-1.0,100000.0,141538.0,26667.0,89286.0,102000.0,119167.0,60000.0,61000.0,87689.0,181818.0,119114.0,-1.0,67462.0,152000.0,100000.0,85714.0,84615.0,-1.0,80645.0,57895.0,83333.0,-1.0,-1.0
1964,85047.0,75000.0,-1.0,95455.0,157838.0,122306.0,-1.0,66667.0,110345.0,100000.0,116500.0,100000.0,93333.0,-1.0,181818.0,-1.0,-1.0,68989.0,83333.0,25000.0,-1.0,-1.0,100000.0,136923.0,26667.0,89286.0,101667.0,124444.0,49524.0,60625.0,98219.0,181818.0,122808.0,-1.0,72742.0,155556.0,100000.0,85714.0,76923.0,-1.0,80645.0,57895.0,58824.0,-1.0,-1.0
1965,86923.0,75000.0,-1.0,94444.0,150000.0,134237.0,-1.0,66667.0,105000.0,100000.0,111875.0,100000.0,94667.0,-1.0,181818.0,-1.0,-1.0,69021.0,83333.0,25000.0,-1.0,-1.0,100000.0,141538.0,26667.0,89286.0,101667.0,123077.0,70909.0,59737.0,113849.0,181818.0,123681.0,-1.0,73178.0,153333.0,100000.0,83333.0,76923.0,-1.0,80645.0,57895.0,61867.0,-1.0,-1.0
1966,84242.0,75000.0,-1.0,94737.0,156061.0,140801.0,-1.0,66667.0,105769.0,100000.0,112235.0,100000.0,94667.0,-1.0,181818.0,-1.0,-1.0,69034.0,83333.0,25000.0,-1.0,-1.0,100000.0,141304.0,26667.0,88889.0,93333.0,122000.0,68571.0,60588.0,113785.0,181818.0,123981.0,-1.0,70756.0,151515.0,100000.0,83333.0,76923.0,-1.0,80645.0,57895.0,61798.0,-1.0,-1.0
1967,85185.0,75000.0,-1.0,95000.0,154222.0,143822.0,-1.0,66667.0,106522.0,100000.0,109765.0,100000.0,99254.0,-1.0,181818.0,-1.0,-1.0,69006.0,83333.0,25000.0,-1.0,-1.0,100000.0,141791.0,26667.0,88889.0,95000.0,134000.0,71429.0,59524.0,113784.0,181818.0,124277.0,-1.0,76050.0,151786.0,100000.0,83333.0,84615.0,-1.0,80645.0,57895.0,66007.0,-1.0,-1.0
1968,84375.0,88889.0,-1.0,95000.0,151702.0,142785.0,-1.0,66667.0,104082.0,100000.0,111111.0,100000.0,99091.0,-1.0,181818.0,-1.0,-1.0,69000.0,83333.0,25000.0,-1.0,-1.0,100000.0,141667.0,26667.0,88889.0,100000.0,152000.0,82857.0,60000.0,113785.0,181818.0,122843.0,-1.0,78026.0,146000.0,100000.0,83333.0,75000.0,-1.0,80645.0,57895.0,60000.0,-1.0,85714.0
1969,85235.0,90909.0,-1.0,95652.0,149535.0,140431.0,-1.0,66667.0,105455.0,100000.0,133333.0,100000.0,93818.0,-1.0,181818.0,-1.0,-1.0,68792.0,83333.0,25000.0,-1.0,-1.0,100000.0,141509.0,26667.0,92308.0,100000.0,141818.0,68571.0,60606.0,113783.0,181818.0,106310.0,-1.0,83007.0,150000.0,100000.0,83333.0,80000.0,-1.0,80645.0,57895.0,60000.0,-1.0,85714.0
1970,85246.0,96667.0,89677.0,95238.0,150811.0,143763.0,-1.0,70000.0,104545.0,100000.0,130000.0,100000.0,90000.0,-1.0,181818.0,-1.0,-1.0,68807.0,83333.0,25000.0,-1.0,-1.0,100000.0,141304.0,26667.0,92308.0,100000.0,141818.0,62857.0,60000.0,113783.0,181818.0,106157.0,-1.0,106766.0,152174.0,100000.0,83333.0,73684.0,-1.0,80645.0,57895.0,62759.0,-1.0,85714.0
1971,85000.0,99167.0,34336.0,95238.0,150000.0,157717.0,-1.0,68571.0,104000.0,100000.0,157895.0,100000.0,91111.0,-1.0,170455.0,166667.0,-1.0,68423.0,83871.0,25000.0,-1.0,-1.0,100000.0,140000.0,26667.0,92308.0,100000.0,141818.0,68571.0,60000.0,98215.0,178571.0,136497.0,-1.0,107595.0,144928.0,100000.0,100000.0,84211.0,-1.0,80645.0,57895.0,62759.0,-1.0,85714.0
1972,84848.0,97273.0,30000.0,95238.0,152000.0,145555.0,-1.0,70370.0,100000.0,100000.0,160000.0,100000.0,86250.0,-1.0,167683.0,166667.0,-1.0,67380.0,85161.0,25000.0,-1.0,-1.0,100000.0,140000.0,26667.0,94118.0,100000.0,141818.0,68571.0,60606.0,97856.0,178571.0,86072.0,-1.0,133291.0,153333.0,100000.0,100000.0,82353.0,-1.0,80645.0,57895.0,62754.0,-1.0,85714.0
1973,85185.0,93077.0,30000.0,95238.0,153611.0,139059.0,-1.0,69231.0,103448.0,100000.0,175000.0,100000.0,94681.0,-1.0,167197.0,166667.0,-1.0,66708.0,85161.0,25000.0,86000.0,-1.0,100000.0,141772.0,26667.0,94118.0,101613.0,132585.0,68571.0,61481.0,82781.0,178571.0,97225.0,-1.0,114363.0,148121.0,100000.0,95000.0,70588.0,-1.0,80645.0,58333.0,62761.0,-1.0,85714.0
1974,85128.0,97000.0,30000.0,95238.0,155135.0,151031.0,-1.0,69231.0,103226.0,100000.0,181818.0,100000.0,88889.0,-1.0,168196.0,166667.0,-1.0,66469.0,85443.0,25000.0,102889.0,11498.0,100000.0,139241.0,26667.0,94118.0,103226.0,130000.0,71429.0,64286.0,84799.0,185185.0,98873.0,-1.0,137625.0,155055.0,100000.0,95000.0,83333.0,-1.0,80645.0,58333.0,62731.0,-1.0,85714.0
