,Philippines,Panama,Madagascar,Togo,United Republic of Tanzania,Burundi,Thailand,Costa Rica,Senegal,Solomon Islands,Papua New Guinea,Suriname,Benin,Equatorial Guinea,Brazil,Paraguay,Honduras,Colombia,Central African Republic,Gabon,Ecuador,Indonesia,Angola,Venezuela (Bolivarian Republic of),Sao Tome and Principe,Malaysia,Mexico,Melanesia,Nicaragua,Democratic Republic of the Congo,Nigeria,Congo,Dominican Republic,Peru,Gambia,Ghana,Guinea,Guatemala,"China, mainland",Sierra Leone,Guinea-Bissau,Côte d'Ivoire,Cameroon,China,Liberia
1961,1000.0,-1.0,,116000.0,9000.0,6000.0,5500.0,21500.0,70000.0,1000.0,,,300000.0,23000.0,20000.0,67000.0,16123.0,12000.0,25000.0,9000.0,167000.0,935000.0,210000.0,,8500.0,500000.0,253000.0,1000.0,,1580000.0,6750000.0,111000.0,-1.0,,25000.0,500000.0,600000.0,,120000.0,250000.0,150000.0,261627.0,413000.0,120000.0,100000.0
1962,1000.0,-1.0,,116000.0,19000.0,6000.0,5500.0,26500.0,70000.0,1000.0,,,300000.0,24500.0,25000.0,69000.0,17018.0,17000.0,25000.0,9000.0,183000.0,895000.0,210000.0,,8524.0,570000.0,292000.0,1000.0,,1525000.0,6250000.0,115000.0,-1.0,,25000.0,500000.0,600000.0,,120000.0,250000.0,160000.0,302424.0,398000.0,120000.0,110000.0
1963,1000.0,-1.0,,125000.0,15000.0,6000.0,5500.0,46000.0,70000.0,1000.0,,,300000.0,25500.0,27000.0,69000.0,17301.0,19000.0,25000.0,9600.0,183000.0,895000.0,200000.0,,7200.0,662000.0,235000.0,1000.0,,1428000.0,6500000.0,143000.0,-1.0,,25000.0,500000.0,600000.0,,120000.0,250000.0,110000.0,303580.0,536000.0,120000.0,120000.0
1964,1000.0,-1.0,,125000.0,15000.0,6000.0,5500.0,44500.0,70000.0,1000.0,,,300000.0,30500.0,32000.0,91000.0,19084.0,21000.0,25000.0,10400.0,194000.0,932000.0,210000.0,,7000.0,647000.0,257000.0,1000.0,,1297000.0,6500000.0,112000.0,-1.0,,25000.0,500000.0,600000.0,,120000.0,250000.0,100000.0,327339.0,584000.0,120000.0,130000.0
1965,1000.0,-1.0,,125000.0,10000.0,6000.0,5500.0,46000.0,70000.0,1000.0,,,300000.0,30500.0,42000.0,113000.0,21506.0,23000.0,25000.0,15600.0,227000.0,895000.0,170000.0,,7100.0,792000.0,259000.0,1000.0,,987000.0,6750000.0,80000.0,-1.0,,30000.0,550000.0,600000.0,,120000.0,250000.0,100000.0,329300.0,675000.0,120000.0,135000.0
1966,2000.0,-1.0,,125000.0,10000.0,6000.0,5500.0,45500.0,70000.0,1000.0,,,300000.0,28000.0,55000.0,139000.0,23599.0,25000.0,40000.0,14400.0,206000.0,954000.0,180000.0,,7100.0,949000.0,260000.0,1000.0,,1001000.0,6500000.0,61000.0,-1.0,,30000.0,550000.0,600000.0,,180000.0,250000.0,100000.0,318400.0,515000.0,180000.0,140000.0
1967,2000.0,-1.0,,125000.0,10000.0,6000.0,5500.0,47500.0,70000.0,1000.0,,,300000.0,28500.0,49000.0,115000.0,26193.0,85000.0,40000.0,15000.0,250000.0,933000.0,190000.0,,6650.0,1129000.0,232000.0,1000.0,,1180000.0,5250000.0,67000.0,-1.0,,30000.0,600000.0,600000.0,,216000.0,250000.0,110000.0,342225.0,694000.0,216000.0,140000.0
1968,2000.0,-1.0,,125000.0,10000.0,8000.0,5500.0,51000.0,70000.0,1000.0,,,300000.0,30000.0,51000.0,135000.0,29072.0,146000.0,40000.0,17400.0,300000.0,1000000.0,190000.0,,5450.0,1415000.0,252000.0,1000.0,9000.0,1518000.0,5250000.0,76000.0,-1.0,,30000.0,600000.0,600000.0,,264000.0,250000.0,90000.0,351117.0,713000.0,264000.0,140000.0
1969,4000.0,-1.0,,125000.0,10000.0,10000.0,5500.0,60000.0,70000.0,2000.0,,,300000.0,30000.0,58000.0,127000.0,32269.0,150000.0,60000.0,14400.0,200000.0,1200000.0,220000.0,,5160.0,1761000.0,186000.0,2000.0,9000.0,1532000.0,5500000.0,78000.0,-1.0,,30000.0,600000.0,600000.0,,300000.0,250000.0,100000.0,373532.0,643000.0,300000.0,125000.0
1970,7700.0,-1.0,,125000.0,10000.0,11600.0,5500.0,65000.0,70000.0,2000.0,,-1.0,300000.0,30000.0,23000.0,156000.0,35819.0,175000.0,60000.0,13200.0,150000.0,1300000.0,200000.0,,4500.0,2155000.0,140000.0,2000.0,9000.0,1475900.0,5375000.0,78000.0,-1.0,278.0,30000.0,696000.0,600000.0,,336000.0,250000.0,70000.0,480445.0,558000.0,336000.0,130000.0
1971,9600.0,-1.0,,130000.0,40000.0,11900.0,5500.0,70000.0,70000.0,2500.0,5000.0,-1.0,300000.0,30000.0,26000.0,204000.0,32578.0,200000.0,60000.0,14400.0,216000.0,1500000.0,200000.0,,4100.0,2902000.0,149000.0,7500.0,9000.0,1405400.0,5375000.0,78000.0,-1.0,776.0,30000.0,696000.0,600000.0,,384000.0,250000.0,80000.0,537973.0,510000.0,384000.0,180000.0
1972,19000.0,-1.0,,132000.0,40000.0,10700.0,5500.0,70000.0,70000.0,2500.0,25000.0,-1.0,300000.0,31000.0,27000.0,168000.0,37929.0,230000.0,80000.0,14400.0,200000.0,1600000.0,200000.0,,3450.0,3422000.0,110000.0,27500.0,9000.0,1324700.0,5000000.0,78000.0,-1.0,18.0,30000.0,711000.0,600000.0,,444000.0,250000.0,70000.0,677251.0,532000.0,444000.0,150000.0
1973,27000.0,-1.0,2150.0,132000.0,38000.0,12100.0,10500.0,112000.0,70000.0,2500.0,50000.0,-1.0,300000.0,31500.0,30000.0,115000.0,45000.0,244400.0,80000.0,14400.0,166000.0,1750000.0,200000.0,,4450.0,3870000.0,130000.0,52500.0,12000.0,1238100.0,5000000.0,78000.0,-1.0,18.0,30000.0,782000.0,600000.0,,456000.0,250000.0,60000.0,684519.0,553000.0,456000.0,140000.0
1974,27000.0,-1.0,4630.0,135000.0,38000.0,9700.0,10500.0,110000.0,70000.0,5000.0,50000.0,1650.0,300000.0,32000.0,32000.0,166000.0,50557.0,282200.0,80000.0,15000.0,90000.0,2000000.0,200000.0,,4000.0,4981000.0,136000.0,55000.0,12000.0,1174500.0,5375000.0,78000.0,-1.0,18.0,35000.0,916500.0,600000.0,,468000.0,250000.0,100000.0,915233.0,574000.0,468000.0,170000.0
1975,38000.0,-1.0,13500.0,132000.0,40000.0,11600.0,29700.0,110000.0,70000.0,12000.0,100000.0,3225.0,300000.0,31500.0,35000.0,117000.0,50002.0,258000.0,100000.0,12000.0,94512.0,2300000.0,200000.0,,2000.0,6200000.0,104000.0,112000.0,12000.0,1155500.0,5250000.0,78000.0,-1.0,4344.0,35000.0,901300.0,600000.0,,468000.0,250000.0,80000.0,963235.0,630000.0,468000.0,180000.0
1976,42000.0,-1.0,5180.0,131000.0,40000.0,11600.0,37300.0,115000.0,70000.0,21220.0,150000.0,6650.0,300000.0,34000.0,45000.0,124000.0,47656.0,244800.0,100000.0,12000.0,111587.0,2300000.0,190000.0,,2150.0,6500000.0,149000.0,171220.0,12000.0,1117000.0,5250000.0,78000.0,-1.0,4118.0,40000.0,901000.0,600000.0,,492000.0,250000.0,80000.0,968570.0,500000.0,492000.0,170000.0
1977,42000.0,-1.0,11450.0,130000.0,40000.0,11500.0,45900.0,115000.0,70000.0,32085.0,150000.0,10106.0,300000.0,35000.0,60000.0,174000.0,50600.0,263700.0,90000.0,9600.0,124801.0,2400000.0,170000.0,,1700.0,7500000.0,138000.0,182085.0,12000.0,1103800.0,5375000.0,83000.0,-1.0,17959.0,40000.0,739000.0,600000.0,,480000.0,250000.0,110000.0,854824.0,500000.0,480000.0,140000.0
1978,38000.0,-1.0,11500.0,130000.0,43000.0,16000.0,58300.0,148000.0,70000.0,47616.0,150000.0,14844.0,300000.0,36000.0,75000.0,100000.0,56745.0,302200.0,80000.0,8400.0,162100.0,2500000.0,190000.0,,1700.0,9900000.0,84000.0,197616.0,18000.0,1088800.0,5000000.0,83000.0,-1.0,21954.0,35000.0,935000.0,600000.0,,504000.0,250000.0,130000.0,924407.0,560000.0,504000.0,125000.0
1979,42000.0,-1.0,11500.0,135000.0,43000.0,11900.0,78300.0,154000.0,70000.0,55908.0,175000.0,24759.0,300000.0,36000.0,80000.0,156000.0,61871.0,359000.0,70000.0,9600.0,164712.0,3300000.0,200000.0,,1200.0,10700000.0,75100.0,230908.0,18000.0,1064000.0,5750000.0,83000.0,-1.0,24053.0,35000.0,1012000.0,600000.0,,516000.0,250000.0,110000.0,849319.0,580000.0,516000.0,110000.0
1980,43750.0,-1.0,12300.0,140000.0,44000.0,12000.0,107400.0,156500.0,70000.0,64768.0,175000.0,21026.0,300000.0,37000.0,60000.0,157000.0,60918.0,381000.0,70000.0,12000.0,244930.0,3400000.0,200000.0,19023.0,800.0,12800000.0,84000.0,239768.0,18000.0,1044000.0,5750000.0,83000.0,-1.0,60000.0,35000.0,914000.0,600000.0,,480000.0,250000.0,100000.0,1083260.0,658000.0,480000.0,110000.0
1981,44600.0,-1.0,12000.0,140000.0,44000.0,12000.0,152800.0,186500.0,70000.0,82968.0,210928.0,24653.0,300000.0,37000.0,70000.0,110000.0,85685.0,415000.0,70000.0,12000.0,300000.0,3800000.0,190000.0,13080.0,1000.0,14400000.0,50000.0,293896.0,18000.0,1081000.0,5000000.0,83000.0,-1.0,62000.0,35000.0,890000.0,600000.0,,492000.0,250000.0,100000.0,914833.0,540000.0,492000.0,100000.0
1982,105000.0,-1.0,15000.0,142000.0,44000.0,12000.0,254000.0,199000.0,70000.0,89416.0,357547.0,28188.0,300000.0,38000.0,80000.0,220000.0,156000.0,479400.0,70000.0,12000.0,309288.0,4300000.0,190000.0,18624.0,800.0,17900000.0,40000.0,446963.0,18000.0,1026000.0,5000000.0,83000.0,-1.0,64000.0,35000.0,889400.0,600000.0,,540000.0,250000.0,100000.0,991036.0,610000.0,540000.0,120000.0
1983,75000.0,-1.0,15000.0,115000.0,44000.0,12000.0,303300.0,215000.0,70000.0,87117.0,400890.0,31235.0,300000.0,39000.0,90000.0,100000.0,171000.0,580400.0,75000.0,16000.0,354225.0,4600000.0,200000.0,23932.0,1500.0,15400000.0,40000.0,488007.0,19000.0,994000.0,4750000.0,85000.0,-1.0,70000.0,35000.0,889400.0,600000.0,14920.0,564000.0,250000.0,75000.0,969403.0,500000.0,564000.0,120000.0
1984,120000.0,-1.0,15000.0,115000.0,44000.0,12000.0,393700.0,224150.0,70000.0,87215.0,481380.0,33894.0,300000.0,41000.0,115000.0,180000.0,259000.0,644600.0,75000.0,18000.0,372473.0,6280000.0,190000.0,25417.0,1500.0,19500000.0,20000.0,568595.0,20000.0,1033000.0,5500000.0,85000.0,-1.0,80000.0,35000.0,768000.0,600000.0,14920.0,552000.0,250000.0,100000.0,956079.0,660000.0,552000.0,127000.0
1985,125100.0,-1.0,15500.0,115000.0,45000.0,13000.0,609530.0,176047.0,70000.0,92251.0,560747.0,38212.0,265000.0,39000.0,145000.0,170000.0,311660.0,734400.0,80000.0,17000.0,457895.0,6550000.0,180000.0,22248.0,1500.0,21400000.0,20000.0,652998.0,20000.0,1038000.0,5700000.0,85000.0,-1.0,48699.0,35000.0,643000.0,600000.0,23500.0,720000.0,250000.0,70000.0,909667.0,700000.0,720000.0,127000.0
1986,136000.0,-1.0,16000.0,120000.0,46000.0,13000.0,694716.0,225450.0,70000.0,68727.0,558404.0,30296.0,200000.0,40000.0,155000.0,190000.0,329912.0,750000.0,80000.0,25000.0,657740.0,7725000.0,190000.0,23973.0,1000.0,23100000.0,20000.0,627131.0,20500.0,1010000.0,5900000.0,87000.0,-1.0,51068.0,35000.0,640000.0,600000.0,44000.0,720000.0,250000.0,115000.0,1138703.0,730000.0,720000.0,110000.0
1987,139000.0,-1.0,17000.0,120000.0,47000.0,13300.0,728315.0,235796.0,70000.0,54124.0,539748.0,19900.0,200000.0,40000.0,195000.0,170000.0,297666.0,859000.0,80000.0,26000.0,687661.0,8859147.0,200000.0,24738.0,1500.0,22800000.0,30000.0,593872.0,21000.0,956000.0,6100000.0,87000.0,-1.0,114190.0,35000.0,640000.0,600000.0,52800.0,670000.0,250000.0,100000.0,1189304.0,720000.0,670000.0,100000.0
1988,153000.0,-1.0,18500.0,120000.0,48000.0,13600.0,885104.0,303548.0,60000.0,70303.0,498560.0,11609.0,200000.0,40000.0,230000.0,170000.0,314364.0,1222000.0,80000.0,23000.0,674147.0,10785847.0,210000.0,19060.0,600.0,25300000.0,20000.0,568863.0,21500.0,1029000.0,6000000.0,88000.0,-1.0,103606.0,35000.0,700000.0,610000.0,38700.0,640000.0,250000.0,100000.0,1051066.0,723000.0,640000.0,95000.0
1989,150000.0,-1.0,20000.0,120000.0,49000.0,10300.0,1098130.0,251637.0,50000.0,97600.0,581744.0,13953.0,170000.0,40000.0,268000.0,170000.0,335248.0,1244444.0,80000.0,12500.0,903170.0,10232890.0,210000.0,25595.0,1825.0,30600000.0,20000.0,679344.0,22000.0,1020000.0,6100000.0,88000.0,15000.0,134860.0,35000.0,860000.0,630000.0,41500.0,610000.0,250000.0,100000.0,1044213.0,1060000.0,610000.0,90000.0
1990,161000.0,-1.0,22000.0,120000.0,50000.0,14200.0,1191769.0,332600.0,60000.0,98000.0,659634.0,7695.0,170000.0,40000.0,328000.0,170000.0,345184.0,1399784.0,80000.0,23000.0,835697.0,11151795.0,220000.0,21915.0,1750.0,31000000.0,25414.0,757634.0,23000.0,1025410.0,6200000.0,88000.0,50000.0,115800.0,35000.0,850000.0,660000.0,54000.0,530000.0,250000.0,70000.0,1286430.0,1050000.0,530000.0,85000.0
1991,185000.0,-1.0,22500.0,120000.0,51500.0,14500.0,1315990.0,359389.0,40000.0,100000.0,771115.0,7814.0,130000.0,40000.0,331000.0,170000.0,343273.0,1615866.0,70000.0,34000.0,872741.0,12153216.0,230000.0,34207.0,4708.0,31500000.0,17250.0,871115.0,23500.0,1030840.0,6500000.0,85000.0,70000.0,106100.0,35000.0,850000.0,690000.0,66670.0,560000.0,250000.0,70000.0,1359131.0,930000.0,560000.0,127000.0
1992,193000.0,-1.0,23500.0,120000.0,52000.0,14900.0,1351917.0,356890.0,40000.0,135000.0,892104.0,10640.0,130000.0,39000.0,306000.0,170000.0,403000.0,1691644.0,60000.0,32800.0,902063.0,13244564.0,240000.0,60272.0,5700.0,33200000.0,17350.0,1027104.0,24500.0,1036000.0,6800000.0,81000.0,90000.0,99800.0,35000.0,870000.0,640000.0,100000.0,575000.0,235000.0,70000.0,1480940.0,930000.0,575000.0,127000.0
