,Burundi,"China, Taiwan Province of",Mozambique,Belize,Myanmar,Zambia,Philippines,Viet Nam,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Liberia,Zimbabwe,Malawi,Melanesia,Papua New Guinea,New Caledonia,Rwanda,Guatemala,French Polynesia,Mauritius,Madagascar,Saint Lucia,Vanuatu,Uganda,Guinea,Saudi Arabia,Dominica,Fiji,Cabo Verde,Equatorial Guinea,Sri Lanka,Comoros,Central African Republic,China,Colombia,United Republic of Tanzania,Saint Vincent and the Grenadines,Brazil,Kenya,"China, mainland",Nicaragua,Haiti,Costa Rica,Bolivia (Plurinational State of),Peru,Yemen,Cameroon,Malaysia,Cuba,Dominican Republic,El Salvador,Benin,Cook Islands,Martinique,Sao Tome and Principe,Venezuela (Bolivarian Republic of),Guyana,Tonga,United States of America,Democratic Republic of the Congo,Togo,Nigeria,Suriname,Cambodia,Timor-Leste,Paraguay,India,Guadeloupe,Ethiopia PDR,Congo,Gabon,Ecuador,Honduras,Puerto Rico,Mexico,Côte d'Ivoire,Jamaica,Trinidad and Tobago,Polynesia,Panama,Sierra Leone,Samoa,Thailand,Ghana,Angola
1961,7778.0,9739.0,7143.0,-1.0,6689.0,-1.0,8282.0,1934.0,5000.0,-1.0,-1.0,5665.0,4857.0,-1.0,4175.0,4357.0,5040.0,3750.0,5833.0,4374.0,869.0,-1.0,3333.0,10000.0,4800.0,3839.0,2778.0,3030.0,-1.0,-1.0,5200.0,5500.0,11634.0,5000.0,2485.0,5175.0,5409.0,3882.0,3333.0,5084.0,6748.0,5000.0,2762.0,5715.0,8462.0,7333.0,4827.0,4532.0,4470.0,3391.0,2176.0,2414.0,9699.0,4180.0,-1.0,16000.0,3686.0,1678.0,7325.0,-1.0,15500.0,3000.0,5150.0,1833.0,1925.0,12000.0,5000.0,12000.0,4500.0,16667.0,3138.0,2250.0,2750.0,3567.0,2767.0,2520.0,4120.0,4684.0,3395.0,2885.0,1538.0,2632.0,6379.0,5693.0,600.0,5667.0,4817.0
1962,8667.0,10182.0,7143.0,-1.0,7294.0,-1.0,8620.0,1647.0,7500.0,-1.0,-1.0,5646.0,5363.0,-1.0,4950.0,5662.0,8280.0,3542.0,5817.0,5073.0,1290.0,-1.0,4384.0,10000.0,5000.0,4676.0,2889.0,3030.0,-1.0,500.0,2200.0,6750.0,10913.0,5000.0,1758.0,5082.0,5851.0,3889.0,3333.0,4908.0,7042.0,5000.0,3506.0,5310.0,7289.0,7333.0,4850.0,4529.0,4500.0,3370.0,2748.0,3065.0,7680.0,3460.0,-1.0,16000.0,4243.0,1595.0,7338.0,-1.0,24500.0,3667.0,5524.0,3333.0,1837.0,12500.0,5064.0,10300.0,4000.0,16667.0,2245.0,3250.0,3571.0,3513.0,3475.0,2844.0,4446.0,2110.0,3029.0,3900.0,1764.0,2316.0,3024.0,6436.0,600.0,6533.0,3700.0
1963,2687.0,9767.0,7143.0,-1.0,6766.0,-1.0,7833.0,1800.0,6667.0,-1.0,-1.0,5675.0,5243.0,-1.0,4600.0,6225.0,8800.0,3750.0,2678.0,4443.0,659.0,-1.0,3626.0,10000.0,5000.0,6197.0,2795.0,3030.0,-1.0,500.0,4000.0,5583.0,15304.0,5000.0,4200.0,5051.0,5556.0,4090.0,3333.0,3851.0,6940.0,5000.0,3082.0,5830.0,7425.0,6900.0,4825.0,4560.0,3573.0,3764.0,2041.0,2986.0,9438.0,2004.0,-1.0,16000.0,3686.0,1785.0,4817.0,-1.0,12000.0,3667.0,5111.0,3333.0,2935.0,12500.0,4906.0,11900.0,4763.0,15000.0,2330.0,3750.0,2750.0,2709.0,3485.0,2268.0,4246.0,3772.0,3091.0,3625.0,1188.0,2368.0,4948.0,6500.0,600.0,6625.0,3366.0
1964,7203.0,8070.0,7143.0,-1.0,3449.0,-1.0,9366.0,2200.0,5833.0,-1.0,-1.0,5656.0,5000.0,-1.0,4433.0,7031.0,9375.0,4062.0,4574.0,4439.0,2000.0,-1.0,4063.0,10000.0,5000.0,6603.0,2571.0,3030.0,-1.0,500.0,3900.0,6863.0,22549.0,3333.0,2714.0,5038.0,5756.0,4360.0,3333.0,2819.0,5060.0,5000.0,4472.0,5143.0,5615.0,6900.0,4933.0,4589.0,3940.0,4020.0,1884.0,3465.0,9326.0,2130.0,1930.0,16000.0,3283.0,1929.0,8229.0,-1.0,22814.0,3167.0,5750.0,5000.0,3094.0,8750.0,5060.0,10286.0,5775.0,20000.0,2826.0,3750.0,2750.0,2866.0,3399.0,2700.0,4478.0,4655.0,3072.0,4181.0,2633.0,2389.0,7536.0,6000.0,600.0,7444.0,3964.0
1965,4740.0,9625.0,7143.0,-1.0,5520.0,-1.0,9958.0,3289.0,5833.0,-1.0,-1.0,5651.0,3541.0,-1.0,4267.0,7531.0,10267.0,3667.0,5347.0,5321.0,1780.0,-1.0,3725.0,10000.0,5000.0,5186.0,2824.0,3030.0,-1.0,417.0,4500.0,5795.0,17919.0,3333.0,4222.0,5073.0,6059.0,4991.0,3333.0,6534.0,4735.0,5000.0,3424.0,5246.0,6789.0,6901.0,5208.0,4516.0,4631.0,4091.0,1493.0,2871.0,8149.0,1782.0,1235.0,16000.0,3567.0,1600.0,8323.0,-1.0,17698.0,3250.0,5400.0,5000.0,3545.0,9091.0,5011.0,8024.0,4992.0,10000.0,2310.0,6750.0,2750.0,3988.0,3992.0,2159.0,4632.0,3443.0,3391.0,4198.0,2996.0,2048.0,4921.0,6750.0,600.0,4110.0,4100.0
1966,5211.0,4615.0,7143.0,-1.0,4381.0,-1.0,9358.0,2838.0,5833.0,-1.0,-1.0,5688.0,6855.0,9811.0,4150.0,7830.0,9750.0,3540.0,4555.0,4481.0,3460.0,-1.0,4010.0,10000.0,5000.0,4590.0,2889.0,3030.0,-1.0,833.0,4417.0,5333.0,16679.0,4500.0,3453.0,4995.0,6067.0,4956.0,3333.0,3934.0,6667.0,5000.0,2648.0,5090.0,7766.0,6644.0,5039.0,4508.0,3956.0,4047.0,1909.0,2969.0,9051.0,2082.0,1089.0,16000.0,2633.0,2013.0,8026.0,-1.0,19492.0,3000.0,3950.0,6667.0,3462.0,10667.0,4971.0,9300.0,5112.0,15000.0,2310.0,2022.0,2250.0,2628.0,3612.0,2045.0,5170.0,4432.0,2908.0,2920.0,4170.0,2381.0,11991.0,7500.0,600.0,4262.0,4514.0
1967,6672.0,8354.0,7143.0,-1.0,5095.0,-1.0,8842.0,3043.0,5833.0,-1.0,-1.0,5442.0,6181.0,9538.0,3775.0,8484.0,9825.0,3843.0,5678.0,4319.0,2520.0,-1.0,4055.0,10000.0,5000.0,4952.0,2889.0,3030.0,-1.0,500.0,4481.0,5800.0,25775.0,4500.0,3045.0,5037.0,5623.0,4066.0,3333.0,5400.0,5621.0,5000.0,3377.0,5267.0,8446.0,7873.0,5206.0,4604.0,3883.0,4024.0,1957.0,2827.0,10493.0,2172.0,3000.0,20000.0,2917.0,2040.0,10246.0,-1.0,13941.0,3209.0,4200.0,2853.0,4327.0,10825.0,5002.0,8505.0,6230.0,15000.0,2549.0,2044.0,2250.0,2963.0,3693.0,2340.0,5791.0,2069.0,3111.0,3117.0,3892.0,2460.0,3750.0,7500.0,600.0,1543.0,4704.0
1968,5703.0,5000.0,7143.0,-1.0,4961.0,-1.0,8883.0,3333.0,5738.0,-1.0,-1.0,5660.0,5207.0,12848.0,3625.0,7161.0,8002.0,2900.0,5607.0,4742.0,3800.0,-1.0,3914.0,10000.0,4800.0,5269.0,3021.0,3030.0,-1.0,400.0,4556.0,5000.0,22583.0,4500.0,3277.0,5000.0,5882.0,5554.0,3333.0,4033.0,4660.0,5000.0,3461.0,5030.0,7540.0,7910.0,5598.0,4604.0,3800.0,4235.0,1720.0,3011.0,10492.0,1022.0,1000.0,20870.0,2660.0,1588.0,10301.0,-1.0,15969.0,4019.0,4780.0,3933.0,4029.0,11745.0,5115.0,9175.0,4479.0,15000.0,2617.0,1978.0,3000.0,3163.0,3771.0,1872.0,5545.0,4434.0,3081.0,4586.0,4375.0,2250.0,5164.0,7500.0,900.0,2244.0,3960.0
1969,5018.0,6486.0,7143.0,-1.0,4473.0,6000.0,8496.0,3824.0,5656.0,-1.0,-1.0,6502.0,3551.0,9422.0,2319.0,9886.0,10746.0,5400.0,5337.0,5008.0,2900.0,-1.0,3521.0,10000.0,5625.0,8791.0,3125.0,3636.0,-1.0,440.0,6267.0,4800.0,24916.0,4500.0,4505.0,5015.0,5852.0,4773.0,3333.0,4992.0,6166.0,5000.0,3896.0,5000.0,8995.0,8313.0,5750.0,4513.0,3805.0,3979.0,1862.0,3111.0,12983.0,4536.0,990.0,21429.0,3020.0,2129.0,5407.0,-1.0,12760.0,4000.0,3941.0,7960.0,2508.0,15862.0,5025.0,7613.0,5737.0,15000.0,2683.0,2222.0,3000.0,2068.0,3847.0,1780.0,5609.0,3223.0,2483.0,3191.0,3808.0,2447.0,10321.0,7500.0,1200.0,1741.0,4300.0
1970,7375.0,4675.0,7143.0,-1.0,4185.0,7000.0,9081.0,3925.0,5316.0,-1.0,-1.0,6069.0,3548.0,9318.0,3757.0,10578.0,11778.0,2600.0,5950.0,5634.0,2040.0,-1.0,3629.0,10000.0,4615.0,8201.0,3194.0,3636.0,-1.0,440.0,5182.0,4800.0,17639.0,4500.0,4102.0,4997.0,6108.0,4233.0,3333.0,3141.0,6860.0,5000.0,4688.0,5435.0,7704.0,8358.0,5762.0,4538.0,4227.0,3597.0,1519.0,3124.0,10791.0,3880.0,990.0,21429.0,2500.0,2111.0,5557.0,-1.0,14273.0,3496.0,3652.0,5002.0,2771.0,13636.0,4906.0,5388.0,4970.0,15000.0,2749.0,2204.0,2250.0,3354.0,3919.0,3019.0,5639.0,4288.0,2777.0,2302.0,3271.0,2112.0,7735.0,7500.0,2000.0,2237.0,4080.0
