,Kenya,Peru,"China, Taiwan Province of",Zambia,Israel,Philippines,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,Zimbabwe,Australia,Austria,Spain,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Slovenia,Senegal,Czechia,Argentina,Costa Rica,"China, mainland",Germany,Belgium,Morocco,Finland,Switzerland,Mexico,Slovakia,Ecuador,Jordan,China,Tunisia,Colombia,South Africa,Hungary,Chile,Greece,Réunion,France,Thailand,Lithuania,Poland,Netherlands,Turkey,Italy,Belgium-Luxembourg
1961,-1.0,5000.0,-1.0,-1,-1.0,-1.0,1016.0,5000.0,3152.0,-1.0,8000.0,-1.0,5262.0,150.0,15000.0,1000.0,-1.0,6262.0,167465.0,-1.0,-1.0,-1,-1.0,1000.0,-1.0,1320000.0,16300.0,-1.0,28000.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1,1320000.0,-1.0,-1.0,-1.0,538.0,-1.0,-1.0,-1.0,68480.0,-1.0,-1.0,-1.0,5623.0,15.0,30700.0,9000.0
1962,-1.0,5000.0,-1.0,-1,-1.0,-1.0,1016.0,4000.0,3262.0,-1.0,9000.0,-1.0,5591.0,171.0,20000.0,976.0,-1.0,6567.0,168780.0,-1.0,-1.0,-1,-1.0,1350.0,-1.0,1010000.0,16100.0,-1.0,20000.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1,1010000.0,-1.0,-1.0,-1.0,546.0,-1.0,-1.0,-1.0,67090.0,-1.0,-1.0,-1.0,4345.0,15.0,32300.0,5064.0
1963,-1.0,5000.0,-1.0,-1,-1.0,-1.0,1016.0,4000.0,2950.0,-1.0,10500.0,-1.0,6296.0,134.0,23000.0,2100.0,-1.0,8396.0,170368.0,-1.0,-1.0,-1,-1.0,1250.0,-1.0,905000.0,18700.0,-1.0,23000.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1,905000.0,-1.0,-1.0,-1.0,718.0,-1.0,-1.0,-1.0,70540.0,-1.0,-1.0,-1.0,5456.0,15.0,31200.0,4800.0
1964,-1.0,5000.0,616.0,-1,-1.0,-1.0,1016.0,4000.0,2602.0,-1.0,10900.0,-1.0,5477.0,144.0,27000.0,2100.0,-1.0,7577.0,159800.0,-1.0,-1.0,-1,-1.0,1400.0,-1.0,810000.0,21200.0,-1.0,36000.0,-1.0,-1.0,5100.0,-1.0,-1.0,-1,810616.0,-1.0,-1.0,-1.0,521.0,-1.0,-1.0,-1.0,69100.0,-1.0,-1.0,-1.0,7027.0,15.0,33310.0,5240.0
1965,-1.0,5000.0,16776.0,-1,-1.0,-1.0,1016.0,2136.0,2641.0,-1.0,11500.0,-1.0,6053.0,139.0,27000.0,2000.0,-1.0,8053.0,148778.0,-1.0,-1.0,-1,-1.0,1450.0,-1.0,850000.0,16000.0,-1.0,25000.0,-1.0,-1.0,5100.0,-1.0,-1.0,-1,866776.0,-1.0,-1.0,-1.0,585.0,-1.0,-1.0,-1.0,65340.0,-1.0,-1.0,-1.0,7207.0,15.0,31700.0,3406.0
1966,-1.0,5313.0,44120.0,-1,-1.0,-1.0,1016.0,1832.0,2465.0,-1.0,13400.0,-1.0,5869.0,166.0,30800.0,1569.0,-1.0,7438.0,150547.0,-1.0,-1.0,-1,-1.0,1700.0,-1.0,830000.0,22493.0,-1.0,15938.0,-1.0,-1.0,5200.0,-1.0,-1.0,-1,874120.0,-1.0,-1.0,-1.0,809.0,-1.0,-1.0,-1.0,68490.0,-1.0,-1.0,-1.0,7679.0,15.0,34700.0,2950.0
1967,-1.0,5635.0,31010.0,-1,-1.0,-1.0,711.0,1522.0,2276.0,-1.0,15800.0,-1.0,7546.0,138.0,25800.0,1749.0,-1.0,9295.0,138254.0,-1.0,-1.0,-1,-1.0,4020.0,-1.0,840000.0,17753.0,-1.0,15000.0,-1.0,-1.0,5300.0,-1.0,-1.0,-1,871010.0,-1.0,-1.0,-1.0,1087.0,-1.0,-1.0,-1.0,62060.0,-1.0,-1.0,-1.0,7051.0,15.0,37000.0,2343.0
1968,-1.0,4084.0,51583.0,-1,-1.0,-1.0,813.0,1309.0,2231.0,-1.0,16500.0,-1.0,6370.0,212.0,32300.0,1791.0,-1.0,8161.0,145240.0,-1.0,-1.0,-1,-1.0,3150.0,-1.0,905000.0,16510.0,-1.0,15000.0,-1.0,-1.0,5500.0,-1.0,-1.0,-1,956583.0,-1.0,-1.0,-1.0,1009.0,-1.0,-1.0,-1.0,65400.0,-1.0,-1.0,-1.0,9939.0,15.0,42300.0,2500.0
1969,-1.0,3930.0,67679.0,-1,-1.0,-1.0,610.0,1183.0,2344.0,-1.0,15800.0,-1.0,5284.0,161.0,34200.0,1992.0,-1.0,7276.0,127686.0,-1.0,-1.0,-1,-1.0,3270.0,-1.0,975000.0,16084.0,-1.0,12000.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1,1042679.0,-1.0,-1.0,-1.0,1034.0,-1.0,108.0,-1.0,71125.0,-1.0,-1.0,-1.0,9375.0,15.0,42484.0,1300.0
1970,-1.0,4836.0,112331.0,-1,-1.0,-1.0,610.0,1438.0,2626.0,-1.0,16000.0,-1.0,5277.0,160.0,35000.0,1873.0,-1.0,7150.0,124965.0,-1.0,-1.0,-1,-1.0,3155.0,-1.0,650000.0,17468.0,-1.0,12000.0,-1.0,-1.0,6500.0,-1.0,-1.0,-1,762331.0,-1.0,-1.0,-1.0,1144.0,-1.0,630.0,-1.0,65010.0,-1.0,-1.0,-1.0,9454.0,15.0,42080.0,1000.0
1971,-1.0,2446.0,127517.0,-1,-1.0,-1.0,711.0,1119.0,2583.0,-1.0,17000.0,-1.0,6711.0,160.0,30300.0,1769.0,-1.0,8480.0,126597.0,-1.0,-1.0,-1,-1.0,3421.0,-1.0,750000.0,21542.0,-1.0,11000.0,-1.0,-1.0,6654.0,-1.0,-1.0,-1,877517.0,-1.0,-1.0,-1.0,943.0,-1.0,1171.0,-1.0,61350.0,-1.0,-1.0,-1.0,8663.0,15.0,49270.0,1000.0
