,USSR,Bahrain,Australia & New Zealand,Australia,Pakistan,Thailand,Ethiopia,South Africa,Lebanon,Yemen,Tunisia,Albania,Brazil,Paraguay,Serbia,Slovenia,Montenegro,Argentina,Colombia,Spain,India,Malta,Ecuador,Madagascar,Republic of Moldova,Canada,Turkey,Switzerland,Belgium-Luxembourg,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Tajikistan,France,Republic of Korea,Egypt,New Zealand,Hungary,Kyrgyzstan,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",Cyprus,Kazakhstan,Uruguay,Lithuania,Portugal,Netherlands,Guatemala,Cuba,Slovakia,Romania,Turkmenistan,Philippines,Iraq,Czechia,United Republic of Tanzania,Belgium,Luxembourg,Libya,Italy,Qatar,Germany,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Honduras,Zimbabwe,Syrian Arab Republic,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Afghanistan,United Arab Emirates,Namibia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Viet Nam,Bosnia and Herzegovina,Russian Federation,Austria,Venezuela (Bolivarian Republic of),Mexico,Ukraine,Kuwait,Bolivia (Plurinational State of),Czechoslovakia,Croatia,Bulgaria,China
1961,491000.0,25.0,49765.0,49288.0,2600.0,100.0,,67000.0,24200.0,3400.0,45769.0,10200.0,64876.0,1000.0,,,,239000.0,400.0,1742000.0,4400.0,998.0,200.0,300.0,,9235.0,775000.0,12189.0,1586.0,,,,247130.0,,1418000.0,820.0,9000.0,477.0,204372.0,,272000.0,102000.0,7690.0,206950.0,10000.0,35000.0,,20000.0,,225000.0,375.0,100.0,-1.0,,306300.0,,,15000.0,,,,,3155.0,1690700.0,,66265.0,,-1.0,,,76000.0,21000.0,101000.0,-1.0,,69425.0,349000.0,201.0,12000.0,20.0,17500.0,,50000.0,,-1.0,550.0,,,,-1.0,,,36000.0,,12176.0,,,1000.0,20241.0,,182000.0,10201.0
1962,580000.0,25.0,49916.0,49416.0,2200.0,100.0,,67000.0,24500.0,3400.0,45522.0,11100.0,69550.0,1300.0,,,,245000.0,450.0,1640000.0,4600.0,800.0,140.0,300.0,,10000.0,802040.0,12156.0,1574.0,,,,243760.0,,1414000.0,1143.0,8201.0,500.0,219039.0,,270000.0,102000.0,8050.0,214400.0,12000.0,35786.0,,20000.0,,240000.0,345.0,100.0,-1.0,,300900.0,,,15000.0,,,,,2760.0,1685000.0,,67137.0,,-1.0,,,78000.0,19730.0,102000.0,-1.0,,69624.0,346000.0,226.0,12000.0,20.0,19400.0,,50000.0,,-1.0,550.0,,,,-1.0,,,36000.0,,11872.0,,,1200.0,20002.0,,185000.0,12226.0
1963,656000.0,32.0,49868.0,49364.0,2600.0,100.0,,75000.0,25000.0,3500.0,45613.0,11900.0,70563.0,1400.0,,,,253000.0,450.0,1660000.0,5000.0,894.0,140.0,300.0,,11560.0,794090.0,12174.0,1545.0,,,,239170.0,,1408000.0,975.0,8447.0,504.0,229312.0,,266000.0,105000.0,7900.0,217520.0,12000.0,36121.0,,20000.0,,245000.0,301.0,200.0,-1.0,,303400.0,,,15000.0,,,,,2900.0,1663400.0,,68354.0,,-1.0,,,78000.0,19320.0,101000.0,-1.0,,70477.0,346000.0,252.0,12000.0,20.0,20900.0,,50000.0,,-1.0,550.0,,,,-1.0,,,40000.0,,13101.0,,,1220.0,20320.0,,189000.0,12252.0
1964,734000.0,32.0,50698.0,50144.0,2400.0,100.0,,75000.0,23847.0,3500.0,45613.0,12519.0,67575.0,1450.0,,,,261000.0,500.0,1678000.0,5600.0,888.0,149.0,300.0,,12950.0,800000.0,11854.0,1554.0,,,,234830.0,,1401000.0,2080.0,8770.0,554.0,242614.0,,263000.0,107000.0,8320.0,219420.0,13000.0,36121.0,,20000.0,,250000.0,257.0,200.0,-1.0,,312700.0,,,15000.0,,,,,2700.0,1650200.0,,68623.0,,-1.0,,,78000.0,19450.0,103000.0,-1.0,50.0,69811.0,351410.0,428.0,12000.0,20.0,21700.0,,52500.0,,-1.0,550.0,,,,-1.0,,,40000.0,,13370.0,,,1240.0,20307.0,,190000.0,13428.0
1965,765000.0,32.0,51357.0,50703.0,2600.0,100.0,,85000.0,18100.0,3600.0,44880.0,12600.0,68979.0,1500.0,,,,267000.0,550.0,1688000.0,6200.0,850.0,126.0,300.0,,13650.0,800000.0,11849.0,1576.0,,,,234410.0,,1396000.0,3434.0,8653.0,654.0,246560.0,,261000.0,110000.0,7920.0,221200.0,15000.0,36121.0,,20000.0,,250000.0,244.0,200.0,-1.0,,312400.0,,,15000.0,,,,,2500.0,1555000.0,,68816.0,,-1.0,,,77000.0,19800.0,103000.0,-1.0,50.0,70190.0,345714.0,386.0,11600.0,20.0,22600.0,,55000.0,,-1.0,600.0,,,,-1.0,,,45428.0,,13731.0,,,1140.0,20678.0,,191534.0,15386.0
1966,778000.0,13.0,52009.0,51483.0,2600.0,100.0,,85000.0,18664.0,3800.0,49598.0,12600.0,67250.0,1500.0,,,,271000.0,600.0,1537100.0,6800.0,850.0,120.0,300.0,,13270.0,830000.0,11902.0,1570.0,,,,233040.0,,1383773.0,3813.0,10403.0,526.0,244900.0,,259000.0,115000.0,7666.0,221240.0,17000.0,33846.0,,18000.0,,255000.0,230.0,300.0,-1.0,,326200.0,,,16500.0,,,,,2666.0,1535300.0,,69166.0,,-1.0,,,75000.0,19791.0,119000.0,-1.0,50.0,70170.0,335240.0,454.0,11400.0,20.0,22900.0,,60000.0,,-1.0,600.0,,,,-1.0,,,45428.0,130.0,14501.0,,,1150.0,21267.0,,194165.0,17454.0
1967,792000.0,13.0,52065.0,51488.0,2600.0,100.0,,90116.0,15223.0,4000.0,46040.0,12500.0,64515.0,1700.0,,,,276000.0,650.0,1576400.0,7100.0,850.0,131.0,300.0,,14520.0,840000.0,11945.0,1590.0,,,,231550.0,,1379811.0,4314.0,10821.0,577.0,239700.0,,257000.0,115000.0,7742.0,220000.0,17000.0,34114.0,,18000.0,,255000.0,213.0,300.0,-1.0,,333700.0,,,16500.0,,,,,2666.0,1482900.0,,69460.0,,-1.0,,,74000.0,17891.0,109000.0,-1.0,50.0,68598.0,313670.0,487.0,11000.0,20.0,23100.0,,66200.0,,-1.0,600.0,,,,-1.0,,,45978.0,165.0,14796.0,,,1450.0,21178.0,,200442.0,17487.0
1968,791000.0,13.0,52407.0,51736.0,2300.0,100.0,,93800.0,15344.0,4200.0,41554.0,12600.0,72559.0,1600.0,,,,291000.0,700.0,1585800.0,7400.0,809.0,149.0,300.0,,13160.0,848000.0,11990.0,1569.0,,,,226670.0,,1363009.0,4520.0,10920.0,671.0,236141.0,,256000.0,110000.0,8445.0,219130.0,17000.0,40000.0,,18000.0,,255000.0,205.0,300.0,-1.0,,342803.0,,,16500.0,,,,,2639.0,1392800.0,,70214.0,,-1.0,,,67000.0,6783.0,114000.0,-1.0,50.0,67708.0,305000.0,563.0,10800.0,20.0,23100.0,,70000.0,,-1.0,650.0,,,,-1.0,,,45978.0,184.0,14894.0,,15.0,1980.0,22093.0,,202772.0,17563.0
1969,795000.0,16.0,52283.0,51555.0,2400.0,200.0,,99178.0,16556.0,4400.0,46000.0,12600.0,59744.0,1700.0,,,,294167.0,750.0,1575000.0,7800.0,809.0,156.0,285.0,,13450.0,838000.0,12073.0,1529.0,1000.0,,,223640.0,,1258400.0,5223.0,12600.0,728.0,233502.0,,255907.0,118000.0,11009.0,219820.0,18000.0,45000.0,,18000.0,,255000.0,190.0,400.0,-1.0,,346744.0,,,17000.0,,81.0,,,2531.0,1326900.0,,71336.0,,-1.0,,,61000.0,4138.0,100000.0,-1.0,50.0,69137.0,308140.0,703.0,10500.0,20.0,23300.0,,70000.0,,-1.0,650.0,,,,-1.0,,,46473.0,298.0,17160.0,,20.0,2100.0,23190.0,,169900.0,18703.0
1970,813000.0,16.0,53511.0,52043.0,2300.0,200.0,,100167.0,16855.0,4000.0,33867.0,12358.0,66197.0,1600.0,,,,294700.0,800.0,1528500.0,8000.0,810.0,160.0,290.0,,15640.0,845000.0,12138.0,1497.0,1000.0,,,221300.0,,1238400.0,6198.0,15543.0,1468.0,229715.0,,253966.0,120000.0,10253.0,216710.0,18000.0,50836.0,,20000.0,,255000.0,166.0,400.0,-1.0,,292800.0,,,17000.0,,161.0,,,2546.0,1330800.0,,73700.0,,-1.0,,,61000.0,6577.0,104002.0,-1.0,50.0,65759.0,299660.0,869.0,9300.0,20.0,23300.0,,70000.0,,-1.0,700.0,,,,-1.0,,,46921.0,223.0,19675.0,,26.0,2200.0,24121.0,,169196.0,18869.0
