,Burundi,"China, Taiwan Province of",Mozambique,Croatia,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Thailand,Ethiopia,Kenya,Maldives,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Malawi,Melanesia,Papua New Guinea,Eritrea,New Caledonia,Rwanda,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,United Arab Emirates,Senegal,Madagascar,Tajikistan,Haiti,Ukraine,Guinea,Botswana,Saudi Arabia,Fiji,Chad,Lesotho,Sri Lanka,Uruguay,Azerbaijan,Egypt,Mauritania,China,Uzbekistan,Colombia,Lebanon,United Republic of Tanzania,Micronesia (Federated States of),Occupied Palestinian Territory,Guinea-Bissau,Kazakhstan,South Africa,Hungary,France,Togo,Micronesia,"China, mainland",Russian Federation,Nicaragua,Uganda,Costa Rica,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Gambia,Cameroon,Serbia,Cuba,Sudan (former),Dominican Republic,South Sudan,Namibia,Benin,Pakistan,Japan,Pacific Islands Trust Territory,Iraq,Venezuela (Bolivarian Republic of),Spain,Belize,Bulgaria,United States of America,Bangladesh,Zambia,Democratic Republic of the Congo,Sudan,Somalia,Morocco,Nigeria,Kyrgyzstan,Argentina,Paraguay,Democratic People's Republic of Korea,India,El Salvador,Austria,Niger,Czechoslovakia,Ethiopia PDR,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Israel,Tunisia,Côte d'Ivoire,Mali,Albania,Slovakia,Italy,Central African Republic,Sierra Leone,Australia,Panama,Ghana,Oman,Angola,Swaziland,Republic of Moldova,Turkey
1961,10000.0,14216.0,7778.0,-1.0,-1.0,4525.0,-1.0,-1.0,25000.0,24390.0,-1.0,10933.0,10000.0,-1.0,9750.0,5152.0,6154.0,15503.0,16582.0,-1.0,13333.0,8959.0,15807.0,23300.0,5926.0,4526.0,-1.0,7398.0,6000.0,-1.0,9150.0,-1.0,12500.0,3389.0,14286.0,20000.0,6049.0,8462.0,8951.0,20000.0,-1.0,35446.0,3855.0,9267.0,-1.0,20476.0,10667.0,9000.0,-1.0,-1.0,7500.0,-1.0,10214.0,8550.0,23738.0,-1.0,30000.0,9265.0,-1.0,9168.0,9452.0,15854.0,-1.0,19808.0,7000.0,-1.0,9857.0,9922.0,-1.0,13700.0,9707.0,31250.0,-1.0,2000.0,4974.0,4834.0,12636.0,30000.0,7620.0,-1.0,6874.0,-1.0,11673.0,27442.0,12559.0,5970.0,7000.0,-1.0,3525.0,4630.0,8497.0,-1.0,18771.0,10857.0,10323.0,4400.0,8598.0,-1.0,6074.0,6556.0,7930.0,4960.0,24906.0,8571.0,11765.0,-1.0,11606.0,8279.0,17754.0,1667.0,6667.0,7040.0,5379.0,-1.0,30000.0,3390.0,15197.0,15807.0,-1.0,6667.0,-1.0,-1.0,5333.0,-1.0,-1.0
1962,10000.0,13251.0,7963.0,-1.0,-1.0,4881.0,-1.0,-1.0,25000.0,24390.0,-1.0,10976.0,10000.0,-1.0,5229.0,6500.0,6429.0,11407.0,9845.0,-1.0,13333.0,15001.0,17358.0,22546.0,5926.0,6667.0,-1.0,7413.0,6000.0,-1.0,9175.0,-1.0,14000.0,2500.0,15000.0,20000.0,5547.0,8462.0,9422.0,15000.0,-1.0,34487.0,3942.0,9093.0,-1.0,23385.0,10833.0,10000.0,-1.0,-1.0,7500.0,-1.0,6862.0,10345.0,24796.0,-1.0,33750.0,9091.0,-1.0,8797.0,9456.0,16129.0,-1.0,20000.0,7005.0,-1.0,9857.0,7743.0,-1.0,10900.0,8570.0,30000.0,-1.0,2000.0,5173.0,5165.0,12432.0,33750.0,7658.0,-1.0,7526.0,-1.0,11411.0,27679.0,12559.0,6029.0,6410.0,-1.0,3500.0,6640.0,9426.0,-1.0,18559.0,10938.0,11613.0,5294.0,9505.0,-1.0,6912.0,7051.0,7926.0,4876.0,25155.0,6667.0,13939.0,-1.0,11957.0,4652.0,27617.0,2970.0,7333.0,7380.0,5672.0,-1.0,31194.0,6190.0,16984.0,17358.0,-1.0,6774.0,-1.0,-1.0,5000.0,-1.0,-1.0
1963,10000.0,7946.0,7982.0,-1.0,-1.0,5069.0,-1.0,-1.0,25000.0,24390.0,-1.0,10941.0,10000.0,-1.0,5875.0,6875.0,6494.0,12143.0,11071.0,-1.0,13333.0,14593.0,17618.0,23301.0,6000.0,9511.0,-1.0,7615.0,6000.0,-1.0,9200.0,-1.0,10000.0,3000.0,14783.0,20000.0,7757.0,8462.0,7791.0,5000.0,-1.0,35911.0,3904.0,10768.0,-1.0,22407.0,11250.0,10988.0,-1.0,-1.0,7500.0,-1.0,5429.0,13400.0,31535.0,-1.0,25000.0,10769.0,-1.0,10024.0,9493.0,16341.0,-1.0,20000.0,7009.0,-1.0,9857.0,8067.0,-1.0,10870.0,9795.0,35714.0,-1.0,2000.0,5785.0,5096.0,12747.0,25000.0,8149.0,-1.0,8754.0,-1.0,5968.0,27573.0,12559.0,5942.0,6667.0,-1.0,3307.0,6524.0,7757.0,-1.0,14200.0,8824.0,10968.0,5005.0,9501.0,-1.0,7258.0,6329.0,7925.0,4669.0,20357.0,9286.0,13611.0,-1.0,12135.0,3751.0,34592.0,4091.0,6667.0,6011.0,6997.0,-1.0,40848.0,6190.0,16063.0,17618.0,-1.0,6726.0,-1.0,-1.0,7000.0,-1.0,-1.0
1964,10000.0,8552.0,8165.0,-1.0,-1.0,5055.0,-1.0,-1.0,25000.0,24390.0,-1.0,11047.0,10000.0,-1.0,8195.0,6875.0,6548.0,8728.0,6783.0,-1.0,13333.0,15084.0,14507.0,23299.0,5702.0,7828.0,-1.0,7949.0,5900.0,-1.0,9250.0,-1.0,12500.0,2500.0,14583.0,20000.0,6423.0,8462.0,7113.0,5000.0,-1.0,35526.0,3904.0,12221.0,-1.0,25000.0,11667.0,7818.0,-1.0,-1.0,7500.0,-1.0,7022.0,17768.0,25467.0,-1.0,25000.0,12222.0,-1.0,9839.0,8469.0,16324.0,-1.0,20000.0,7005.0,-1.0,9857.0,8067.0,-1.0,11538.0,8578.0,37500.0,-1.0,2000.0,5225.0,5009.0,11646.0,25000.0,11701.0,22284.0,23570.0,-1.0,11898.0,26181.0,12559.0,6143.0,6667.0,-1.0,3307.0,6333.0,7646.0,-1.0,15110.0,11500.0,10645.0,5363.0,10072.0,-1.0,6963.0,6337.0,8021.0,4873.0,19008.0,8687.0,9337.0,-1.0,12653.0,11098.0,26972.0,5000.0,6667.0,7513.0,7635.0,-1.0,40446.0,6269.0,15549.0,14507.0,-1.0,6920.0,-1.0,-1.0,3750.0,-1.0,-1.0
1965,10000.0,15919.0,8227.0,-1.0,-1.0,5135.0,-1.0,-1.0,22222.0,24333.0,-1.0,10867.0,10000.0,-1.0,9280.0,6933.0,6548.0,15568.0,15611.0,-1.0,13333.0,13868.0,13935.0,23301.0,8916.0,7669.0,-1.0,7811.0,5400.0,-1.0,9350.0,-1.0,12500.0,3462.0,14000.0,20833.0,5527.0,9278.0,8520.0,5014.0,-1.0,38381.0,3544.0,11548.0,-1.0,23333.0,16000.0,7767.0,-1.0,-1.0,7500.0,-1.0,8571.0,6777.0,27863.0,-1.0,25000.0,11545.0,-1.0,9299.0,8889.0,16250.0,-1.0,18507.0,7005.0,-1.0,9429.0,7743.0,-1.0,11538.0,8143.0,35000.0,-1.0,2000.0,5392.0,4613.0,11252.0,25000.0,10779.0,21308.0,21400.0,-1.0,15780.0,32405.0,12559.0,6286.0,6159.0,-1.0,3289.0,6341.0,7133.0,-1.0,12913.0,11515.0,11333.0,4288.0,9507.0,-1.0,5712.0,6310.0,8100.0,4879.0,23761.0,9531.0,9114.0,-1.0,13006.0,11419.0,22141.0,4583.0,7333.0,8430.0,7263.0,-1.0,35965.0,7647.0,15333.0,13935.0,-1.0,5807.0,-1.0,-1.0,2827.0,-1.0,-1.0
1966,10000.0,15036.0,8364.0,-1.0,-1.0,5305.0,-1.0,-1.0,22222.0,21094.0,-1.0,11000.0,10000.0,-1.0,9011.0,8000.0,6522.0,10172.0,8386.0,-1.0,13333.0,11069.0,11092.0,23283.0,6732.0,7900.0,-1.0,6636.0,6200.0,-1.0,9365.0,-1.0,12500.0,3600.0,13846.0,21875.0,6579.0,8264.0,8804.0,4117.0,-1.0,39503.0,3825.0,13847.0,-1.0,20000.0,9698.0,5196.0,-1.0,-1.0,6429.0,-1.0,6886.0,10083.0,28398.0,-1.0,25000.0,13846.0,-1.0,9683.0,9155.0,16333.0,-1.0,16913.0,6995.0,-1.0,8429.0,8772.0,-1.0,11000.0,6364.0,26667.0,-1.0,2000.0,5045.0,4964.0,11429.0,25000.0,12477.0,23196.0,15608.0,-1.0,27308.0,35026.0,8789.0,6528.0,6375.0,-1.0,3421.0,4000.0,6806.0,-1.0,21243.0,11504.0,11333.0,5109.0,10658.0,-1.0,5078.0,11998.0,8200.0,5635.0,24502.0,12340.0,16452.0,-1.0,13357.0,4444.0,32073.0,4167.0,7333.0,8065.0,9173.0,-1.0,35535.0,8095.0,15385.0,11092.0,-1.0,7261.0,-1.0,-1.0,3138.0,-1.0,-1.0
1967,10000.0,19080.0,8545.0,-1.0,-1.0,4604.0,-1.0,-1.0,22222.0,24606.0,-1.0,11381.0,10000.0,-1.0,9991.0,7939.0,6522.0,13909.0,9211.0,-1.0,13333.0,11000.0,15680.0,27207.0,7185.0,8506.0,-1.0,8602.0,6200.0,-1.0,9400.0,-1.0,12500.0,3231.0,14286.0,21399.0,6654.0,8296.0,9098.0,8709.0,-1.0,40095.0,3825.0,13850.0,-1.0,22500.0,9313.0,4633.0,-1.0,-1.0,6615.0,-1.0,11375.0,16129.0,23665.0,-1.0,25000.0,13846.0,-1.0,9904.0,9241.0,16545.0,-1.0,16373.0,7000.0,-1.0,9000.0,7517.0,-1.0,10625.0,10029.0,26667.0,-1.0,2000.0,5276.0,4983.0,11429.0,25000.0,12879.0,23107.0,25244.0,-1.0,21200.0,31633.0,7540.0,6575.0,6711.0,-1.0,3401.0,6517.0,7157.0,-1.0,15659.0,11517.0,11667.0,5454.0,10406.0,-1.0,6453.0,21578.0,8164.0,5666.0,24751.0,11905.0,13360.0,-1.0,13193.0,-1.0,24527.0,4167.0,5399.0,6386.0,9118.0,-1.0,35084.0,6346.0,15455.0,15680.0,-1.0,6734.0,-1.0,-1.0,2268.0,-1.0,-1.0
1968,10000.0,16134.0,8533.0,-1.0,-1.0,6377.0,-1.0,14404.0,22222.0,21342.0,-1.0,10732.0,10000.0,-1.0,10721.0,4076.0,7368.0,15383.0,10000.0,-1.0,13333.0,9500.0,15409.0,19497.0,8951.0,10016.0,-1.0,6477.0,6200.0,-1.0,9450.0,-1.0,12500.0,1814.0,12189.0,21292.0,6740.0,7084.0,7811.0,7780.0,-1.0,40311.0,4041.0,14168.0,-1.0,22222.0,3050.0,5185.0,-1.0,-1.0,6667.0,-1.0,7481.0,14792.0,36777.0,-1.0,25000.0,14167.0,-1.0,10127.0,11043.0,16333.0,-1.0,28703.0,6989.0,-1.0,9054.0,7093.0,-1.0,10833.0,7683.0,33333.0,-1.0,2000.0,5551.0,5539.0,11111.0,25000.0,12478.0,23564.0,28898.0,-1.0,18475.0,33046.0,4712.0,6575.0,6826.0,-1.0,3500.0,12749.0,6298.0,-1.0,16059.0,15000.0,12143.0,5234.0,10919.0,-1.0,3611.0,21905.0,6814.0,6528.0,25703.0,12609.0,16155.0,-1.0,13026.0,2843.0,22399.0,4590.0,5392.0,7965.0,16505.0,-1.0,34744.0,6190.0,15000.0,15409.0,-1.0,5518.0,-1.0,-1.0,2500.0,-1.0,-1.0
1969,10000.0,14850.0,7291.0,-1.0,-1.0,5000.0,-1.0,7469.0,22222.0,20131.0,-1.0,10250.0,10000.0,-1.0,10293.0,3583.0,7000.0,11090.0,5912.0,-1.0,16667.0,10000.0,14042.0,19192.0,11064.0,8830.0,-1.0,9273.0,5753.0,-1.0,9858.0,-1.0,12500.0,2853.0,12593.0,21333.0,7343.0,6725.0,6680.0,12451.0,-1.0,40849.0,4175.0,13794.0,-1.0,22522.0,5555.0,4683.0,-1.0,-1.0,6000.0,-1.0,7804.0,18479.0,36886.0,-1.0,25000.0,13793.0,-1.0,10355.0,11844.0,16346.0,-1.0,21458.0,6978.0,-1.0,8243.0,7684.0,-1.0,11250.0,8557.0,33333.0,-1.0,2000.0,5558.0,5776.0,-1.0,25000.0,11338.0,10256.0,29209.0,-1.0,32157.0,34097.0,4678.0,6667.0,7037.0,-1.0,3508.0,7189.0,5241.0,-1.0,17964.0,15000.0,11852.0,5225.0,11254.0,-1.0,4862.0,21795.0,8489.0,6584.0,27807.0,13393.0,15804.0,-1.0,12874.0,-1.0,25019.0,5079.0,5402.0,9002.0,11528.0,-1.0,32903.0,7750.0,14583.0,14042.0,-1.0,5513.0,-1.0,-1.0,2722.0,-1.0,-1.0
1970,9776.0,17805.0,7787.0,-1.0,-1.0,5409.0,22212.0,10463.0,22222.0,19571.0,-1.0,10945.0,10000.0,-1.0,8206.0,3350.0,7170.0,16580.0,15514.0,-1.0,13333.0,11000.0,15259.0,19643.0,8882.0,8566.0,-1.0,6235.0,5189.0,-1.0,9767.0,-1.0,12500.0,583.0,11111.0,21500.0,7122.0,6891.0,5719.0,11438.0,-1.0,41611.0,3531.0,16859.0,-1.0,22015.0,6161.0,5546.0,-1.0,-1.0,6000.0,-1.0,11555.0,14950.0,32957.0,-1.0,25000.0,16858.0,-1.0,10761.0,14855.0,16286.0,-1.0,34031.0,6877.0,-1.0,9459.0,7048.0,-1.0,10667.0,7466.0,34872.0,-1.0,2100.0,4831.0,5896.0,-1.0,25000.0,12492.0,22112.0,40319.0,-1.0,20750.0,31605.0,8324.0,6000.0,8669.0,-1.0,3500.0,8102.0,7091.0,-1.0,19277.0,11137.0,12083.0,4665.0,11853.0,-1.0,3881.0,21719.0,8617.0,6873.0,28295.0,13846.0,5928.0,-1.0,12736.0,-1.0,25587.0,5591.0,4836.0,8306.0,11554.0,-1.0,31054.0,8095.0,12632.0,15259.0,-1.0,7657.0,-1.0,-1.0,3057.0,-1.0,-1.0
