,Costa Rica,Israel,Zambia,Kenya,Peru,Morocco,Saudi Arabia,Switzerland,Mexico,Malta,Romania,Italy,Syrian Arab Republic,Jordan,China,Tunisia,Greece,Zimbabwe,Réunion,Lebanon,Uzbekistan,Cyprus,Occupied Palestinian Territory,Chile,Spain,Kazakhstan,Portugal,United States of America,Iran (Islamic Republic of),France,Egypt,Algeria,"China, mainland",Turkey,Argentina,Lithuania
1961,-1.0,1300.0,-1.0,-1.0,3500.0,28000.0,-1.0,-1.0,-1.0,-1.0,-1.0,416900.0,-1.0,-1.0,-1.0,11400.0,24909.0,-1.0,-1.0,3200.0,-1.0,3600.0,-1.0,22000.0,91000.0,-1.0,-1,23133.0,-1.0,160000.0,8000.0,38000.0,-1.0,2500.0,18000.0,-1.0
1962,-1.0,1600.0,-1.0,-1.0,3500.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,342600.0,-1.0,-1.0,-1.0,10400.0,31564.0,-1.0,-1.0,3200.0,-1.0,3650.0,-1.0,24000.0,86000.0,-1.0,-1,19958.0,-1.0,146000.0,12000.0,37000.0,-1.0,2600.0,18300.0,-1.0
1963,-1.0,1950.0,-1.0,-1.0,3500.0,23000.0,-1.0,-1.0,-1.0,-1.0,-1.0,248000.0,-1.0,-1.0,-1.0,14400.0,41787.0,-1.0,-1.0,3200.0,-1.0,3700.0,-1.0,24000.0,125000.0,-1.0,-1,21772.0,-1.0,125100.0,16000.0,40000.0,-1.0,2700.0,14650.0,-1.0
1964,-1.0,2300.0,-1.0,-1.0,3500.0,36000.0,-1.0,-1.0,-1.0,-1.0,-1.0,468600.0,-1.0,-1.0,-1.0,14600.0,41024.0,-1.0,-1.0,3300.0,-1.0,3800.0,-1.0,25000.0,109000.0,-1.0,-1,25673.0,-1.0,153100.0,15000.0,28000.0,-1.0,2800.0,14050.0,-1.0
1965,-1.0,3000.0,-1.0,-1.0,3500.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,542100.0,-1.0,-1.0,-1.0,18300.0,46100.0,-1.0,-1.0,750.0,-1.0,3891.0,-1.0,25000.0,124000.0,-1.0,-1,29211.0,-1.0,160100.0,16000.0,44000.0,-1.0,2900.0,19500.0,-1.0
1966,-1.0,3400.0,-1.0,-1.0,3522.0,15938.0,-1.0,-1.0,-1.0,-1.0,-1.0,580100.0,-1.0,-1.0,-1.0,19000.0,42375.0,-1.0,-1.0,800.0,-1.0,4064.0,-1.0,26000.0,125800.0,-1.0,-1,30300.0,-1.0,145400.0,16155.0,31553.0,-1.0,3000.0,45850.0,-1.0
1967,-1.0,3750.0,-1.0,-1.0,4096.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,631200.0,-1.0,-1.0,-1.0,17700.0,39246.0,-1.0,-1.0,720.0,-1.0,4166.0,-1.0,23000.0,129200.0,-1.0,-1,33112.0,-1.0,127000.0,12423.0,26945.0,-1.0,3100.0,52146.0,-1.0
1968,-1.0,4750.0,-1.0,-1.0,5068.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,563200.0,-1.0,-1.0,-1.0,12000.0,36294.0,-1.0,-1.0,518.0,-1.0,4369.0,-1.0,21000.0,114700.0,-1.0,-1,26127.0,-1.0,132000.0,11000.0,31733.0,-1.0,3204.0,62400.0,-1.0
1969,-1.0,4450.0,-1.0,-1.0,3050.0,22000.0,-1.0,-1.0,-1.0,-1.0,-1.0,637200.0,-1.0,-1.0,-1.0,10300.0,44172.0,-1.0,-1.0,518.0,-1.0,4572.0,-1.0,19000.0,101100.0,-1.0,-1,29801.0,-1.0,140280.0,12000.0,29838.0,-1.0,3518.0,65200.0,-1.0
1970,-1.0,6400.0,-1.0,-1.0,2072.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,670800.0,-1.0,-1.0,-1.0,8700.0,43127.0,-1.0,-1.0,486.0,-1.0,5080.0,-1.0,17000.0,220400.0,-1.0,-1,30436.0,-1.0,125820.0,10000.0,39136.0,-1.0,4000.0,67600.0,-1.0
1971,-1.0,6400.0,-1.0,-1.0,1824.0,23000.0,-1.0,-1.0,-1.0,-1.0,-1.0,734100.0,-1.0,-1.0,-1.0,13000.0,44449.0,-1.0,-1.0,591.0,-1.0,5588.0,-1.0,14500.0,222200.0,-1.0,-1,35924.0,-1.0,136140.0,11000.0,44974.0,-1.0,5000.0,69950.0,-1.0
