,Cuba,Pacific Islands Trust Territory,Haiti,Micronesia (Federated States of),Venezuela (Bolivarian Republic of),Dominica,Panama,Sri Lanka,Puerto Rico,French Guiana,United Republic of Tanzania,Belize,Rwanda,Kenya,Guyana,Costa Rica,Uganda,Suriname,Equatorial Guinea,Tonga,El Salvador,Sierra Leone,Honduras,Colombia,New Caledonia,Central African Republic,Gabon,Malawi,Bahamas,Saint Lucia,Jamaica,Ecuador,Trinidad and Tobago,Melanesia,Grenada,Nicaragua,Democratic Republic of the Congo,Nigeria,Micronesia,Congo,Martinique,Dominican Republic,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,Peru,Ghana,Guinea,Guadeloupe,Guinea-Bissau,Côte d'Ivoire,Polynesia,Cameroon,Myanmar,Guatemala,Liberia
1961,69767.0,7500.0,60000.0,,49960.0,,,84553.0,68941.0,100000.0,26003.0,,99695.0,100000.0,30342.0,60200.0,60065.0,66202.0,,120000.0,30000.0,37250.0,145691.0,68036.0,35714.0,26667.0,47222.0,25455.0,,,100000.0,171464.0,50000.0,35714.0,,119038.0,43636.0,39900.0,7500.0,67500.0,200000.0,80007.0,165000.0,,98751.0,54545.0,50000.0,166667.0,31429.0,15625.0,120000.0,55242.0,37890.0,50233.0,15333.0
1962,70569.0,7000.0,59676.0,,45859.0,,,82071.0,70234.0,100000.0,26171.0,,100124.0,100000.0,29070.0,60392.0,60092.0,84989.0,,137500.0,30000.0,37750.0,153006.0,68288.0,35714.0,26667.0,47222.0,25909.0,,,98485.0,207759.0,52632.0,35714.0,,119808.0,43946.0,40850.0,7000.0,67500.0,181818.0,85041.0,140000.0,,196254.0,54545.0,50909.0,166667.0,31429.0,15833.0,137500.0,55105.0,37668.0,50000.0,15333.0
1963,73168.0,6723.0,60941.0,,46940.0,,,88205.0,73818.0,125000.0,26000.0,,99907.0,100000.0,30595.0,59815.0,60993.0,99689.0,,137500.0,30000.0,38500.0,160384.0,68319.0,35714.0,26667.0,47368.0,25217.0,,,100000.0,201566.0,56700.0,35714.0,,120877.0,44444.0,41650.0,6723.0,70000.0,191667.0,84996.0,250000.0,,196041.0,54167.0,51111.0,166667.0,31429.0,15942.0,137500.0,58026.0,39536.0,50000.0,14667.0
1964,79256.0,22405.0,60429.0,,48159.0,,,90476.0,68702.0,120000.0,26006.0,,109598.0,1000000.0,29645.0,60000.0,60322.0,172336.0,,125000.0,30000.0,39250.0,167698.0,68369.0,40000.0,27222.0,47368.0,25652.0,,,100000.0,207037.0,57444.0,40000.0,,119355.0,45374.0,42650.0,22405.0,70000.0,192308.0,84903.0,147500.0,,98739.0,54167.0,50000.0,177778.0,30000.0,15890.0,125000.0,58112.0,40662.0,57377.0,14667.0
1965,73633.0,7479.0,60194.0,,49687.0,,,93333.0,76338.0,120000.0,25987.0,,120003.0,100000.0,33611.0,64386.0,66810.0,164825.0,,142857.0,30000.0,40000.0,175051.0,81167.0,40000.0,27222.0,47500.0,25000.0,,,96932.0,167626.0,56692.0,40000.0,,120652.0,45652.0,43850.0,7479.0,70000.0,192308.0,84956.0,165000.0,,123348.0,54400.0,50000.0,177778.0,30000.0,16000.0,142857.0,55221.0,43933.0,56721.0,14667.0
1966,75637.0,7500.0,60030.0,,50985.0,,,218190.0,102185.0,114286.0,25990.0,,99744.0,100000.0,44834.0,70345.0,74643.0,116442.0,,150000.0,30000.0,35000.0,182366.0,63258.0,40000.0,24500.0,47500.0,25417.0,,,124351.0,166559.0,60224.0,40000.0,,119773.0,45923.0,44900.0,7500.0,64444.0,200000.0,85068.0,165002.0,,137776.0,54803.0,50000.0,180000.0,28750.0,16184.0,150000.0,57270.0,42281.0,57500.0,14667.0
1967,68802.0,6667.0,60749.0,,50412.0,,,230162.0,101250.0,103846.0,25985.0,,120000.0,100000.0,35034.0,74828.0,71531.0,70536.0,,180000.0,30000.0,35000.0,195735.0,69148.0,40000.0,25000.0,47619.0,25833.0,,,87286.0,100170.0,51979.0,40000.0,,119792.0,46610.0,45900.0,6667.0,64444.0,200000.0,80068.0,165030.0,,137169.0,54889.0,50909.0,180000.0,28750.0,16316.0,180000.0,57042.0,42094.0,60308.0,14667.0
1968,147957.0,6667.0,60811.0,,53062.0,,,77410.0,101842.0,105385.0,25973.0,,120074.0,100000.0,39232.0,89825.0,64992.0,78500.0,,180000.0,30000.0,35000.0,192452.0,69565.0,40000.0,25500.0,47619.0,26250.0,,,84087.0,127010.0,55340.0,40000.0,,118750.0,47500.0,47100.0,6667.0,64444.0,192857.0,79935.0,165011.0,,132496.0,54786.0,50000.0,200000.0,28750.0,16447.0,180000.0,50796.0,42633.0,59831.0,15333.0
1969,247961.0,6667.0,60526.0,,56560.0,,,88730.0,102516.0,108333.0,26087.0,,120000.0,100000.0,38245.0,99138.0,74526.0,101002.0,,160000.0,30000.0,35000.0,180188.0,68750.0,40000.0,26000.0,47826.0,26667.0,,,103795.0,126545.0,56696.0,40000.0,,120200.0,50000.0,48500.0,6667.0,64444.0,192857.0,88067.0,164407.0,,132161.0,54795.0,52000.0,200000.0,28750.0,16571.0,160000.0,41365.0,42977.0,60339.0,15333.0
1970,58630.0,6667.0,61039.0,,60025.0,,,84362.0,102245.0,105556.0,26000.0,,110000.0,100000.0,33629.0,100182.0,84235.0,72922.0,,193333.0,30693.0,37500.0,131775.0,70417.0,46250.0,26500.0,47826.0,27083.0,,,96437.0,124962.0,57086.0,46250.0,,120000.0,48651.0,54722.0,6667.0,64444.0,193103.0,87947.0,158871.0,,124617.0,54795.0,51111.0,200000.0,28750.0,16667.0,193333.0,40580.0,44145.0,60143.0,16000.0
1971,84673.0,6667.0,61538.0,,61490.0,,,91667.0,137405.0,176190.0,26014.0,,110000.0,100000.0,32977.0,100000.0,83503.0,121472.0,,189286.0,31601.0,37500.0,132283.0,46701.0,46250.0,27000.0,48936.0,28099.0,,,104590.0,119937.0,57407.0,46250.0,,125000.0,48883.0,56000.0,6667.0,64444.0,193103.0,90036.0,160000.0,78000.0,134827.0,54667.0,50909.0,200000.0,30000.0,16750.0,189286.0,41307.0,44080.0,61429.0,16000.0
