,Bolivia (Plurinational State of),Peru,Spain,Belarus,Croatia,Serbia,Armenia,Syrian Arab Republic,Brazil,Yugoslav SFR,The former Yugoslav Republic of Macedonia,Japan,Iraq,Belgium,Greece,New Zealand,Yemen,Bulgaria,Australia & New Zealand,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Slovenia,Kyrgyzstan,Cyprus,Argentina,Ukraine,Georgia,Israel,Austria,Morocco,Switzerland,Mexico,USSR,Romania,Azerbaijan,Italy,Jordan,Bosnia and Herzegovina,China,Tunisia,Latvia,Albania,Uruguay,Lebanon,Uzbekistan,France,Occupied Palestinian Territory,Chile,Hungary,Kazakhstan,South Africa,Australia,Portugal,Lithuania,"China, mainland",Russian Federation,Turkey,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,1200.0,635.0,-1.0,-1.0,-1.0,-1.0,100.0,6500.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,17.0,-1.0,165.0,17.0,2000.0,-1.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,1199.0,10000.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,220.0,-1.0,-1.0,-1.0,200.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1300.0,-1.0,-1.0,-1.0,9233.0,-1.0,-1.0
1962,-1.0,1200.0,645.0,-1.0,-1.0,-1.0,-1.0,200.0,4500.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,16.0,-1.0,251.0,16.0,2000.0,-1.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,1158.0,10000.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,220.0,-1.0,-1.0,-1.0,250.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1320.0,-1.0,-1.0,-1.0,9400.0,-1.0,-1.0
1963,-1.0,1200.0,658.0,-1.0,-1.0,-1.0,-1.0,100.0,6500.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,9.0,-1.0,303.0,9.0,2000.0,-1.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,1200.0,13000.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,220.0,-1.0,-1.0,-1.0,300.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1340.0,-1.0,-1.0,-1.0,9650.0,-1.0,-1.0
1964,-1.0,1600.0,672.0,-1.0,-1.0,-1.0,-1.0,100.0,10300.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,8.0,-1.0,317.0,8.0,2000.0,-1.0,-1.0,-1.0,-1.0,95.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,1239.0,13000.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,220.0,-1.0,-1.0,-1.0,240.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1360.0,-1.0,-1.0,-1.0,9633.0,-1.0,-1.0
1965,-1.0,1250.0,673.0,-1.0,-1.0,-1.0,-1.0,200.0,8561.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,8.0,-1.0,371.0,8.0,2000.0,-1.0,-1.0,-1.0,-1.0,95.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,1386.0,13000.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,220.0,-1.0,-1.0,-1.0,240.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1380.0,-1.0,-1.0,-1.0,9667.0,-1.0,-1.0
1966,140.0,1058.0,579.0,-1.0,-1.0,-1.0,-1.0,300.0,8856.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,8.0,-1.0,458.0,8.0,2000.0,-1.0,-1.0,-1.0,-1.0,95.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,1475.0,13000.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,150.0,-1.0,-1.0,-1.0,240.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1400.0,-1.0,-1.0,-1.0,9767.0,-1.0,-1.0
1967,140.0,1068.0,613.0,-1.0,-1.0,-1.0,-1.0,500.0,8932.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,8.0,-1.0,565.0,8.0,2100.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,1513.0,13000.0,-1.0,-1.0,-1.0,96.0,-1.0,-1.0,120.0,-1.0,-1.0,-1.0,221.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1400.0,-1.0,-1.0,-1.0,9010.0,-1.0,-1.0
1968,140.0,867.0,639.0,-1.0,-1.0,-1.0,-1.0,467.0,8948.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,6.0,-1.0,734.0,6.0,2100.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,1508.0,13000.0,-1.0,-1.0,-1.0,48.0,-1.0,-1.0,130.0,-1.0,-1.0,-1.0,202.0,-1.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1450.0,-1.0,-1.0,-1.0,7967.0,-1.0,-1.0
1969,150.0,1031.0,671.0,-1.0,-1.0,-1.0,-1.0,464.0,8342.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,4.0,-1.0,964.0,4.0,2100.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,1675.0,13000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,160.0,-1.0,-1.0,-1.0,127.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1480.0,-1.0,-1.0,-1.0,8333.0,-1.0,-1.0
1970,150.0,952.0,509.0,-1.0,-1.0,-1.0,-1.0,432.0,8343.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,4.0,-1.0,1090.0,4.0,2300.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,2084.0,24000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,270.0,-1.0,-1.0,-1.0,255.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1480.0,-1.0,-1.0,-1.0,8330.0,-1.0,-1.0
