,Indonesia,Thailand
1961,90000.0,108180.0
1962,86300.0,100000.0
1963,72700.0,136660.0
1964,81000.0,139100.0
1965,89200.0,140300.0
1966,91300.0,135450.0
1967,89600.0,132730.0
1968,65900.0,134250.0
1969,81000.0,132120.0
1970,91800.0,131520.0
1971,86900.0,151200.0
1972,95000.0,131200.0
1973,88600.0,158180.0
1974,87200.0,154850.0
1975,85600.0,146050.0
1976,96500.0,136060.0
1977,95500.0,127580.0
1978,107300.0,91820.0
1979,98500.0,81820.0
1980,123000.0,102425.0
1981,151500.0,118800.0
1982,153000.0,103950.0
1983,155300.0,122120.0
1984,152000.0,124250.0
1985,157200.0,131820.0
1986,182600.0,120300.0
1987,161600.0,121200.0
1988,174600.0,114550.0
1989,172400.0,115665.0
1990,192000.0,122450.0
1991,192800.0,112400.0
1992,209300.0,112730.0
1993,206100.0,120300.0
1994,203000.0,123940.0
1995,223400.0,130300.0
1996,233900.0,140610.0
1997,240600.0,136970.0
1998,245500.0,127270.0
1999,245500.0,131820.0
2000,282200.0,138180.0
2001,283630.0,136363.0
2002,267687.0,139400.0
2003,300950.0,136300.0
2004,208300.0,136300.0
2005,192950.0,128600.0
2006,208520.0,114900.0
2007,177467.0,106000.0
2008,176780.0,106000.0
2009,181000.0,106000.0
2010,163600.0,105225.0
2011,227000.0,97588.0
2012,227000.0,92036.0
2013,221000.0,88279.0
2014,217214.0,84925.0
