,Costa Rica,Cuba,El Salvador,Dominica,Trinidad and Tobago,Peru,Belize,Mexico,Dominican Republic,Panama,Puerto Rico,Venezuela (Bolivarian Republic of),Nicaragua,Saint Lucia
1961,-1.0,41667.0,-1.0,100000.0,110345.0,52222.0,-1.0,-1.0,66557.0,55000.0,-1.0,47761.0,-1.0,50000.0
1962,-1.0,42458.0,-1.0,100000.0,109677.0,54211.0,-1.0,-1.0,64286.0,56250.0,-1.0,49237.0,-1.0,50000.0
1963,-1.0,42847.0,-1.0,102381.0,111747.0,52778.0,-1.0,-1.0,64865.0,57500.0,-1.0,50759.0,-1.0,50000.0
1964,-1.0,41934.0,-1.0,100000.0,112200.0,49412.0,-1.0,-1.0,64758.0,57500.0,-1.0,52328.0,-1.0,50000.0
1965,-1.0,42390.0,-1.0,100000.0,112687.0,49975.0,-1.0,-1.0,63625.0,62500.0,-1.0,54004.0,-1.0,50000.0
1966,-1.0,47517.0,-1.0,100000.0,112160.0,63964.0,-1.0,-1.0,64375.0,61176.0,-1.0,55618.0,-1.0,50000.0
1967,-1.0,47099.0,-1.0,100000.0,112138.0,56776.0,-1.0,-1.0,65000.0,62222.0,-1.0,57338.0,-1.0,50000.0
1968,-1.0,43040.0,-1.0,100000.0,112237.0,55498.0,-1.0,-1.0,63913.0,60000.0,-1.0,59110.0,-1.0,50000.0
1969,-1.0,43652.0,-1.0,100000.0,112147.0,57505.0,-1.0,-1.0,65957.0,60204.0,-1.0,60942.0,-1.0,50000.0
1970,-1.0,39791.0,-1.0,100000.0,111962.0,56736.0,-1.0,-1.0,65306.0,60194.0,-1.0,60582.0,-1.0,50000.0
1971,-1.0,48654.0,-1.0,100000.0,109375.0,54835.0,-1.0,-1.0,66000.0,60396.0,-1.0,63378.0,-1.0,52000.0
1972,-1.0,31985.0,-1.0,100000.0,105882.0,53624.0,-1.0,-1.0,65385.0,63636.0,-1.0,58071.0,-1.0,54000.0
1973,-1.0,28539.0,-1.0,100000.0,110857.0,54470.0,-1.0,-1.0,70000.0,65833.0,-1.0,63967.0,-1.0,50000.0
1974,-1.0,33021.0,-1.0,100000.0,110000.0,56478.0,-1.0,-1.0,69639.0,66667.0,-1.0,61060.0,-1.0,50000.0
1975,-1.0,43542.0,-1.0,99091.0,111111.0,53828.0,-1.0,-1.0,56531.0,67242.0,-1.0,58101.0,-1.0,50000.0
1976,-1.0,51934.0,-1.0,100172.0,113514.0,55186.0,-1.0,-1.0,64788.0,67917.0,-1.0,46877.0,-1.0,50000.0
1977,-1.0,59707.0,-1.0,99833.0,108571.0,57838.0,-1.0,-1.0,65557.0,68600.0,-1.0,58942.0,-1.0,50000.0
1978,-1.0,111144.0,-1.0,99077.0,111111.0,53820.0,-1.0,-1.0,38036.0,69283.0,-1.0,58607.0,-1.0,50000.0
1979,-1.0,91469.0,-1.0,99905.0,113514.0,56829.0,-1.0,-1.0,56613.0,69967.0,-1.0,56699.0,-1.0,50000.0
1980,-1.0,93597.0,-1.0,96769.0,115789.0,52928.0,-1.0,-1.0,56862.0,66950.0,-1.0,58122.0,-1.0,50000.0
1981,-1.0,75637.0,-1.0,91441.0,121053.0,50509.0,-1.0,-1.0,39000.0,67108.0,-1.0,58059.0,-1.0,51765.0
1982,-1.0,46963.0,-1.0,87310.0,120000.0,51549.0,-1.0,-1.0,38891.0,72592.0,-1.0,57854.0,-1.0,50000.0
1983,-1.0,55135.0,-1.0,89157.0,117647.0,51615.0,-1.0,-1.0,56481.0,67791.0,-1.0,59331.0,-1.0,50000.0
1984,-1.0,57840.0,-1.0,90423.0,100000.0,52030.0,-1.0,-1.0,57327.0,65508.0,-1.0,63683.0,-1.0,50000.0
1985,-1.0,51942.0,-1.0,84615.0,100000.0,50000.0,-1.0,-1.0,64202.0,69208.0,-1.0,59797.0,-1.0,52174.0
1986,-1.0,71365.0,-1.0,84724.0,100000.0,50980.0,-1.0,-1.0,58203.0,69476.0,-1.0,58289.0,-1.0,52174.0
1987,-1.0,42180.0,-1.0,84254.0,100000.0,50980.0,-1.0,-1.0,58637.0,68873.0,-1.0,57899.0,-1.0,54167.0
1988,-1.0,39303.0,-1.0,69477.0,100000.0,51923.0,-1.0,-1.0,63789.0,72052.0,-1.0,59211.0,-1.0,54167.0
1989,-1.0,29598.0,-1.0,59969.0,100000.0,51923.0,116818.0,-1.0,62914.0,65270.0,-1.0,58818.0,-1.0,56000.0
1990,-1.0,28571.0,-1.0,83159.0,104340.0,55556.0,73617.0,-1.0,57066.0,66540.0,-1.0,59050.0,-1.0,63500.0
1991,-1.0,25894.0,-1.0,76477.0,100000.0,53717.0,43623.0,-1.0,56959.0,60662.0,-1.0,61979.0,123635.0,57692.0
1992,-1.0,23585.0,-1.0,69952.0,100033.0,53982.0,105200.0,28605.0,76451.0,61270.0,-1.0,62497.0,122979.0,58665.0
1993,100000.0,14589.0,-1.0,74208.0,99998.0,54500.0,115385.0,31895.0,57457.0,60606.0,-1.0,64005.0,122323.0,59259.0
1994,100000.0,12980.0,200728.0,73171.0,99963.0,51823.0,27200.0,33053.0,79191.0,61193.0,-1.0,65996.0,121668.0,59561.0
1995,100000.0,19227.0,189655.0,73612.0,99928.0,45714.0,73671.0,61359.0,79807.0,61109.0,-1.0,72262.0,121012.0,60714.0
1996,89979.0,21094.0,187854.0,73109.0,100000.0,48730.0,75217.0,86075.0,69457.0,61000.0,-1.0,72909.0,120356.0,60000.0
1997,93654.0,26483.0,180000.0,72585.0,99857.0,47914.0,45918.0,35082.0,68834.0,60160.0,-1.0,74558.0,119700.0,59992.0
