,"China, Taiwan Province of",Zambia,Syrian Arab Republic,Brazil,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Bangladesh,Malawi,Eritrea,New Caledonia,Bahamas,Mongolia,Guatemala,Latvia,Slovenia,Madagascar,Luxembourg,Guinea,Botswana,Saudi Arabia,Fiji,Sweden,Pacific Islands Trust Territory,Switzerland,Sri Lanka,Azerbaijan,Central African Republic,Bosnia and Herzegovina,China,Colombia,Libya,Czechia,Guinea-Bissau,Montenegro,Kazakhstan,Estonia,Mauritius,Saint Vincent and the Grenadines,Hungary,France,Togo,Mali,Paraguay,Melanesia,Georgia,Serbia and Montenegro,Cameroon,Grenada,Dominican Republic,Guadeloupe,Denmark,Canada,Spain,Afghanistan,Iraq,New Zealand,Belize,Djibouti,Czechoslovakia,Cuba,Egypt,Kyrgyzstan,Argentina,Democratic People's Republic of Korea,Germany,El Salvador,Morocco,Ethiopia PDR,Gabon,Romania,Ecuador,Jordan,Mexico,Albania,Slovakia,Jamaica,Trinidad and Tobago,Montserrat,Thailand,Lithuania,Finland,Netherlands,Oman,Angola,Nigeria,Norway,Guam,Turkey,Burundi,Belarus,Croatia,Myanmar,Burkina Faso,Philippines,Viet Nam,Lao People's Democratic Republic,Australia,United Republic of Tanzania,Maldives,Ireland,Zimbabwe,Yugoslav SFR,Republic of Korea,Australia & New Zealand,Papua New Guinea,Rwanda,Mozambique,Barbados,Algeria,Senegal,Saint Lucia,Haiti,Sao Tome and Principe,Dominica,Belgium,Chad,Lesotho,Comoros,Uruguay,Italy,Panama,Sudan (former),Armenia,Lebanon,Uzbekistan,Micronesia (Federated States of),Occupied Palestinian Territory,Chile,Portugal,Micronesia,Kenya,Poland,"China, mainland",Russian Federation,Nicaragua,Uganda,India,Ukraine,Bolivia (Plurinational State of),Peru,Yemen,Vanuatu,Serbia,Malaysia,Israel,Malta,South Sudan,Namibia,Benin,United Kingdom,Japan,Pakistan,Somalia,Venezuela (Bolivarian Republic of),Cyprus,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Kuwait,French Guiana,Suriname,Cambodia,Timor-Leste,Costa Rica,Tajikistan,Austria,Niger,Bhutan,Congo,USSR,Honduras,Tunisia,Côte d'Ivoire,Gambia,Turkmenistan,South Africa,Sierra Leone,Réunion,Sudan,Ghana,Mauritania,Swaziland,Republic of Moldova,Belgium-Luxembourg
1961,985.0,25600.0,74952.0,191775.0,10940.0,-1.0,79000.0,-1.0,58548.0,4018.0,26970.0,-1.0,44.0,7.0,12250.0,19442.0,-1.0,-1.0,2470.0,-1.0,5125.0,1305.0,5434.0,1.0,253000.0,7.0,14800.0,750.0,-1.0,5300.0,-1.0,2516640.0,25366.0,16050.0,-1.0,650.0,-1.0,-1.0,-1.0,3.0,2.0,213895.0,623667.0,7188.0,41560.0,1932.0,86.0,-1.0,-1.0,31300.0,13.0,1015.0,21.0,238678.0,701910.0,259056.0,46235.0,119341.0,8132.0,128.0,0.0,297101.0,3619.0,73000.0,-1.0,552692.0,54000.0,902855.0,3922.0,119629.0,170840.0,165.0,226612.0,19924.0,9644.0,334422.0,18124.0,-1.0,89.0,25.0,0.0,6658.0,-1.0,167965.0,50100.0,128.0,11470.0,195468.0,43300.0,1.0,769950.0,3166.0,-1.0,-1.0,7995.0,30834.0,38990.0,6551.0,240.0,194130.0,21108.0,5.0,52105.0,32828.0,206138.0,48932.0,202262.0,6.0,4093.0,11620.0,11.0,76040.0,27505.0,1.0,10200.0,8.0,2.0,-1.0,19070.0,3763.0,53.0,22635.0,241800.0,1200.0,18853.0,-1.0,1492.0,-1.0,-1.0,0.0,21592.0,84963.0,9.0,33400.0,1294005.0,2515655.0,-1.0,4299.0,27197.0,1046000.0,-1.0,14678.0,27780.0,37227.0,35.0,-1.0,152.0,8267.0,133.0,-1.0,1940.0,11009.0,410153.0,43656.0,56994.0,11650.0,800.0,8959.0,18.0,129820.0,2090000.0,81020.0,23737.0,0.0,1.0,13.0,7075.0,300.0,999.0,-1.0,123011.0,36948.0,1393.0,30.0,10379009.0,5466.0,27407.0,9700.0,1848.0,-1.0,72455.0,813.0,152.0,-1.0,9660.0,4985.0,3669.0,-1.0,40369.0
1962,1078.0,26250.0,81718.0,207777.0,10880.0,-1.0,64000.0,-1.0,55949.0,3529.0,27367.0,-1.0,42.0,10.0,9300.0,21042.0,-1.0,-1.0,2950.0,-1.0,4975.0,1305.0,5598.0,1.0,266000.0,3.0,17700.0,640.0,-1.0,5300.0,-1.0,2470558.0,25964.0,16890.0,-1.0,650.0,-1.0,-1.0,-1.0,3.0,2.0,205010.0,743048.0,7673.0,45130.0,1954.0,84.0,-1.0,-1.0,31100.0,13.0,1021.0,22.0,249367.0,747360.0,258160.0,46265.0,122288.0,8159.0,128.0,0.0,322379.0,3420.0,71000.0,-1.0,509005.0,53800.0,863791.0,3532.0,185266.0,171888.0,165.0,224162.0,21929.0,7075.0,367417.0,18452.0,-1.0,103.0,25.0,0.0,8456.0,-1.0,194563.0,49025.0,128.0,11270.0,200094.0,43296.0,1.0,793018.0,3523.0,-1.0,-1.0,7618.0,32208.0,37951.0,6819.0,200.0,192613.0,24312.0,6.0,53100.0,30459.0,201188.0,52058.0,200772.0,6.0,1937.0,11650.0,11.0,70719.0,30045.0,0.0,10200.0,8.0,2.0,-1.0,18650.0,3763.0,56.0,22682.0,232600.0,1400.0,18940.0,-1.0,1156.0,-1.0,-1.0,0.0,20554.0,88221.0,4.0,36283.0,1393525.0,2469480.0,-1.0,3827.0,26868.0,1152000.0,-1.0,15867.0,27749.0,37937.0,35.0,-1.0,217.0,7196.0,137.0,-1.0,1940.0,10334.0,438249.0,41049.0,55973.0,11730.0,800.0,9932.0,19.0,136088.0,1974000.0,77420.0,22249.0,0.0,0.0,9.0,8050.0,270.0,955.0,-1.0,124215.0,38085.0,1452.0,75.0,10512804.0,5416.0,49800.0,10650.0,1518.0,-1.0,77975.0,858.0,152.0,-1.0,8701.0,5134.0,3064.0,-1.0,40216.0
1963,1178.0,26900.0,77436.0,210932.0,11080.0,-1.0,91000.0,-1.0,51143.0,2916.0,27472.0,-1.0,39.0,11.0,11050.0,21412.0,-1.0,-1.0,3944.0,-1.0,5185.0,1095.0,5794.0,1.0,250000.0,4.0,14100.0,840.0,-1.0,4600.0,-1.0,2324973.0,28728.0,14790.0,-1.0,710.0,-1.0,-1.0,-1.0,1.0,2.0,215385.0,613455.0,8724.0,32947.0,3208.0,85.0,-1.0,-1.0,30650.0,13.0,1024.0,15.0,250205.0,670400.0,253306.0,46470.0,110258.0,9166.0,167.0,0.0,270628.0,2895.0,67000.0,-1.0,508486.0,52550.0,869195.0,3349.0,166244.0,173149.0,165.0,210598.0,22834.0,8390.0,392472.0,18847.0,-1.0,70.0,23.0,0.0,11135.0,-1.0,186121.0,45008.0,136.0,11300.0,212755.0,45295.0,1.0,824630.0,3733.0,-1.0,-1.0,6957.0,32056.0,38455.0,6425.0,240.0,198370.0,23765.0,7.0,53111.0,30443.0,221914.0,54832.0,207536.0,9.0,2780.0,11650.0,9.0,45213.0,32165.0,0.0,10350.0,8.0,2.0,-1.0,18175.0,3729.0,63.0,19033.0,232500.0,1400.0,18852.0,-1.0,1604.0,-1.0,-1.0,0.0,19923.0,88780.0,5.0,37654.0,1287990.0,2323795.0,-1.0,4209.0,28615.0,1141000.0,-1.0,15884.0,27028.0,38289.0,35.0,-1.0,210.0,7463.0,128.0,-1.0,2160.0,10409.0,443717.0,32530.0,59980.0,11490.0,845.0,10163.0,23.0,137630.0,1827000.0,73920.0,22857.0,0.0,0.0,13.0,8890.0,225.0,1214.0,-1.0,116216.0,35831.0,1485.0,75.0,10684600.0,6075.0,52532.0,10650.0,1527.0,-1.0,75790.0,858.0,152.0,-1.0,8767.0,5134.0,3077.0,-1.0,38401.0
1964,1178.0,27215.0,70385.0,228145.0,11700.0,-1.0,63000.0,-1.0,55408.0,2772.0,34308.0,-1.0,37.0,13.0,11400.0,20757.0,-1.0,-1.0,3960.0,-1.0,4825.0,999.0,6023.0,2.0,255000.0,2.0,15700.0,650.0,-1.0,3800.0,-1.0,2304648.0,30663.0,14790.0,-1.0,710.0,-1.0,-1.0,-1.0,5.0,2.0,230680.0,606468.0,9723.0,31026.0,3263.0,80.0,-1.0,-1.0,30250.0,13.0,1110.0,8.0,257931.0,663930.0,242197.0,46325.0,110270.0,9165.0,158.0,0.0,283050.0,2870.0,64000.0,-1.0,484536.0,52300.0,855569.0,3978.0,160387.0,174461.0,165.0,224510.0,22282.0,7928.0,406687.0,19554.0,-1.0,54.0,16.0,0.0,11871.0,-1.0,194809.0,44001.0,136.0,10420.0,228889.0,50284.0,1.0,795590.0,3735.0,-1.0,-1.0,6502.0,32628.0,42122.0,6935.0,300.0,210171.0,24443.0,8.0,52085.0,29886.0,225797.0,59713.0,219336.0,6.0,2706.0,12080.0,9.0,52117.0,34117.0,0.0,10350.0,8.0,2.0,-1.0,18198.0,4047.0,70.0,20875.0,229600.0,1300.0,17205.0,-1.0,1453.0,-1.0,-1.0,0.0,19168.0,82926.0,3.0,41924.0,1258525.0,2303470.0,-1.0,4657.0,31893.0,1135000.0,-1.0,16050.0,27391.0,38033.0,35.0,-1.0,196.0,8466.0,113.0,-1.0,2460.0,9676.0,454424.0,27890.0,60931.0,11410.0,863.0,10504.0,28.0,137785.0,1716000.0,95620.0,22972.0,0.0,0.0,6.0,9555.0,225.0,931.0,-1.0,114330.0,36553.0,1533.0,75.0,9954696.0,5942.0,50380.0,10950.0,1552.0,-1.0,68705.0,792.0,152.0,-1.0,7949.0,6234.0,3066.0,-1.0,39796.0
1965,1186.0,27900.0,37992.0,227198.0,12100.0,-1.0,94000.0,-1.0,65803.0,2817.0,34428.0,-1.0,34.0,19.0,12400.0,20296.0,-1.0,-1.0,4113.0,-1.0,4465.0,1468.0,6210.0,2.0,271000.0,2.0,12900.0,720.0,-1.0,3510.0,-1.0,2393641.0,30773.0,11527.0,-1.0,935.0,-1.0,-1.0,-1.0,5.0,2.0,235900.0,667690.0,11212.0,34518.0,3044.0,80.0,-1.0,-1.0,30600.0,12.0,1045.0,7.0,265534.0,700410.0,247247.0,46355.0,117482.0,9180.0,188.0,0.0,274643.0,2850.0,66000.0,-1.0,484809.0,52000.0,858317.0,4183.0,194993.0,175703.0,165.0,236316.0,20136.0,5951.0,439057.0,18710.0,-1.0,86.0,15.0,0.0,13749.0,-1.0,204913.0,42000.0,144.0,10470.0,187536.0,44191.0,0.0,784660.0,3865.0,-1.0,-1.0,7253.0,33600.0,43158.0,6688.0,260.0,221853.0,29663.0,9.0,51074.0,31845.0,242319.0,54764.0,231032.0,8.0,4172.0,12880.0,12.0,54088.0,30735.0,0.0,10350.0,9.0,2.0,-1.0,16130.0,3760.0,75.0,23781.0,217500.0,1500.0,15185.0,-1.0,1523.0,-1.0,-1.0,0.0,18438.0,86609.0,2.0,36934.0,1227330.0,2392455.0,-1.0,4708.0,32388.0,1082000.0,-1.0,16273.0,27707.0,35278.0,35.0,-1.0,184.0,6070.0,140.0,-1.0,2680.0,9213.0,494349.0,24275.0,59026.0,11260.0,964.0,11561.0,21.0,132633.0,1768000.0,111172.0,25389.0,0.0,0.0,5.0,6223.0,225.0,1115.0,-1.0,113761.0,37144.0,1569.0,120.0,9564638.0,5609.0,32860.0,11550.0,1555.0,-1.0,70275.0,654.0,172.0,-1.0,10630.0,5234.0,3642.0,-1.0,40159.0
1966,1388.0,28220.0,66232.0,241300.0,11342.0,-1.0,65000.0,-1.0,73660.0,2857.0,29374.0,-1.0,32.0,19.0,12700.0,21374.0,-1.0,-1.0,4192.0,-1.0,4465.0,3453.0,7021.0,17.0,258000.0,2.0,14100.0,650.0,-1.0,4140.0,-1.0,2166313.0,29790.0,16114.0,-1.0,895.0,-1.0,-1.0,-1.0,7.0,3.0,214660.0,674501.0,10037.0,39878.0,3497.0,96.0,-1.0,-1.0,28470.0,12.0,1045.0,13.0,274640.0,707942.0,238027.0,45170.0,109299.0,8751.0,181.0,0.0,270960.0,2670.0,64000.0,-1.0,511043.0,52350.0,858853.0,3901.0,196757.0,174419.0,165.0,229564.0,22135.0,5362.0,405526.0,18985.0,-1.0,53.0,14.0,0.0,15134.0,-1.0,203082.0,37000.0,152.0,10900.0,194959.0,43283.0,0.0,803444.0,3855.0,-1.0,-1.0,7602.0,38718.0,44958.0,5750.0,280.0,218085.0,27678.0,6.0,48074.0,36026.0,234292.0,55811.0,226836.0,10.0,4417.0,13680.0,13.0,56501.0,36931.0,0.0,10500.0,9.0,3.0,-1.0,16440.0,3956.0,80.0,18024.0,208000.0,1400.0,16968.0,-1.0,1352.0,-1.0,-1.0,0.0,20689.0,107402.0,2.0,42735.0,1229625.0,2164925.0,-1.0,5335.0,32290.0,1085000.0,-1.0,15270.0,29304.0,34305.0,38.0,-1.0,154.0,7857.0,137.0,-1.0,2900.0,10150.0,496511.0,22597.0,62981.0,12080.0,1021.0,11728.0,22.0,127564.0,1662000.0,109970.0,26270.0,0.0,0.0,7.0,8190.0,240.0,1183.0,-1.0,111858.0,38688.0,1626.0,120.0,9599737.0,5548.0,29988.0,12233.0,1565.0,-1.0,89175.0,612.0,120.0,-1.0,11848.0,5234.0,3880.0,-1.0,40072.0
1967,1574.0,28835.0,64301.0,249424.0,10676.0,-1.0,56000.0,-1.0,68814.0,3602.0,36028.0,-1.0,29.0,20.0,16500.0,21162.0,-1.0,-1.0,4219.0,-1.0,4135.0,1741.0,8863.0,29.0,246000.0,2.0,14300.0,710.0,-1.0,3660.0,-1.0,2099904.0,29423.0,17100.0,-1.0,835.0,-1.0,-1.0,-1.0,4.0,3.0,217650.0,656518.0,9146.0,34336.0,3640.0,109.0,-1.0,-1.0,28610.0,12.0,1045.0,8.0,296144.0,737756.0,281176.0,42100.0,90801.0,8408.0,199.0,0.0,270709.0,2640.0,59000.0,-1.0,550151.0,53350.0,864755.0,4106.0,197096.0,174576.0,165.0,238092.0,19090.0,6435.0,411245.0,17439.0,-1.0,61.0,14.0,0.0,15561.0,-1.0,199017.0,36000.0,152.0,11310.0,202852.0,44274.0,0.0,810380.0,3890.0,-1.0,-1.0,7471.0,28819.0,45122.0,5975.0,280.0,235486.0,28033.0,4.0,46042.0,29738.0,223425.0,56625.0,243893.0,11.0,3906.0,12340.0,18.0,59081.0,32823.0,1.0,10350.0,9.0,3.0,-1.0,15870.0,4060.0,80.0,20809.0,210800.0,1600.0,24033.0,-1.0,1378.0,-1.0,-1.0,0.0,29912.0,72232.0,2.0,48090.0,1210415.0,2098330.0,-1.0,5657.0,32400.0,1181000.0,-1.0,15209.0,28137.0,33775.0,40.0,-1.0,207.0,6947.0,134.0,-1.0,3050.0,9463.0,493178.0,25207.0,69444.0,11650.0,1232.0,11654.0,18.0,124197.0,1728000.0,119978.0,27270.0,0.0,0.0,6.0,7917.0,188.0,1054.0,-1.0,112050.0,40429.0,1698.0,120.0,9576397.0,5587.0,32252.0,12833.0,1625.0,-1.0,95165.0,602.0,120.0,-1.0,11055.0,5242.0,4045.0,-1.0,39069.0
1968,1072.0,29505.0,63955.0,250130.0,10988.0,-1.0,66000.0,-1.0,60895.0,3834.0,36103.0,-1.0,27.0,20.0,14700.0,21310.0,-1.0,-1.0,4260.0,-1.0,4345.0,2563.0,7335.0,21.0,255000.0,2.0,12300.0,735.0,-1.0,3870.0,-1.0,2185477.0,27162.0,18744.0,-1.0,710.0,-1.0,-1.0,-1.0,6.0,3.0,205250.0,680436.0,6410.0,35938.0,2590.0,103.0,-1.0,-1.0,32700.0,12.0,1054.0,12.0,296555.0,771905.0,325577.0,42300.0,84812.0,10889.0,213.0,0.0,279320.0,2410.0,56000.0,-1.0,590645.0,53600.0,854945.0,4016.0,191247.0,176378.0,165.0,240940.0,18924.0,5183.0,383018.0,17352.0,-1.0,55.0,9.0,0.0,14774.0,-1.0,215653.0,33036.0,152.0,12910.0,269536.0,45249.0,0.0,776757.0,3870.0,-1.0,-1.0,7110.0,35924.0,48392.0,6050.0,280.0,244175.0,28092.0,2.0,46042.0,40608.0,206187.0,53675.0,255063.0,16.0,3822.0,13222.0,22.0,70388.0,32865.0,1.0,10716.0,9.0,3.0,-1.0,14377.0,3766.0,83.0,18463.0,192600.0,1500.0,17257.0,-1.0,904.0,-1.0,-1.0,0.0,21289.0,70536.0,2.0,46989.0,1212015.0,2184405.0,-1.0,5977.0,37150.0,1359000.0,-1.0,15840.0,27195.0,33073.0,40.0,-1.0,213.0,4612.0,118.0,-1.0,3170.0,9109.0,502469.0,20636.0,59278.0,11750.0,1134.0,11728.0,21.0,122533.0,1722000.0,117842.0,27533.0,0.0,0.0,5.0,7154.0,210.0,1023.0,-1.0,119020.0,46051.0,1722.0,105.0,9746926.0,5625.0,22360.0,14083.0,1650.0,-1.0,94085.0,570.0,100.0,-1.0,11505.0,5842.0,4132.0,-1.0,38536.0
1969,621.0,30375.0,113982.0,254910.0,12296.0,-1.0,70000.0,-1.0,69761.0,3886.0,33900.0,-1.0,24.0,21.0,14900.0,20362.0,-1.0,-1.0,3263.0,-1.0,4345.0,2978.0,7578.0,14.0,262000.0,2.0,15200.0,745.0,-1.0,4041.0,-1.0,2159281.0,25245.0,20813.0,-1.0,710.0,-1.0,-1.0,-1.0,6.0,3.0,165050.0,690379.0,7626.0,29376.0,3383.0,101.0,-1.0,-1.0,31680.0,12.0,1059.0,14.0,296781.0,763453.0,468934.0,42010.0,67723.0,12232.0,304.0,0.0,246728.0,2745.0,55000.0,-1.0,561745.0,54900.0,878231.0,4288.0,184568.0,178270.0,165.0,232430.0,19856.0,3690.0,401117.0,17655.0,-1.0,55.0,11.0,0.0,16990.0,-1.0,229601.0,30009.0,160.0,10930.0,230341.0,49248.0,0.0,764328.0,3870.0,-1.0,-1.0,6750.0,34635.0,48555.0,5843.0,300.0,282215.0,28142.0,5.0,45042.0,37330.0,172109.0,51445.0,294447.0,20.0,4510.0,10730.0,20.0,69708.0,30762.0,1.0,10770.0,9.0,3.0,-1.0,13960.0,3597.0,83.0,22452.0,188000.0,1400.0,22667.0,-1.0,778.0,-1.0,-1.0,0.0,20810.0,68964.0,2.0,42650.0,1300550.0,2158660.0,-1.0,6020.0,32880.0,1196000.0,-1.0,15993.0,30060.0,32266.0,43.0,-1.0,179.0,3677.0,107.0,-1.0,3170.0,9252.0,479315.0,16191.0,64180.0,10770.0,1074.0,10531.0,26.0,122493.0,1784000.0,113246.0,25865.0,0.0,2.0,3.0,6034.0,242.0,1155.0,-1.0,120020.0,46578.0,1763.0,105.0,9493632.0,5664.0,35054.0,13465.0,1660.0,-1.0,91068.0,564.0,100.0,-1.0,18492.0,5239.0,4215.0,-1.0,39160.0
1970,573.0,33726.0,60978.0,272427.0,12395.0,-1.0,50000.0,-1.0,74888.0,4135.0,35820.0,-1.0,22.0,21.0,18700.0,20279.0,-1.0,-1.0,3663.0,-1.0,4345.0,3411.0,10490.0,9.0,270000.0,2.0,14200.0,700.0,-1.0,4170.0,-1.0,2258628.0,26413.0,3847.0,-1.0,690.0,-1.0,-1.0,-1.0,6.0,3.0,144350.0,679225.0,7483.0,29776.0,3847.0,98.0,-1.0,-1.0,34180.0,11.0,1060.0,15.0,299017.0,925522.0,479334.0,43750.0,90891.0,13614.0,307.0,0.0,216899.0,2680.0,45000.0,-1.0,540542.0,56250.0,885539.0,4371.0,189800.0,179831.0,165.0,241644.0,19719.0,4748.0,412684.0,17012.0,-1.0,69.0,28.0,0.0,21229.0,-1.0,230367.0,28000.0,160.0,11330.0,215165.0,51248.0,0.0,725378.0,3882.0,-1.0,-1.0,7001.0,32994.0,49085.0,5903.0,320.0,292716.0,27522.0,2.0,46042.0,40122.0,212900.0,47308.0,306330.0,22.0,4251.0,10730.0,18.0,68620.0,30807.0,1.0,10890.0,9.0,3.0,-1.0,15049.0,3681.0,83.0,21326.0,174600.0,900.0,25278.0,-1.0,858.0,-1.0,-1.0,0.0,22128.0,68978.0,2.0,41910.0,1165470.0,2258055.0,-1.0,6150.0,35510.0,1218000.0,-1.0,16106.0,29618.0,32591.0,45.0,-1.0,150.0,3219.0,91.0,-1.0,3390.0,8391.0,477010.0,12223.0,64104.0,9920.0,1011.0,10531.0,27.0,128717.0,1889000.0,106202.0,26414.0,0.0,4.0,3.0,6594.0,162.0,974.0,-1.0,122021.0,46996.0,1796.0,113.0,9491106.0,5703.0,29534.0,13901.0,1690.0,-1.0,82918.0,567.0,112.0,-1.0,17608.0,5442.0,2717.0,-1.0,36233.0
