,Cuba,Jamaica,Puerto Rico,United States of America,Singapore,Israel,Fiji,Australia,Panama,Pakistan,French Guiana,Paraguay,Samoa,Belize,Nepal,Ethiopia,Kenya,Guyana,Costa Rica,Bangladesh,Suriname,Brazil,Mozambique,Morocco,Australia & New Zealand,El Salvador,Chile,Honduras,Argentina,Colombia,Timor-Leste,Venezuela (Bolivarian Republic of),India,"China, Taiwan Province of",Ecuador,Réunion,Indonesia,Maldives,Dominica,Trinidad and Tobago,Melanesia,Malaysia,Grenada,Mexico,Yemen,Haiti,Oman,Democratic Republic of the Congo,Nigeria,Mali,Zimbabwe,Congo,Dominican Republic,Polynesia,Bolivia (Plurinational State of),Iran (Islamic Republic of),Peru,Ghana,Philippines,Cook Islands,China,"China, mainland",Bahamas,Guinea-Bissau,Côte d'Ivoire,Rwanda,South Africa,Thailand,Guatemala
1961,2300.0,160.0,42.0,240.0,,,,403.0,-1.0,,-1.0,-1.0,400.0,-1.0,-1.0,,2900.0,-1.0,70.0,1700.0,-1.0,3900.0,2400.0,-1.0,403.0,-1.0,112.0,-1.0,-1.0,740.0,-1.0,1700.0,6000.0,520.0,2400.0,-1.0,18000.0,-1.0,-1.0,-1.0,,200.0,,1674.0,,-1.0,,7400.0,35000.0,250.0,-1.0,-1.0,640.0,401.0,740.0,,1580.0,-1.0,13720.0,1.0,520.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,6600.0,-1.0
1962,2300.0,160.0,44.0,200.0,,,,403.0,-1.0,,-1.0,-1.0,410.0,-1.0,-1.0,,2900.0,-1.0,70.0,1800.0,-1.0,4000.0,2400.0,-1.0,403.0,-1.0,112.0,-1.0,-1.0,740.0,-1.0,1800.0,7000.0,520.0,2450.0,-1.0,18000.0,-1.0,-1.0,-1.0,,150.0,,2245.0,,-1.0,,7500.0,35000.0,250.0,-1.0,-1.0,650.0,411.0,760.0,,1620.0,-1.0,14990.0,1.0,520.0,-1.0,-1.0,-1.0,-1.0,-1.0,2200.0,6600.0,-1.0
1963,2300.0,162.0,47.0,200.0,,,,426.0,-1.0,,-1.0,-1.0,420.0,-1.0,-1.0,,2900.0,-1.0,70.0,1900.0,-1.0,4100.0,2400.0,-1.0,426.0,-1.0,112.0,-1.0,-1.0,760.0,-1.0,1900.0,7000.0,530.0,2500.0,-1.0,22000.0,-1.0,-1.0,-1.0,,250.0,,3058.0,,-1.0,,7600.0,35000.0,250.0,-1.0,-1.0,650.0,421.0,780.0,,1670.0,-1.0,13510.0,1.0,530.0,-1.0,-1.0,-1.0,-1.0,-1.0,2100.0,6600.0,-1.0
1964,2200.0,162.0,54.0,320.0,,,,451.0,-1.0,,-1.0,-1.0,430.0,-1.0,-1.0,,2900.0,-1.0,80.0,2000.0,-1.0,4200.0,2400.0,-1.0,451.0,-1.0,115.0,-1.0,-1.0,760.0,-1.0,2000.0,6000.0,580.0,2550.0,-1.0,22000.0,-1.0,-1.0,-1.0,,250.0,,3216.0,,-1.0,,7800.0,35000.0,250.0,-1.0,-1.0,650.0,431.0,800.0,,1720.0,-1.0,12000.0,1.0,580.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,6600.0,-1.0
1965,2400.0,164.0,56.0,320.0,,,,456.0,-1.0,,-1.0,-1.0,440.0,-1.0,-1.0,,2900.0,-1.0,80.0,2200.0,-1.0,4200.0,2400.0,-1.0,456.0,-1.0,115.0,-1.0,-1.0,780.0,-1.0,2100.0,6000.0,630.0,2660.0,-1.0,26000.0,-1.0,-1.0,-1.0,,250.0,,5058.0,,-1.0,,7900.0,40000.0,300.0,-1.0,-1.0,700.0,441.0,820.0,,1780.0,-1.0,10040.0,1.0,630.0,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,6600.0,-1.0
1966,3200.0,164.0,59.0,240.0,,,,488.0,-1.0,,-1.0,-1.0,460.0,-1.0,-1.0,,2900.0,-1.0,80.0,2523.0,-1.0,4300.0,2400.0,-1.0,488.0,-1.0,116.0,-1.0,-1.0,780.0,-1.0,2000.0,8000.0,763.0,2750.0,-1.0,28000.0,-1.0,-1.0,-1.0,,250.0,,5375.0,,-1.0,,8000.0,40000.0,300.0,-1.0,-1.0,700.0,461.0,850.0,,1925.0,-1.0,9360.0,1.0,763.0,-1.0,-1.0,-1.0,-1.0,-1.0,2200.0,6600.0,-1.0
1967,3006.0,164.0,59.0,320.0,,,,482.0,-1.0,,-1.0,-1.0,470.0,-1.0,-1.0,,2900.0,-1.0,80.0,2410.0,-1.0,4400.0,2500.0,-1.0,482.0,-1.0,116.0,-1.0,-1.0,800.0,-1.0,2000.0,8000.0,790.0,2832.0,-1.0,28000.0,-1.0,-1.0,-1.0,,300.0,,5330.0,,-1.0,,8100.0,40000.0,350.0,-1.0,-1.0,730.0,471.0,900.0,,1932.0,-1.0,9370.0,1.0,790.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,6600.0,-1.0
1968,3207.0,162.0,64.0,320.0,,,,457.0,-1.0,,-1.0,-1.0,480.0,-1.0,-1.0,,2900.0,-1.0,80.0,2446.0,-1.0,4500.0,2600.0,-1.0,457.0,-1.0,116.0,-1.0,-1.0,800.0,-1.0,2100.0,9000.0,885.0,2300.0,-1.0,35000.0,-1.0,-1.0,-1.0,,350.0,,4925.0,,-1.0,,8300.0,40000.0,350.0,-1.0,-1.0,750.0,481.0,900.0,,2894.0,-1.0,8260.0,1.0,885.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,6600.0,-1.0
1969,2912.0,162.0,65.0,360.0,,,,378.0,-1.0,,-1.0,-1.0,490.0,-1.0,-1.0,,2900.0,-1.0,90.0,2558.0,-1.0,4600.0,3000.0,-1.0,378.0,-1.0,112.0,-1.0,-1.0,1100.0,-1.0,2100.0,9000.0,907.0,2100.0,-1.0,35000.0,-1.0,-1.0,-1.0,,350.0,,5129.0,,-1.0,,8500.0,40000.0,350.0,-1.0,-1.0,760.0,492.0,1000.0,,3690.0,-1.0,8630.0,2.0,907.0,-1.0,-1.0,-1.0,-1.0,-1.0,2200.0,6600.0,-1.0
1970,1180.0,161.0,50.0,400.0,,,,379.0,-1.0,,-1.0,-1.0,500.0,-1.0,-1.0,,2900.0,-1.0,90.0,2440.0,-1.0,4800.0,3600.0,-1.0,379.0,-1.0,112.0,-1.0,-1.0,1100.0,-1.0,2100.0,10384.0,935.0,1930.0,-1.0,28000.0,-1.0,-1.0,-1.0,,350.0,,5624.0,,-1.0,,8700.0,45000.0,350.0,-1.0,-1.0,770.0,502.0,1000.0,,3912.0,-1.0,8640.0,2.0,935.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,6600.0,-1.0
1971,1562.0,97.0,50.0,400.0,,,,356.0,-1.0,,-1.0,-1.0,520.0,-1.0,-1.0,,3100.0,-1.0,90.0,2278.0,-1.0,4900.0,3700.0,-1.0,356.0,-1.0,110.0,-1.0,-1.0,1100.0,-1.0,2100.0,11012.0,928.0,1700.0,-1.0,30000.0,-1.0,-1.0,-1.0,,500.0,,6079.0,,-1.0,,9000.0,45000.0,400.0,-1.0,-1.0,820.0,522.0,1500.0,,3827.0,-1.0,8500.0,2.0,928.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,6600.0,-1.0
1972,1824.0,164.0,78.0,400.0,,,,316.0,-1.0,,-1.0,-1.0,530.0,-1.0,-1.0,,3100.0,-1.0,90.0,2327.0,-1.0,4800.0,3800.0,-1.0,316.0,-1.0,110.0,-1.0,-1.0,1200.0,-1.0,2200.0,9953.0,915.0,1500.0,-1.0,30000.0,-1.0,-1.0,-1.0,,600.0,,8635.0,,-1.0,,9300.0,45000.0,400.0,-1.0,-1.0,850.0,532.0,1600.0,,3725.0,-1.0,8720.0,2.0,915.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,6600.0,-1.0
1973,2350.0,193.0,62.0,570.0,,,,241.0,-1.0,,-1.0,-1.0,540.0,-1.0,-1.0,,3100.0,-1.0,90.0,2444.0,-1.0,4399.0,3800.0,-1.0,241.0,-1.0,110.0,-1.0,-1.0,1300.0,-1.0,2376.0,9822.0,1071.0,1300.0,-1.0,32000.0,-1.0,-1.0,-1.0,,600.0,,9222.0,,-1.0,,9500.0,45000.0,400.0,-1.0,-1.0,880.0,542.0,1200.0,,3900.0,-1.0,8500.0,2.0,1071.0,-1.0,-1.0,-1.0,-1.0,-1.0,2200.0,7800.0,-1.0
1974,2120.0,152.0,55.0,690.0,,,,232.0,-1.0,,-1.0,-1.0,550.0,-1.0,-1.0,,3300.0,-1.0,100.0,2523.0,-1.0,5023.0,3800.0,-1.0,232.0,-1.0,108.0,-1.0,-1.0,1400.0,-1.0,2385.0,10326.0,1192.0,1250.0,-1.0,34700.0,-1.0,-1.0,-1.0,,800.0,,10345.0,,-1.0,,9700.0,45000.0,500.0,-1.0,-1.0,900.0,553.0,1400.0,,4130.0,-1.0,7350.0,3.0,1192.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,7800.0,-1.0
1975,3261.0,186.0,50.0,730.0,,,,180.0,-1.0,,-1.0,-1.0,570.0,-1.0,-1.0,,3300.0,-1.0,100.0,2552.0,-1.0,5612.0,3900.0,-1.0,180.0,-1.0,108.0,-1.0,-1.0,1500.0,-1.0,2251.0,10864.0,1259.0,1000.0,-1.0,33600.0,-1.0,-1.0,-1.0,,1000.0,,10695.0,,-1.0,,9800.0,50000.0,500.0,-1.0,-1.0,910.0,573.0,1500.0,,4240.0,-1.0,7840.0,3.0,1259.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,7800.0,-1.0
1976,2810.0,235.0,50.0,770.0,,,,189.0,-1.0,,-1.0,-1.0,570.0,-1.0,-1.0,,3300.0,-1.0,100.0,2542.0,-1.0,6308.0,4000.0,-1.0,189.0,-1.0,108.0,-1.0,-1.0,1100.0,-1.0,2237.0,12180.0,1106.0,691.0,-1.0,19200.0,-1.0,-1.0,-1.0,,1100.0,,9567.0,,-1.0,,9900.0,50000.0,500.0,-1.0,-1.0,910.0,574.0,1500.0,,4730.0,-1.0,8470.0,4.0,1106.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,7800.0,-1.0
1977,3213.0,250.0,50.0,890.0,,,,215.0,-1.0,,-1.0,-1.0,570.0,-1.0,-1.0,,3500.0,-1.0,100.0,2620.0,-1.0,7992.0,4000.0,-1.0,215.0,-1.0,108.0,-1.0,-1.0,1450.0,-1.0,2884.0,23258.0,1081.0,723.0,-1.0,19977.0,-1.0,-1.0,-1.0,,975.0,,10898.0,,-1.0,,10000.0,50000.0,500.0,-1.0,-1.0,910.0,576.0,1500.0,,4534.0,-1.0,7640.0,6.0,1081.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,7800.0,-1.0
1978,2967.0,204.0,50.0,890.0,,,,199.0,-1.0,,-1.0,-1.0,570.0,-1.0,-1.0,,3500.0,-1.0,100.0,2701.0,-1.0,9162.0,4000.0,-1.0,199.0,-1.0,80.0,-1.0,-1.0,1700.0,-1.0,2554.0,25628.0,1183.0,790.0,-1.0,20745.0,-1.0,-1.0,-1.0,,1000.0,,11396.0,,-1.0,,10400.0,50000.0,500.0,-1.0,-1.0,960.0,578.0,800.0,,3343.0,-1.0,7320.0,8.0,1183.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,7800.0,-1.0
1979,3383.0,141.0,70.0,890.0,,,,220.0,-1.0,,-1.0,-1.0,570.0,-1.0,-1.0,,3500.0,-1.0,100.0,2790.0,-1.0,10390.0,4200.0,-1.0,220.0,-1.0,60.0,-1.0,-1.0,1900.0,-1.0,2526.0,25685.0,2098.0,749.0,-1.0,22820.0,-1.0,-1.0,-1.0,,1250.0,,9382.0,1650.0,-1.0,255.0,10000.0,50000.0,600.0,-1.0,-1.0,960.0,580.0,1100.0,,3320.0,-1.0,7500.0,10.0,2098.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,7800.0,-1.0
1980,3058.0,112.0,110.0,810.0,,,,282.0,-1.0,909.0,-1.0,-1.0,570.0,-1.0,-1.0,,3600.0,-1.0,100.0,2809.0,-1.0,11953.0,4200.0,-1.0,282.0,-1.0,70.0,-1.0,-1.0,1780.0,-1.0,2534.0,25684.0,2280.0,902.0,-1.0,30438.0,-1.0,-1.0,-1.0,,2150.0,,8521.0,1728.0,-1.0,255.0,10200.0,55000.0,600.0,-1.0,-1.0,660.0,584.0,1440.0,,3275.0,-1.0,8440.0,14.0,2280.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,7800.0,-1.0
1981,3717.0,160.0,160.0,850.0,,,,327.0,-1.0,896.0,-1.0,-1.0,560.0,-1.0,-1.0,,3800.0,-1.0,100.0,3094.0,-1.0,9100.0,4200.0,-1.0,327.0,-1.0,70.0,-1.0,-1.0,1600.0,-1.0,2719.0,26870.0,2222.0,1099.0,-1.0,32574.0,-1.0,-1.0,-1.0,,2350.0,,11248.0,1571.0,-1.0,255.0,10500.0,55000.0,700.0,-1.0,-1.0,880.0,578.0,1380.0,,3193.0,-1.0,7130.0,18.0,2222.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,7800.0,-1.0
